"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","Point","week",NA,NA,2
"US National","Season onset","Bin","week","40","41",0.002
"US National","Season onset","Bin","week","41","42",0.002
"US National","Season onset","Bin","week","42","43",0.002
"US National","Season onset","Bin","week","43","44",0.002
"US National","Season onset","Bin","week","44","45",0.002
"US National","Season onset","Bin","week","45","46",0.002
"US National","Season onset","Bin","week","46","47",0.00200029
"US National","Season onset","Bin","week","47","48",0.00201938
"US National","Season onset","Bin","week","48","49",0.00250525
"US National","Season onset","Bin","week","49","50",0.0071242
"US National","Season onset","Bin","week","50","51",0.02255356
"US National","Season onset","Bin","week","51","52",0.03753001
"US National","Season onset","Bin","week","52","53",0.05561871
"US National","Season onset","Bin","week","1","2",0.15105641
"US National","Season onset","Bin","week","2","3",0.27691723
"US National","Season onset","Bin","week","3","4",0.25089226
"US National","Season onset","Bin","week","4","5",0.1158956
"US National","Season onset","Bin","week","5","6",0.02855014
"US National","Season onset","Bin","week","6","7",0.0051401
"US National","Season onset","Bin","week","7","8",0.00219085
"US National","Season onset","Bin","week","8","9",0.0020059
"US National","Season onset","Bin","week","9","10",0.00200008
"US National","Season onset","Bin","week","10","11",0.002
"US National","Season onset","Bin","week","11","12",0.002
"US National","Season onset","Bin","week","12","13",0.002
"US National","Season onset","Bin","week","13","14",0.002
"US National","Season onset","Bin","week","14","15",0.002
"US National","Season onset","Bin","week","15","16",0.002
"US National","Season onset","Bin","week","16","17",0.002
"US National","Season onset","Bin","week","17","18",0.002
"US National","Season onset","Bin","week","18","19",0.002
"US National","Season onset","Bin","week","19","20",0.002
"US National","Season onset","Bin","week","20","21",0.002
"US National","Season onset","Bin","week","none","none",0.002
"US National","Season peak week","Point","week",NA,NA,8
"US National","Season peak week","Bin","week","40","41",0.002
"US National","Season peak week","Bin","week","41","42",0.002
"US National","Season peak week","Bin","week","42","43",0.002
"US National","Season peak week","Bin","week","43","44",0.002
"US National","Season peak week","Bin","week","44","45",0.002
"US National","Season peak week","Bin","week","45","46",0.002
"US National","Season peak week","Bin","week","46","47",0.002
"US National","Season peak week","Bin","week","47","48",0.002
"US National","Season peak week","Bin","week","48","49",0.002
"US National","Season peak week","Bin","week","49","50",0.002
"US National","Season peak week","Bin","week","50","51",0.002
"US National","Season peak week","Bin","week","51","52",0.002
"US National","Season peak week","Bin","week","52","53",0.002
"US National","Season peak week","Bin","week","1","2",0.00200015
"US National","Season peak week","Bin","week","2","3",0.00201107
"US National","Season peak week","Bin","week","3","4",0.0023366
"US National","Season peak week","Bin","week","4","5",0.00671023
"US National","Season peak week","Bin","week","5","6",0.03539922
"US National","Season peak week","Bin","week","6","7",0.12857951
"US National","Season peak week","Bin","week","7","8",0.26234807
"US National","Season peak week","Bin","week","8","9",0.28964407
"US National","Season peak week","Bin","week","9","10",0.16637226
"US National","Season peak week","Bin","week","10","11",0.04924989
"US National","Season peak week","Bin","week","11","12",0.0088432
"US National","Season peak week","Bin","week","12","13",0.00248945
"US National","Season peak week","Bin","week","13","14",0.00201604
"US National","Season peak week","Bin","week","14","15",0.00200021
"US National","Season peak week","Bin","week","15","16",0.002
