"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","Point","week",NA,NA,3
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0
"US National","Season onset","Bin","week","47","48",0
"US National","Season onset","Bin","week","48","49",0
"US National","Season onset","Bin","week","49","50",0
"US National","Season onset","Bin","week","50","51",0
"US National","Season onset","Bin","week","51","52",0
"US National","Season onset","Bin","week","52","53",0
"US National","Season onset","Bin","week","1","2",0
"US National","Season onset","Bin","week","2","3",0
"US National","Season onset","Bin","week","3","4",1
"US National","Season onset","Bin","week","4","5",0
"US National","Season onset","Bin","week","5","6",0
"US National","Season onset","Bin","week","6","7",0
"US National","Season onset","Bin","week","7","8",0
"US National","Season onset","Bin","week","8","9",0
"US National","Season onset","Bin","week","9","10",0
"US National","Season onset","Bin","week","10","11",0
"US National","Season onset","Bin","week","11","12",0
"US National","Season onset","Bin","week","12","13",0
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0
"US National","Season peak week","Point","week",NA,NA,14
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0
"US National","Season peak week","Bin","week","44","45",0
"US National","Season peak week","Bin","week","45","46",0
"US National","Season peak week","Bin","week","46","47",0
"US National","Season peak week","Bin","week","47","48",0
"US National","Season peak week","Bin","week","48","49",0
"US National","Season peak week","Bin","week","49","50",0
"US National","Season peak week","Bin","week","50","51",0
"US National","Season peak week","Bin","week","51","52",0
"US National","Season peak week","Bin","week","52","53",0
"US National","Season peak week","Bin","week","1","2",0
"US National","Season peak week","Bin","week","2","3",0
"US National","Season peak week","Bin","week","3","4",0
"US National","Season peak week","Bin","week","4","5",0
"US National","Season peak week","Bin","week","5","6",0
"US National","Season peak week","Bin","week","6","7",0
"US National","Season peak week","Bin","week","7","8",0
"US National","Season peak week","Bin","week","8","9",0
"US National","Season peak week","Bin","week","9","10",0.976631185
"US National","Season peak week","Bin","week","10","11",0
"US National","Season peak week","Bin","week","11","12",0
"US National","Season peak week","Bin","week","12","13",0
"US National","Season peak week","Bin","week","13","14",0
"US National","Season peak week","Bin","week","14","15",0.015721533
"US National","Season peak week","Bin","week","15","16",0.005288835
"US National","Season peak week","Bin","week","16","17",0.001629511
"US National","Season peak week","Bin","week","17","18",0.000459816
"US National","Season peak week","Bin","week","18","19",0.000118833
"US National","Season peak week","Bin","week","19","20",2.81264e-05
"US National","Season peak week","Bin","week","20","21",6.09693e-06
"US National","Season peak percentage","Point","percent",NA,NA,5.5
"US National","Season peak week","Bin","week","0","0.5",0
"US National","Season peak week","Bin","week","0.5","1",0
"US National","Season peak week","Bin","week","1","1.5",0
"US National","Season peak week","Bin","week","1.5","2",0
"US National","Season peak week","Bin","week","2","2.5",0
"US National","Season peak week","Bin","week","2.5","3",0
"US National","Season peak week","Bin","week","3","3.5",0
"US National","Season peak week","Bin","week","3.5","4",0.07825297
"US National","Season peak week","Bin","week","4","4.5",0.100004706
"US National","Season peak week","Bin","week","4.5","5",0.117873584
"US National","Season peak week","Bin","week","5","5.5",0.128141352
"US National","Season peak week","Bin","week","5.5","6",0.12848104
"US National","Season peak week","Bin","week","6","6.5",0.118813479
"US National","Season peak week","Bin","week","6.5","7",0.101337261
"US National","Season peak week","Bin","week","7","7.5",0.079716657
"US National","Season peak week","Bin","week","7.5","8",0.057836899
"US National","Season peak week","Bin","week","8","8.5",0.038702258
"US National","Season peak week","Bin","week","8.5","9",0.023885933
"US National","Season peak week","Bin","week","9","9.5",0.013596333
"US National","Season peak week","Bin","week","9.5","10",0.007137958
"US National","Season peak week","Bin","week","10","10.5",0.00345619
"US National","Season peak week","Bin","week","10.5","11",0.001543445
"US National","Season peak week","Bin","week","11","11.5",0.000635702
"US National","Season peak week","Bin","week","11.5","12",0.000241481
"US National","Season peak week","Bin","week","12","12.5",0.00011425
"US National","Season peak week","Bin","week","12.5","13",0.00011425
"US National","Season peak week","Bin","week","13",NA,0.00011425
"US National","1 wk ahead","Point","percent",NA,NA,1.8
"US National","1 wk ahead","Bin","week","0","0.5",9.97905e-05
"US National","1 wk ahead","Bin","week","0.5","1",0.007085621
"US National","1 wk ahead","Bin","week","1","1.5",0.180086632
"US National","1 wk ahead","Bin","week","1.5","2",0.562036273
"US National","1 wk ahead","Bin","week","2","2.5",0.236176291
"US National","1 wk ahead","Bin","week","2.5","3",0.012419793
"US National","1 wk ahead","Bin","week","3","3.5",9.97905e-05
"US National","1 wk ahead","Bin","week","3.5","4",9.97905e-05
"US National","1 wk ahead","Bin","week","4","4.5",9.97905e-05
"US National","1 wk ahead","Bin","week","4.5","5",9.97905e-05
"US National","1 wk ahead","Bin","week","5","5.5",9.97905e-05
"US National","1 wk ahead","Bin","week","5.5","6",9.97905e-05
"US National","1 wk ahead","Bin","week","6","6.5",9.97905e-05
"US National","1 wk ahead","Bin","week","6.5","7",9.97905e-05
"US National","1 wk ahead","Bin","week","7","7.5",9.97905e-05
"US National","1 wk ahead","Bin","week","7.5","8",9.97905e-05
"US National","1 wk ahead","Bin","week","8","8.5",9.97905e-05
"US National","1 wk ahead","Bin","week","8.5","9",9.97905e-05
"US National","1 wk ahead","Bin","week","9","9.5",9.97905e-05
"US National","1 wk ahead","Bin","week","9.5","10",9.97905e-05
"US National","1 wk ahead","Bin","week","10","10.5",9.97905e-05
"US National","1 wk ahead","Bin","week","10.5","11",9.97905e-05
"US National","1 wk ahead","Bin","week","11","11.5",9.97905e-05
"US National","1 wk ahead","Bin","week","11.5","12",9.97905e-05
"US National","1 wk ahead","Bin","week","12","12.5",9.97905e-05
"US National","1 wk ahead","Bin","week","12.5","13",9.97905e-05
"US National","1 wk ahead","Bin","week","13",NA,9.97905e-05
"US National","2 wk ahead","Point","percent",NA,NA,1.6
"US National","2 wk ahead","Bin","week","0","0.5",9.97899e-05
"US National","2 wk ahead","Bin","week","0.5","1",0.021906164
"US National","2 wk ahead","Bin","week","1","1.5",0.362090843
"US National","2 wk ahead","Bin","week","1.5","2",0.537313076
"US National","2 wk ahead","Bin","week","2","2.5",0.075676255
"US National","2 wk ahead","Bin","week","2.5","3",0.000818283
"US National","2 wk ahead","Bin","week","3","3.5",9.97899e-05
"US National","2 wk ahead","Bin","week","3.5","4",9.97899e-05
"US National","2 wk ahead","Bin","week","4","4.5",9.97899e-05
"US National","2 wk ahead","Bin","week","4.5","5",9.97899e-05
"US National","2 wk ahead","Bin","week","5","5.5",9.97899e-05
"US National","2 wk ahead","Bin","week","5.5","6",9.97899e-05
"US National","2 wk ahead","Bin","week","6","6.5",9.97899e-05
"US National","2 wk ahead","Bin","week","6.5","7",9.97899e-05
"US National","2 wk ahead","Bin","week","7","7.5",9.97899e-05
"US National","2 wk ahead","Bin","week","7.5","8",9.97899e-05
"US National","2 wk ahead","Bin","week","8","8.5",9.97899e-05
"US National","2 wk ahead","Bin","week","8.5","9",9.97899e-05
"US National","2 wk ahead","Bin","week","9","9.5",9.97899e-05
"US National","2 wk ahead","Bin","week","9.5","10",9.97899e-05
"US National","2 wk ahead","Bin","week","10","10.5",9.97899e-05
"US National","2 wk ahead","Bin","week","10.5","11",9.97899e-05
"US National","2 wk ahead","Bin","week","11","11.5",9.97899e-05
"US National","2 wk ahead","Bin","week","11.5","12",9.97899e-05
"US National","2 wk ahead","Bin","week","12","12.5",9.97899e-05
"US National","2 wk ahead","Bin","week","12.5","13",9.97899e-05
"US National","2 wk ahead","Bin","week","13",NA,9.97899e-05
"US National","3 wk ahead","Point","percent",NA,NA,1.6
"US National","3 wk ahead","Bin","week","0","0.5",0.008562377
"US National","3 wk ahead","Bin","week","0.5","1",0.083785776
"US National","3 wk ahead","Bin","week","1","1.5",0.297509763
"US National","3 wk ahead","Bin","week","1.5","2",0.38766759
"US National","3 wk ahead","Bin","week","2","2.5",0.185866202
"US National","3 wk ahead","Bin","week","2.5","3",0.032556647
"US National","3 wk ahead","Bin","week","3","3.5",0.002054912
"US National","3 wk ahead","Bin","week","3.5","4",9.98366e-05
"US National","3 wk ahead","Bin","week","4","4.5",9.98366e-05
"US National","3 wk ahead","Bin","week","4.5","5",9.98366e-05
"US National","3 wk ahead","Bin","week","5","5.5",9.98366e-05
"US National","3 wk ahead","Bin","week","5.5","6",9.98366e-05
"US National","3 wk ahead","Bin","week","6","6.5",9.98366e-05
"US National","3 wk ahead","Bin","week","6.5","7",9.98366e-05
"US National","3 wk ahead","Bin","week","7","7.5",9.98366e-05
"US National","3 wk ahead","Bin","week","7.5","8",9.98366e-05
"US National","3 wk ahead","Bin","week","8","8.5",9.98366e-05
"US National","3 wk ahead","Bin","week","8.5","9",9.98366e-05
"US National","3 wk ahead","Bin","week","9","9.5",9.98366e-05
"US National","3 wk ahead","Bin","week","9.5","10",9.98366e-05
"US National","3 wk ahead","Bin","week","10","10.5",9.98366e-05
"US National","3 wk ahead","Bin","week","10.5","11",9.98366e-05
"US National","3 wk ahead","Bin","week","11","11.5",9.98366e-05
"US National","3 wk ahead","Bin","week","11.5","12",9.98366e-05
"US National","3 wk ahead","Bin","week","12","12.5",9.98366e-05
"US National","3 wk ahead","Bin","week","12.5","13",9.98366e-05
"US National","3 wk ahead","Bin","week","13",NA,9.98366e-05
"US National","4 wk ahead","Point","percent",NA,NA,1.6
"US National","4 wk ahead","Bin","week","0","0.5",0.003966822
"US National","4 wk ahead","Bin","week","0.5","1",0.073859334
"US National","4 wk ahead","Bin","week","1","1.5",0.347100481
"US National","4 wk ahead","Bin","week","1.5","2",0.425198942
"US National","4 wk ahead","Bin","week","2","2.5",0.136470036
"US National","4 wk ahead","Bin","week","2.5","3",0.011183279
"US National","4 wk ahead","Bin","week","3","3.5",0.000224993
"US National","4 wk ahead","Bin","week","3.5","4",9.98057e-05
"US National","4 wk ahead","Bin","week","4","4.5",9.98057e-05
"US National","4 wk ahead","Bin","week","4.5","5",9.98057e-05
"US National","4 wk ahead","Bin","week","5","5.5",9.98057e-05
"US National","4 wk ahead","Bin","week","5.5","6",9.98057e-05
"US National","4 wk ahead","Bin","week","6","6.5",9.98057e-05
"US National","4 wk ahead","Bin","week","6.5","7",9.98057e-05
"US National","4 wk ahead","Bin","week","7","7.5",9.98057e-05
"US National","4 wk ahead","Bin","week","7.5","8",9.98057e-05
"US National","4 wk ahead","Bin","week","8","8.5",9.98057e-05
"US National","4 wk ahead","Bin","week","8.5","9",9.98057e-05
"US National","4 wk ahead","Bin","week","9","9.5",9.98057e-05
"US National","4 wk ahead","Bin","week","9.5","10",9.98057e-05
"US National","4 wk ahead","Bin","week","10","10.5",9.98057e-05
"US National","4 wk ahead","Bin","week","10.5","11",9.98057e-05
"US National","4 wk ahead","Bin","week","11","11.5",9.98057e-05
"US National","4 wk ahead","Bin","week","11.5","12",9.98057e-05
"US National","4 wk ahead","Bin","week","12","12.5",9.98057e-05
"US National","4 wk ahead","Bin","week","12.5","13",9.98057e-05
"US National","4 wk ahead","Bin","week","13",NA,9.98057e-05
"HHS Region 1","Season onset","Point","week",NA,NA,51
"HHS Region 1","Season onset","Bin","week","40","41",0
"HHS Region 1","Season onset","Bin","week","41","42",0
"HHS Region 1","Season onset","Bin","week","42","43",0
"HHS Region 1","Season onset","Bin","week","43","44",0
"HHS Region 1","Season onset","Bin","week","44","45",0
