Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,52
US National,Season onset,Bin,week,40,41,0.00306422
US National,Season onset,Bin,week,41,42,0.0051977
US National,Season onset,Bin,week,42,43,0.0083989
US National,Season onset,Bin,week,43,44,0.0129287
US National,Season onset,Bin,week,44,45,0.0189587
US National,Season onset,Bin,week,45,46,0.029386
US National,Season onset,Bin,week,46,47,0.0381456
US National,Season onset,Bin,week,47,48,0.0601558
US National,Season onset,Bin,week,48,49,0.0636291
US National,Season onset,Bin,week,49,50,0.0756152
US National,Season onset,Bin,week,50,51,0.0844718
US National,Season onset,Bin,week,51,52,0.0952044
US National,Season onset,Bin,week,52,53,0.082242
US National,Season onset,Bin,week,1,2,0.0678883
US National,Season onset,Bin,week,2,3,0.0681381
US National,Season onset,Bin,week,3,4,0.0712775
US National,Season onset,Bin,week,4,5,0.056077
US National,Season onset,Bin,week,5,6,0.0457629
US National,Season onset,Bin,week,6,7,0.0314392
US National,Season onset,Bin,week,7,8,0.024238
US National,Season onset,Bin,week,8,9,0.0127491
US National,Season onset,Bin,week,9,10,0.00853795
US National,Season onset,Bin,week,10,11,0.00560151
US National,Season onset,Bin,week,11,12,0.00366965
US National,Season onset,Bin,week,12,13,0.00246847
US National,Season onset,Bin,week,13,14,0.00176171
US National,Season onset,Bin,week,14,15,0.00136778
US National,Season onset,Bin,week,15,16,0.00115964
US National,Season onset,Bin,week,16,17,0.00105531
US National,Season onset,Bin,week,17,18,0.00100568
US National,Season onset,Bin,week,18,19,0.000983254
US National,Season onset,Bin,week,19,20,0.000973632
US National,Season onset,Bin,week,20,21,0.00193705
US National,Season onset,Bin,week,none,none,0.01451
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,0
US National,Season peak week,Bin,week,41,42,0
US National,Season peak week,Bin,week,42,43,0
US National,Season peak week,Bin,week,43,44,0
US National,Season peak week,Bin,week,44,45,0.00174893
US National,Season peak week,Bin,week,45,46,0.000874466
US National,Season peak week,Bin,week,46,47,0.000874466
US National,Season peak week,Bin,week,47,48,0.0128173
US National,Season peak week,Bin,week,48,49,0.0179376
US National,Season peak week,Bin,week,49,50,0.0235275
US National,Season peak week,Bin,week,50,51,0.0320759
US National,Season peak week,Bin,week,51,52,0.0449651
US National,Season peak week,Bin,week,52,53,0.0878252
US National,Season peak week,Bin,week,1,2,0.0610522
US National,Season peak week,Bin,week,2,3,0.063469
US National,Season peak week,Bin,week,3,4,0.0724185
US National,Season peak week,Bin,week,4,5,0.0812071
US National,Season peak week,Bin,week,5,6,0.0852308
US National,Season peak week,Bin,week,6,7,0.0820247
US National,Season peak week,Bin,week,7,8,0.0860948
US National,Season peak week,Bin,week,8,9,0.0649757
US National,Season peak week,Bin,week,9,10,0.0431428
US National,Season peak week,Bin,week,10,11,0.0415226
US National,Season peak week,Bin,week,11,12,0.0310284
US National,Season peak week,Bin,week,12,13,0.0190693
US National,Season peak week,Bin,week,13,14,0.0136915
US National,Season peak week,Bin,week,14,15,0.00875271
US National,Season peak week,Bin,week,15,16,0.00584668
US National,Season peak week,Bin,week,16,17,0.00387679
US National,Season peak week,Bin,week,17,18,0.00260889
US National,Season peak week,Bin,week,18,19,0.00270754
US National,Season peak week,Bin,week,19,20,0.00138136
US National,Season peak week,Bin,week,20,21,0.00725216
US National,Season peak percentage,Point,percent,NA,NA,4.3
US National,Season peak percentage,Bin,percent,0.0,0.1,0
US National,Season peak percentage,Bin,percent,0.1,0.2,0
US National,Season peak percentage,Bin,percent,0.2,0.3,0
US National,Season peak percentage,Bin,percent,0.3,0.4,0
US National,Season peak percentage,Bin,percent,0.4,0.5,0
US National,Season peak percentage,Bin,percent,0.5,0.6,0
US National,Season peak percentage,Bin,percent,0.6,0.7,0
US National,Season peak percentage,Bin,percent,0.7,0.8,0
US National,Season peak percentage,Bin,percent,0.8,0.9,0
US National,Season peak percentage,Bin,percent,0.9,1.0,0
US National,Season peak percentage,Bin,percent,1.0,1.1,0.00097013
US National,Season peak percentage,Bin,percent,1.1,1.2,0
US National,Season peak percentage,Bin,percent,1.2,1.3,0
US National,Season peak percentage,Bin,percent,1.3,1.4,0
US National,Season peak percentage,Bin,percent,1.4,1.5,0.00740349
US National,Season peak percentage,Bin,percent,1.5,1.6,0.00686582
US National,Season peak percentage,Bin,percent,1.6,1.7,0.00731045
US National,Season peak percentage,Bin,percent,1.7,1.8,0.00776592
US National,Season peak percentage,Bin,percent,1.8,1.9,0.00823073
US National,Season peak percentage,Bin,percent,1.9,2.0,0.00870324
US National,Season peak percentage,Bin,percent,2.0,2.1,0.0101518
US National,Season peak percentage,Bin,percent,2.1,2.2,0.0116043
US National,Season peak percentage,Bin,percent,2.2,2.3,0.0149989
US National,Season peak percentage,Bin,percent,2.3,2.4,0.0145127
US National,Season peak percentage,Bin,percent,2.4,2.5,0.014994
US National,Season peak percentage,Bin,percent,2.5,2.6,0.0145002
US National,Season peak percentage,Bin,percent,2.6,2.7,0.0139989
US National,Season peak percentage,Bin,percent,2.7,2.8,0.0144577
US National,Season peak percentage,Bin,percent,2.8,2.9,0.0149041
US National,Season peak percentage,Bin,percent,2.9,3.0,0.0153354
US National,Season peak percentage,Bin,percent,3.0,3.1,0.0138088
US National,Season peak percentage,Bin,percent,3.1,3.2,0.0151726
US National,Season peak percentage,Bin,percent,3.2,3.3,0.017484
US National,Season peak percentage,Bin,percent,3.3,3.4,0.0158901
US National,Season peak percentage,Bin,percent,3.4,3.5,0.02009
US National,Season peak percentage,Bin,percent,3.5,3.6,0.01747
US National,Season peak percentage,Bin,percent,3.6,3.7,0.0245202
US National,Season peak percentage,Bin,percent,3.7,3.8,0.0218365
US National,Season peak percentage,Bin,percent,3.8,3.9,0.0191185
US National,Season peak percentage,Bin,percent,3.9,4.0,0.0212156
US National,Season peak percentage,Bin,percent,4.0,4.1,0.0193957
US National,Season peak percentage,Bin,percent,4.1,4.2,0.0233591
US National,Season peak percentage,Bin,percent,4.2,4.3,0.0204936
US National,Season peak percentage,Bin,percent,4.3,4.4,0.01953
US National,Season peak percentage,Bin,percent,4.4,4.5,0.0224086
US National,Season peak percentage,Bin,percent,4.5,4.6,0.0194284
US National,Season peak percentage,Bin,percent,4.6,4.7,0.0202909
US National,Season peak percentage,Bin,percent,4.7,4.8,0.0201465
US National,Season peak percentage,Bin,percent,4.8,4.9,0.0170557
US National,Season peak percentage,Bin,percent,4.9,5.0,0.0197511
US National,Season peak percentage,Bin,percent,5.0,5.1,0.0195027
US National,Season peak percentage,Bin,percent,5.1,5.2,0.0172826
US National,Season peak percentage,Bin,percent,5.2,5.3,0.0179431
US National,Season peak percentage,Bin,percent,5.3,5.4,0.0176057
US National,Season peak percentage,Bin,percent,5.4,5.5,0.0153025
US National,Season peak percentage,Bin,percent,5.5,5.6,0.0168566
US National,Season peak percentage,Bin,percent,5.6,5.7,0.0154793
US National,Season peak percentage,Bin,percent,5.7,5.8,0.0150538
US National,Season peak percentage,Bin,percent,5.8,5.9,0.0126721
US National,Season peak percentage,Bin,percent,5.9,6.0,0.0131874
US National,Season peak percentage,Bin,percent,6.0,6.1,0.0185424
US National,Season peak percentage,Bin,percent,6.1,6.2,0.0141879
US National,Season peak percentage,Bin,percent,6.2,6.3,0.0117678
US National,Season peak percentage,Bin,percent,6.3,6.4,0.0132248
US National,Season peak percentage,Bin,percent,6.4,6.5,0.0137105
US National,Season peak percentage,Bin,percent,6.5,6.6,0.0122571
US National,Season peak percentage,Bin,percent,6.6,6.7,0.0117771
