"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","1 wk ahead","percent","Bin","0","0.1",3.31986324487014e-281
"US National","1 wk ahead","percent","Bin","0.1","0.2",1.6806357500451e-188
"US National","1 wk ahead","percent","Bin","0.2","0.3",7.21672058062371e-143
"US National","1 wk ahead","percent","Bin","0.3","0.4",2.44823599274228e-114
"US National","1 wk ahead","percent","Bin","0.4","0.5",2.08915737386575e-94
"US National","1 wk ahead","percent","Bin","0.5","0.6",1.50813773799301e-79
"US National","1 wk ahead","percent","Bin","0.6","0.7",5.49314872052955e-68
"US National","1 wk ahead","percent","Bin","0.7","0.8",1.0297446775777e-58
"US National","1 wk ahead","percent","Bin","0.8","0.9",4.16727444815298e-51
"US National","1 wk ahead","percent","Bin","0.9","1",9.32947828658701e-45
"US National","1 wk ahead","percent","Bin","1","1.1",2.20721674805589e-39
"US National","1 wk ahead","percent","Bin","1.1","1.2",8.7598914004216e-35
"US National","1 wk ahead","percent","Bin","1.2","1.3",8.19382550939111e-31
"US National","1 wk ahead","percent","Bin","1.3","1.4",2.33460937755605e-27
"US National","1 wk ahead","percent","Bin","1.4","1.5",2.46891506304334e-24
"US National","1 wk ahead","percent","Bin","1.5","1.6",1.13153247156784e-21
"US National","1 wk ahead","percent","Bin","1.6","1.7",2.54269697330917e-19
"US National","1 wk ahead","percent","Bin","1.7","1.8",3.0949379054699e-17
"US National","1 wk ahead","percent","Bin","1.8","1.9",2.213527305591e-15
"US National","1 wk ahead","percent","Bin","1.9","2",9.94922464274986e-14
"US National","1 wk ahead","percent","Bin","2","2.1",2.97250999478334e-12
"US National","1 wk ahead","percent","Bin","2.1","2.2",6.18865484675894e-11
"US National","1 wk ahead","percent","Bin","2.2","2.3",9.34589676237639e-10
"US National","1 wk ahead","percent","Bin","2.3","2.4",1.05948383125005e-08
"US National","1 wk ahead","percent","Bin","2.4","2.5",9.28642992644734e-08
"US National","1 wk ahead","percent","Bin","2.5","2.6",6.45665709715465e-07
"US National","1 wk ahead","percent","Bin","2.6","2.7",3.64139508788739e-06
"US National","1 wk ahead","percent","Bin","2.7","2.8",1.69873458599737e-05
"US National","1 wk ahead","percent","Bin","2.8","2.9",6.66900067116674e-05
"US National","1 wk ahead","percent","Bin","2.9","3",0.000223710645935983
"US National","1 wk ahead","percent","Bin","3","3.1",0.00064993985502812
"US National","1 wk ahead","percent","Bin","3.1","3.2",0.00165519672265425
"US National","1 wk ahead","percent","Bin","3.2","3.3",0.00373499755862514
"US National","1 wk ahead","percent","Bin","3.3","3.4",0.00754026650180445
"US National","1 wk ahead","percent","Bin","3.4","3.5",0.0137375158632564
"US National","1 wk ahead","percent","Bin","3.5","3.6",0.0227642964744756
"US National","1 wk ahead","percent","Bin","3.6","3.7",0.0345540038701547
"US National","1 wk ahead","percent","Bin","3.7","3.8",0.048353344508445
"US National","1 wk ahead","percent","Bin","3.8","3.9",0.0627436262495947
"US National","1 wk ahead","percent","Bin","3.9","4",0.075898308762488
"US National","1 wk ahead","percent","Bin","4","4.1",0.0860035826603094
"US National","1 wk ahead","percent","Bin","4.1","4.2",0.0916948966330977
"US National","1 wk ahead","percent","Bin","4.2","4.3",0.0923588742832769
"US National","1 wk ahead","percent","Bin","4.3","4.4",0.0882129915768728
"US National","1 wk ahead","percent","Bin","4.4","4.5",0.0801663284132357
"US National","1 wk ahead","percent","Bin","4.5","4.6",0.0695383355015116
"US National","1 wk ahead","percent","Bin","4.6","4.7",0.0577418058712782
"US National","1 wk ahead","percent","Bin","4.7","4.8",0.0460208629153789
"US National","1 wk ahead","percent","Bin","4.8","4.9",0.0352934883929921
"US National","1 wk ahead","percent","Bin","4.9","5",0.0261040245043119
"US National","1 wk ahead","percent","Bin","5","5.1",0.0186603008392645
"US National","1 wk ahead","percent","Bin","5.1","5.2",0.0129177629230612
"US National","1 wk ahead","percent","Bin","5.2","5.3",0.00867585626909939
"US National","1 wk ahead","percent","Bin","5.3","5.4",0.0056628807899467
"US National","1 wk ahead","percent","Bin","5.4","5.5",0.00359795377861927
"US National","1 wk ahead","percent","Bin","5.5","5.6",0.00222850410809372
"US National","1 wk ahead","percent","Bin","5.6","5.7",0.00134745698682115
"US National","1 wk ahead","percent","Bin","5.7","5.8",0.000796387821446642
"US National","1 wk ahead","percent","Bin","5.8","5.9",0.000460649848590067
"US National","1 wk ahead","percent","Bin","5.9","6",0.000261065118715265
"US National","1 wk ahead","percent","Bin","6","6.1",0.000145118387800514
"US National","1 wk ahead","percent","Bin","6.1","6.2",7.92003746924452e-05
"US National","1 wk ahead","percent","Bin","6.2","6.3",4.2478803725432e-05
"US National","1 wk ahead","percent","Bin","6.3","6.4",2.24100120628234e-05
"US National","1 wk ahead","percent","Bin","6.4","6.5",1.16385378081674e-05
"US National","1 wk ahead","percent","Bin","6.5","6.6",5.95500129296767e-06
"US National","1 wk ahead","percent","Bin","6.6","6.7",3.00409257558698e-06
"US National","1 wk ahead","percent","Bin","6.7","6.8",1.49518647352131e-06
"US National","1 wk ahead","percent","Bin","6.8","6.9",7.34705866145546e-07
"US National","1 wk ahead","percent","Bin","6.9","7",3.5664597797247e-07
"US National","1 wk ahead","percent","Bin","7","7.1",1.71128179737856e-07
"US National","1 wk ahead","percent","Bin","7.1","7.2",8.12095138913449e-08
"US National","1 wk ahead","percent","Bin","7.2","7.3",3.81347825539891e-08
"US National","1 wk ahead","percent","Bin","7.3","7.4",1.77288375091678e-08
"US National","1 wk ahead","percent","Bin","7.4","7.5",8.16371992229392e-09
"US National","1 wk ahead","percent","Bin","7.5","7.6",3.72510344792687e-09
"US National","1 wk ahead","percent","Bin","7.6","7.7",1.68505664976948e-09
"US National","1 wk ahead","percent","Bin","7.7","7.8",7.55945861463658e-10
"US National","1 wk ahead","percent","Bin","7.8","7.9",3.36459082816987e-10
"US National","1 wk ahead","percent","Bin","7.9","8",1.48626333462687e-10
"US National","1 wk ahead","percent","Bin","8","8.1",6.51825260433725e-11
"US National","1 wk ahead","percent","Bin","8.1","8.2",2.83908452303194e-11
"US National","1 wk ahead","percent","Bin","8.2","8.3",1.22850618566872e-11
"US National","1 wk ahead","percent","Bin","8.3","8.4",5.28255217346896e-12
"US National","1 wk ahead","percent","Bin","8.4","8.5",2.25797158748264e-12
"US National","1 wk ahead","percent","Bin","8.5","8.6",9.59676782485985e-13
"US National","1 wk ahead","percent","Bin","8.6","8.7",4.0556447089557e-13
"US National","1 wk ahead","percent","Bin","8.7","8.8",1.70530256582424e-13
"US National","1 wk ahead","percent","Bin","8.8","8.9",7.13873404833976e-14
"US National","1 wk ahead","percent","Bin","8.9","9",2.97539770599542e-14
"US National","1 wk ahead","percent","Bin","9","9.1",1.22124532708767e-14
"US National","1 wk ahead","percent","Bin","9.1","9.2",5.10702591327572e-15
"US National","1 wk ahead","percent","Bin","9.2","9.3",2.1094237467878e-15
"US National","1 wk ahead","percent","Bin","9.3","9.4",8.88178419700125e-16
"US National","1 wk ahead","percent","Bin","9.4","9.5",3.33066907387547e-16
"US National","1 wk ahead","percent","Bin","9.5","9.6",1.11022302462516e-16
"US National","1 wk ahead","percent","Bin","9.6","9.7",1.11022302462516e-16
"US National","1 wk ahead","percent","Bin","9.7","9.8",0
"US National","1 wk ahead","percent","Bin","9.8","9.9",0
"US National","1 wk ahead","percent","Bin","9.9","10",0
"US National","1 wk ahead","percent","Bin","10","10.1",0
"US National","1 wk ahead","percent","Bin","10.1","10.2",0
"US National","1 wk ahead","percent","Bin","10.2","10.3",0
"US National","1 wk ahead","percent","Bin","10.3","10.4",0
"US National","1 wk ahead","percent","Bin","10.4","10.5",0
"US National","1 wk ahead","percent","Bin","10.5","10.6",0
"US National","1 wk ahead","percent","Bin","10.6","10.7",0
"US National","1 wk ahead","percent","Bin","10.7","10.8",0
"US National","1 wk ahead","percent","Bin","10.8","10.9",0
"US National","1 wk ahead","percent","Bin","10.9","11",0
"US National","1 wk ahead","percent","Bin","11","11.1",0
"US National","1 wk ahead","percent","Bin","11.1","11.2",0
"US National","1 wk ahead","percent","Bin","11.2","11.3",0
"US National","1 wk ahead","percent","Bin","11.3","11.4",0
"US National","1 wk ahead","percent","Bin","11.4","11.5",0
"US National","1 wk ahead","percent","Bin","11.5","11.6",0
"US National","1 wk ahead","percent","Bin","11.6","11.7",0
"US National","1 wk ahead","percent","Bin","11.7","11.8",0
"US National","1 wk ahead","percent","Bin","11.8","11.9",0
"US National","1 wk ahead","percent","Bin","11.9","12",0
"US National","1 wk ahead","percent","Bin","12","12.1",0
"US National","1 wk ahead","percent","Bin","12.1","12.2",0
"US National","1 wk ahead","percent","Bin","12.2","12.3",0
"US National","1 wk ahead","percent","Bin","12.3","12.4",0
"US National","1 wk ahead","percent","Bin","12.4","12.5",0
"US National","1 wk ahead","percent","Bin","12.5","12.6",0
"US National","1 wk ahead","percent","Bin","12.6","12.7",0
"US National","1 wk ahead","percent","Bin","12.7","12.8",0
"US National","1 wk ahead","percent","Bin","12.8","12.9",0
"US National","1 wk ahead","percent","Bin","12.9","13",0
"US National","1 wk ahead","percent","Bin","13","100",0
"US National","2 wk ahead","percent","Bin","0","0.1",2.90931121683e-154
"US National","2 wk ahead","percent","Bin","0.1","0.2",4.08865348223063e-104
"US National","2 wk ahead","percent","Bin","0.2","0.3",2.22923356710605e-79
"US National","2 wk ahead","percent","Bin","0.3","0.4",6.95323609070571e-64
"US National","2 wk ahead","percent","Bin","0.4","0.5",4.84063055883103e-53
"US National","2 wk ahead","percent","Bin","0.5","0.6",6.05098192338663e-45
"US National","2 wk ahead","percent","Bin","0.6","0.7",1.23835595304919e-38
"US National","2 wk ahead","percent","Bin","0.7","0.8",1.45715910454426e-33
"US National","2 wk ahead","percent","Bin","0.8","0.9",2.14168580084733e-29
"US National","2 wk ahead","percent","Bin","0.9","1",6.54300374610541e-26
"US National","2 wk ahead","percent","Bin","1","1.1",5.89770302458571e-23
"US National","2 wk ahead","percent","Bin","1.1","1.2",2.01369945472203e-20
"US National","2 wk ahead","percent","Bin","1.2","1.3",3.12959857540969e-18
"US National","2 wk ahead","percent","Bin","1.3","1.4",2.54275995842771e-16
"US National","2 wk ahead","percent","Bin","1.4","1.5",1.20164530486963e-14
"US National","2 wk ahead","percent","Bin","1.5","1.6",3.59149441579834e-13
"US National","2 wk ahead","percent","Bin","1.6","1.7",7.25828194213126e-12
"US National","2 wk ahead","percent","Bin","1.7","1.8",1.04703421283873e-10
"US National","2 wk ahead","percent","Bin","1.8","1.9",1.12702687435724e-09
"US National","2 wk ahead","percent","Bin","1.9","2",9.39157076728823e-09
"US National","2 wk ahead","percent","Bin","2","2.1",6.24820575647197e-08
"US National","2 wk ahead","percent","Bin","2.1","2.2",3.40632924461609e-07
"US National","2 wk ahead","percent","Bin","2.2","2.3",1.55578259090528e-06
"US National","2 wk ahead","percent","Bin","2.3","2.4",6.06711442590853e-06
"US National","2 wk ahead","percent","Bin","2.4","2.5",2.05348213847843e-05
"US National","2 wk ahead","percent","Bin","2.5","2.6",6.11836561815778e-05
"US National","2 wk ahead","percent","Bin","2.6","2.7",0.000162474468274698
"US National","2 wk ahead","percent","Bin","2.7","2.8",0.000388725165944885
"US National","2 wk ahead","percent","Bin","2.8","2.9",0.00084595053954346
"US National","2 wk ahead","percent","Bin","2.9","3",0.00168867633345146
"US National","2 wk ahead","percent","Bin","3","3.1",0.00311521112666333
"US National","2 wk ahead","percent","Bin","3.1","3.2",0.00534628415854983
"US National","2 wk ahead","percent","Bin","3.2","3.3",0.00858648124856534
"US National","2 wk ahead","percent","Bin","3.3","3.4",0.0129742970934102
"US National","2 wk ahead","percent","Bin","3.4","3.5",0.018532348164308
"US National","2 wk ahead","percent","Bin","3.5","3.6",0.0251317341096018
