Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50.000000000
US National,Season onset,Bin,week,40,41, 0.000000000
US National,Season onset,Bin,week,41,42, 0.000000000
US National,Season onset,Bin,week,42,43, 0.000000000
US National,Season onset,Bin,week,43,44, 0.000000000
US National,Season onset,Bin,week,44,45, 0.046277892
US National,Season onset,Bin,week,45,46, 0.054715668
US National,Season onset,Bin,week,46,47, 0.062746613
US National,Season onset,Bin,week,47,48, 0.069792590
US National,Season onset,Bin,week,48,49, 0.075295459
US National,Season onset,Bin,week,49,50, 0.078789564
US National,Season onset,Bin,week,50,51, 0.079966678
US National,Season onset,Bin,week,51,52, 0.078720864
US National,Season onset,Bin,week,52,53, 0.075164210
US National,Season onset,Bin,week,1,2, 0.069610184
US National,Season onset,Bin,week,2,3, 0.062528054
US National,Season onset,Bin,week,3,4, 0.054477540
US National,Season onset,Bin,week,4,5, 0.046036310
US National,Season onset,Bin,week,5,6, 0.037733228
US National,Season onset,Bin,week,6,7, 0.029997694
US National,Season onset,Bin,week,7,8, 0.023130883
US National,Season onset,Bin,week,8,9, 0.017299638
US National,Season onset,Bin,week,9,10, 0.012549379
US National,Season onset,Bin,week,10,11, 0.008829740
US National,Season onset,Bin,week,11,12, 0.006025791
US National,Season onset,Bin,week,12,13, 0.003988601
US National,Season onset,Bin,week,13,14, 0.002560753
US National,Season onset,Bin,week,14,15, 0.001594612
US National,Season onset,Bin,week,15,16, 0.000963126
US National,Season onset,Bin,week,16,17, 0.000564224
US National,Season onset,Bin,week,17,18, 0.000320597
US National,Season onset,Bin,week,18,19, 0.000176689
US National,Season onset,Bin,week,19,20, 0.000094449
US National,Season onset,Bin,week,20,21, 0.000048970
US National,Season onset,Bin,week,none,none, 0.000000000
US National,Season peak week,Point,week,NA,NA, 3.000000000
US National,Season peak week,Bin,week,40,41, 0.000000000
US National,Season peak week,Bin,week,41,42, 0.000000000
US National,Season peak week,Bin,week,42,43, 0.000000000
US National,Season peak week,Bin,week,43,44, 0.000000000
US National,Season peak week,Bin,week,44,45, 0.009036033
US National,Season peak week,Bin,week,45,46, 0.012851792
US National,Season peak week,Bin,week,46,47, 0.017694957
US National,Season peak week,Bin,week,47,48, 0.023584966
US National,Season peak week,Bin,week,48,49, 0.030431328
US National,Season peak week,Bin,week,49,50, 0.038010752
US National,Season peak week,Bin,week,50,51, 0.045961263
US National,Season peak week,Bin,week,51,52, 0.053799390
US National,Season peak week,Bin,week,52,53, 0.060962486
US National,Season peak week,Bin,week,1,2, 0.066872554
US National,Season peak week,Bin,week,2,3, 0.071012215
US National,Season peak week,Bin,week,3,4, 0.072999205
US National,Season peak week,Bin,week,4,5, 0.072644563
US National,Season peak week,Bin,week,5,6, 0.069982270
US National,Season peak week,Bin,week,6,7, 0.065263873
US National,Season peak week,Bin,week,7,8, 0.058919301
US National,Season peak week,Bin,week,8,9, 0.051492294
US National,Season peak week,Bin,week,9,10, 0.043563906
US National,Season peak week,Bin,week,10,11, 0.035678888
US National,Season peak week,Bin,week,11,12, 0.028287575
US National,Season peak week,Bin,week,12,13, 0.021711010
US National,Season peak week,Bin,week,13,14, 0.016131111
US National,Season peak week,Bin,week,14,15, 0.011602416
US National,Season peak week,Bin,week,15,16, 0.008078533
US National,Season peak week,Bin,week,16,17, 0.005445234
US National,Season peak week,Bin,week,17,18, 0.003553043
US National,Season peak week,Bin,week,18,19, 0.002244317
US National,Season peak week,Bin,week,19,20, 0.001372360
US National,Season peak week,Bin,week,20,21, 0.000812366
US National,Season peak percentage,Point,percent,NA,NA, 4.823725714
US National,Season peak percentage,Bin,percent,0,0.1, 0.000000000
US National,Season peak percentage,Bin,percent,0.1,0.2, 0.000000000
US National,Season peak percentage,Bin,percent,0.2,0.3, 0.000000000
US National,Season peak percentage,Bin,percent,0.3,0.4, 0.000000000
US National,Season peak percentage,Bin,percent,0.4,0.5, 0.000000000
US National,Season peak percentage,Bin,percent,0.5,0.6, 0.000000000
US National,Season peak percentage,Bin,percent,0.6,0.7, 0.000000000
US National,Season peak percentage,Bin,percent,0.7,0.8, 0.000000000
US National,Season peak percentage,Bin,percent,0.8,0.9, 0.000000000
US National,Season peak percentage,Bin,percent,0.9,1, 0.000000000
US National,Season peak percentage,Bin,percent,1,1.1, 0.000000000
US National,Season peak percentage,Bin,percent,1.1,1.2, 0.000000000
US National,Season peak percentage,Bin,percent,1.2,1.3, 0.000000000
US National,Season peak percentage,Bin,percent,1.3,1.4, 0.000000000
US National,Season peak percentage,Bin,percent,1.4,1.5, 0.003022498
US National,Season peak percentage,Bin,percent,1.5,1.6, 0.003407341
US National,Season peak percentage,Bin,percent,1.6,1.7, 0.003827563
US National,Season peak percentage,Bin,percent,1.7,1.8, 0.004284363
US National,Season peak percentage,Bin,percent,1.8,1.9, 0.004778675
