"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","percent","Bin","0","0.1",0
"HHS Region 1","1 wk ahead","percent","Bin","0.1","0.2",0
"HHS Region 1","1 wk ahead","percent","Bin","0.2","0.3",0
"HHS Region 1","1 wk ahead","percent","Bin","0.3","0.4",0
"HHS Region 1","1 wk ahead","percent","Bin","0.4","0.5",0
"HHS Region 1","1 wk ahead","percent","Bin","0.5","0.6",0
"HHS Region 1","1 wk ahead","percent","Bin","0.6","0.7",0
"HHS Region 1","1 wk ahead","percent","Bin","0.7","0.8",0
"HHS Region 1","1 wk ahead","percent","Bin","0.8","0.9",0
"HHS Region 1","1 wk ahead","percent","Bin","0.9","1",0
"HHS Region 1","1 wk ahead","percent","Bin","1","1.1",0
"HHS Region 1","1 wk ahead","percent","Bin","1.1","1.2",0
"HHS Region 1","1 wk ahead","percent","Bin","1.2","1.3",0
"HHS Region 1","1 wk ahead","percent","Bin","1.3","1.4",0
"HHS Region 1","1 wk ahead","percent","Bin","1.4","1.5",7.50018750468762e-05
"HHS Region 1","1 wk ahead","percent","Bin","1.5","1.6",0.000150003750093752
"HHS Region 1","1 wk ahead","percent","Bin","1.6","1.7",0.000525013125328133
"HHS Region 1","1 wk ahead","percent","Bin","1.7","1.8",0.00097502437560939
"HHS Region 1","1 wk ahead","percent","Bin","1.8","1.9",0.00172504312607815
"HHS Region 1","1 wk ahead","percent","Bin","1.9","2",0.00367509187729693
"HHS Region 1","1 wk ahead","percent","Bin","2","2.1",0.00735018375459386
"HHS Region 1","1 wk ahead","percent","Bin","2.1","2.2",0.0105752643816095
"HHS Region 1","1 wk ahead","percent","Bin","2.2","2.3",0.0172504312607815
"HHS Region 1","1 wk ahead","percent","Bin","2.3","2.4",0.0244506112652816
"HHS Region 1","1 wk ahead","percent","Bin","2.4","2.5",0.0355508887722193
"HHS Region 1","1 wk ahead","percent","Bin","2.5","2.6",0.0458261456536413
"HHS Region 1","1 wk ahead","percent","Bin","2.6","2.7",0.0580514512862822
"HHS Region 1","1 wk ahead","percent","Bin","2.7","2.8",0.0746268656716418
"HHS Region 1","1 wk ahead","percent","Bin","2.8","2.9",0.0797269931748294
"HHS Region 1","1 wk ahead","percent","Bin","2.9","3",0.0855021375534388
"HHS Region 1","1 wk ahead","percent","Bin","3","3.1",0.0819770494262357
"HHS Region 1","1 wk ahead","percent","Bin","3.1","3.2",0.0807770194254856
"HHS Region 1","1 wk ahead","percent","Bin","3.2","3.3",0.0748518712967824
"HHS Region 1","1 wk ahead","percent","Bin","3.3","3.4",0.0640516012900322
"HHS Region 1","1 wk ahead","percent","Bin","3.4","3.5",0.0561764044101103
"HHS Region 1","1 wk ahead","percent","Bin","3.5","3.6",0.0468011700292507
"HHS Region 1","1 wk ahead","percent","Bin","3.6","3.7",0.0353258831470787
"HHS Region 1","1 wk ahead","percent","Bin","3.7","3.8",0.0294007350183755
"HHS Region 1","1 wk ahead","percent","Bin","3.8","3.9",0.0232505812645316
"HHS Region 1","1 wk ahead","percent","Bin","3.9","4",0.0160504012600315
"HHS Region 1","1 wk ahead","percent","Bin","4","4.1",0.0135003375084377
"HHS Region 1","1 wk ahead","percent","Bin","4.1","4.2",0.00877521938048451
"HHS Region 1","1 wk ahead","percent","Bin","4.2","4.3",0.00712517812945324
"HHS Region 1","1 wk ahead","percent","Bin","4.3","4.4",0.00435010875271882
"HHS Region 1","1 wk ahead","percent","Bin","4.4","4.5",0.0031500787519688
"HHS Region 1","1 wk ahead","percent","Bin","4.5","4.6",0.00210005250131253
"HHS Region 1","1 wk ahead","percent","Bin","4.6","4.7",0.00135003375084377
"HHS Region 1","1 wk ahead","percent","Bin","4.7","4.8",0.00120003000075002
"HHS Region 1","1 wk ahead","percent","Bin","4.8","4.9",0.000900022500562514
"HHS Region 1","1 wk ahead","percent","Bin","4.9","5",0.000750018750468762
"HHS Region 1","1 wk ahead","percent","Bin","5","5.1",0.000525013125328133
"HHS Region 1","1 wk ahead","percent","Bin","5.1","5.2",0.000375009375234381
"HHS Region 1","1 wk ahead","percent","Bin","5.2","5.3",0.000450011250281257
"HHS Region 1","1 wk ahead","percent","Bin","5.3","5.4",7.50018750468762e-05
"HHS Region 1","1 wk ahead","percent","Bin","5.4","5.5",0.000225005625140629
"HHS Region 1","1 wk ahead","percent","Bin","5.5","5.6",7.50018750468762e-05
"HHS Region 1","1 wk ahead","percent","Bin","5.6","5.7",7.50018750468762e-05
"HHS Region 1","1 wk ahead","percent","Bin","5.7","5.8",0.000150003750093752
"HHS Region 1","1 wk ahead","percent","Bin","5.8","5.9",7.50018750468762e-05
"HHS Region 1","1 wk ahead","percent","Bin","5.9","6",7.50018750468762e-05
"HHS Region 1","1 wk ahead","percent","Bin","6","6.1",0
"HHS Region 1","1 wk ahead","percent","Bin","6.1","6.2",0
"HHS Region 1","1 wk ahead","percent","Bin","6.2","6.3",0
"HHS Region 1","1 wk ahead","percent","Bin","6.3","6.4",0
"HHS Region 1","1 wk ahead","percent","Bin","6.4","6.5",0
"HHS Region 1","1 wk ahead","percent","Bin","6.5","6.6",0
"HHS Region 1","1 wk ahead","percent","Bin","6.6","6.7",0
"HHS Region 1","1 wk ahead","percent","Bin","6.7","6.8",0
"HHS Region 1","1 wk ahead","percent","Bin","6.8","6.9",0
"HHS Region 1","1 wk ahead","percent","Bin","6.9","7",0
"HHS Region 1","1 wk ahead","percent","Bin","7","7.1",0
"HHS Region 1","1 wk ahead","percent","Bin","7.1","7.2",0
"HHS Region 1","1 wk ahead","percent","Bin","7.2","7.3",0
"HHS Region 1","1 wk ahead","percent","Bin","7.3","7.4",0
"HHS Region 1","1 wk ahead","percent","Bin","7.4","7.5",0
"HHS Region 1","1 wk ahead","percent","Bin","7.5","7.6",0
"HHS Region 1","1 wk ahead","percent","Bin","7.6","7.7",0
"HHS Region 1","1 wk ahead","percent","Bin","7.7","7.8",0
"HHS Region 1","1 wk ahead","percent","Bin","7.8","7.9",0
"HHS Region 1","1 wk ahead","percent","Bin","7.9","8",0
"HHS Region 1","1 wk ahead","percent","Bin","8","8.1",0
"HHS Region 1","1 wk ahead","percent","Bin","8.1","8.2",0
"HHS Region 1","1 wk ahead","percent","Bin","8.2","8.3",0
"HHS Region 1","1 wk ahead","percent","Bin","8.3","8.4",0
"HHS Region 1","1 wk ahead","percent","Bin","8.4","8.5",0
"HHS Region 1","1 wk ahead","percent","Bin","8.5","8.6",0
