Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,52
US National,Season onset,Bin,week,40,41,0
US National,Season onset,Bin,week,41,42,0
US National,Season onset,Bin,week,42,43,0
US National,Season onset,Bin,week,43,44,0
US National,Season onset,Bin,week,44,45,0
US National,Season onset,Bin,week,45,46,0
US National,Season onset,Bin,week,46,47,0
US National,Season onset,Bin,week,47,48,0.048142977
US National,Season onset,Bin,week,48,49,0.077228274
US National,Season onset,Bin,week,49,50,0.108732299
US National,Season onset,Bin,week,50,51,0.134363861
US National,Season onset,Bin,week,51,52,0.145730275
US National,Season onset,Bin,week,52,53,0.138727058
US National,Season onset,Bin,week,1,2,0.115908754
US National,Season onset,Bin,week,2,3,0.084998936
US National,Season onset,Bin,week,3,4,0.054707942
US National,Season onset,Bin,week,4,5,0.030904613
US National,Season onset,Bin,week,5,6,0.015322431
US National,Season onset,Bin,week,6,7,0.006667421
US National,Season onset,Bin,week,7,8,0.002546288
US National,Season onset,Bin,week,8,9,0.002245982
US National,Season onset,Bin,week,9,10,0.002245982
US National,Season onset,Bin,week,10,11,0.002245982
US National,Season onset,Bin,week,11,12,0.002245982
US National,Season onset,Bin,week,12,13,0.002245982
US National,Season onset,Bin,week,13,14,0.002245982
US National,Season onset,Bin,week,14,15,0.002245982
US National,Season onset,Bin,week,15,16,0.002245982
US National,Season onset,Bin,week,16,17,0.002245982
US National,Season onset,Bin,week,17,18,0.002245982
US National,Season onset,Bin,week,18,19,0.002245982
US National,Season onset,Bin,week,19,20,0.002245982
US National,Season onset,Bin,week,20,21,0.002245982
US National,Season onset,Bin,week,none,none,0.006821098
US National,Season peak week,Point,week,NA,NA,7
US National,Season peak week,Bin,week,40,41,0
US National,Season peak week,Bin,week,41,42,0
US National,Season peak week,Bin,week,42,43,0
US National,Season peak week,Bin,week,43,44,0
US National,Season peak week,Bin,week,44,45,0
US National,Season peak week,Bin,week,45,46,0
US National,Season peak week,Bin,week,46,47,0.001816138
US National,Season peak week,Bin,week,47,48,0.00330261
US National,Season peak week,Bin,week,48,49,0.005713791
US National,Season peak week,Bin,week,49,50,0.009404809
US National,Season peak week,Bin,week,50,51,0.014727689
US National,Season peak week,Bin,week,51,52,0.021942109
US National,Season peak week,Bin,week,52,53,0.031101508
US National,Season peak week,Bin,week,1,2,0.041941502
US National,Season peak week,Bin,week,2,3,0.053810389
US National,Season peak week,Bin,week,3,4,0.065682246
US National,Season peak week,Bin,week,4,5,0.076276308
US National,Season peak week,Bin,week,5,6,0.084273536
US National,Season peak week,Bin,week,6,7,0.088583469
US National,Season peak week,Bin,week,7,8,0.088587837
US National,Season peak week,Bin,week,8,9,0.084286003
US National,Season peak week,Bin,week,9,10,0.076295116
US National,Season peak week,Bin,week,10,11,0.06570492
US National,Season peak week,Bin,week,11,12,0.053834273
US National,Season peak week,Bin,week,12,13,0.041964257
US National,Season peak week,Bin,week,13,14,0.03112145
US National,Season peak week,Bin,week,14,15,0.021958344
US National,Season peak week,Bin,week,15,16,0.01474004
US National,Season peak week,Bin,week,16,17,0.009413624
US National,Season peak week,Bin,week,17,18,0.00571971
US National,Season peak week,Bin,week,18,19,0.003306358
US National,Season peak week,Bin,week,19,20,0.002245982
US National,Season peak week,Bin,week,20,21,0.002245982
US National,Season peak percentage,Point,percent,NA,NA,4.5
US National,Season peak percentage,Bin,percent,0,0.1,0
US National,Season peak percentage,Bin,percent,0.1,0.2,0
US National,Season peak percentage,Bin,percent,0.2,0.3,0
US National,Season peak percentage,Bin,percent,0.3,0.4,0
US National,Season peak percentage,Bin,percent,0.4,0.5,0
US National,Season peak percentage,Bin,percent,0.5,0.6,0
US National,Season peak percentage,Bin,percent,0.6,0.7,0
US National,Season peak percentage,Bin,percent,0.7,0.8,0
US National,Season peak percentage,Bin,percent,0.8,0.9,0
US National,Season peak percentage,Bin,percent,0.9,1,0
US National,Season peak percentage,Bin,percent,1,1.1,0
US National,Season peak percentage,Bin,percent,1.1,1.2,0
US National,Season peak percentage,Bin,percent,1.2,1.3,0
US National,Season peak percentage,Bin,percent,1.3,1.4,0
US National,Season peak percentage,Bin,percent,1.4,1.5,0
US National,Season peak percentage,Bin,percent,1.5,1.6,0
US National,Season peak percentage,Bin,percent,1.6,1.7,0.005963707
US National,Season peak percentage,Bin,percent,1.7,1.8,0.006584515
US National,Season peak percentage,Bin,percent,1.8,1.9,0.007243832
US National,Season peak percentage,Bin,percent,1.9,2,0.007940543
US National,Season peak percentage,Bin,percent,2,2.1,0.008672996
US National,Season peak percentage,Bin,percent,2.1,2.2,0.009438985
US National,Season peak percentage,Bin,percent,2.2,2.3,0.010235725
US National,Season peak percentage,Bin,percent,2.3,2.4,0.011059846
US National,Season peak percentage,Bin,percent,2.4,2.5,0.011907395
US National,Season peak percentage,Bin,percent,2.5,2.6,0.012773844
US National,Season peak percentage,Bin,percent,2.6,2.7,0.013654117
US National,Season peak percentage,Bin,percent,2.7,2.8,0.014542625
US National,Season peak percentage,Bin,percent,2.8,2.9,0.015433313
US National,Season peak percentage,Bin,percent,2.9,3,0.01631972
US National,Season peak percentage,Bin,percent,3,3.1,0.017195048
US National,Season peak percentage,Bin,percent,3.1,3.2,0.018052248
US National,Season peak percentage,Bin,percent,3.2,3.3,0.018884102
US National,Season peak percentage,Bin,percent,3.3,3.4,0.01968333
US National,Season peak percentage,Bin,percent,3.4,3.5,0.020442687
US National,Season peak percentage,Bin,percent,3.5,3.6,0.021155074
US National,Season peak percentage,Bin,percent,3.6,3.7,0.021813649
US National,Season peak percentage,Bin,percent,3.7,3.8,0.022411929
US National,Season peak percentage,Bin,percent,3.8,3.9,0.022943905
US National,Season peak percentage,Bin,percent,3.9,4,0.023404136
US National,Season peak percentage,Bin,percent,4,4.1,0.023787843
US National,Season peak percentage,Bin,percent,4.1,4.2,0.024090993
US National,Season peak percentage,Bin,percent,4.2,4.3,0.024310366
US National,Season peak percentage,Bin,percent,4.3,4.4,0.024443617
US National,Season peak percentage,Bin,percent,4.4,4.5,0.024489314
US National,Season peak percentage,Bin,percent,4.5,4.6,0.024446964
US National,Season peak percentage,Bin,percent,4.6,4.7,0.024317024
US National,Season peak percentage,Bin,percent,4.7,4.8,0.024100891
US National,Season peak percentage,Bin,percent,4.8,4.9,0.023800876
US National,Season peak percentage,Bin,percent,4.9,5,0.023420166
US National,Season peak percentage,Bin,percent,5,5.1,0.022962764
US National,Season peak percentage,Bin,percent,5.1,5.2,0.022433422
