"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",1.67032736333517e-05
"US National","Season onset","week","Bin","41","42",1.0709746035502e-05
"US National","Season onset","week","Bin","42","43",6.09178214863416e-06
"US National","Season onset","week","Bin","43","44",1.86683646490401e-06
"US National","Season onset","week","Bin","44","45",4.81447298843667e-06
"US National","Season onset","week","Bin","45","46",1.42469098637412e-05
"US National","Season onset","week","Bin","46","47",2.44653831453211e-05
"US National","Season onset","week","Bin","47","48",3.72384747472959e-05
"US National","Season onset","week","Bin","48","49",5.9149239572222e-05
"US National","Season onset","week","Bin","49","50",9.17697504326501e-05
"US National","Season onset","week","Bin","50","51",0.999145283662726
"US National","Season onset","week","Bin","51","52",0.000132938407211323
"US National","Season onset","week","Bin","52","53",0.000120558333812486
"US National","Season onset","week","Bin","1","2",7.95861861353818e-05
"US National","Season onset","week","Bin","2","3",4.38215296498521e-05
"US National","Season onset","week","Bin","3","4",3.5862911036314e-05
"US National","Season onset","week","Bin","4","5",3.62559292394517e-05
"US National","Season onset","week","Bin","5","6",3.74349838488648e-05
"US National","Season onset","week","Bin","6","7",2.68234923641472e-05
"US National","Season onset","week","Bin","7","8",2.18125102741417e-05
"US National","Season onset","week","Bin","8","9",1.8864873750609e-05
"US National","Season onset","week","Bin","9","10",1.61137463286452e-05
"US National","Season onset","week","Bin","10","11",1.04149823831487e-05
"US National","Season onset","week","Bin","11","12",5.30574574235878e-06
"US National","Season onset","week","Bin","12","13",8.84290957059798e-07
"US National","Season onset","week","Bin","13","14",1.96509101568844e-07
"US National","Season onset","week","Bin","14","15",9.8254550784422e-08
"US National","Season onset","week","Bin","15","16",9.8254550784422e-08
"US National","Season onset","week","Bin","16","17",9.8254550784422e-08
"US National","Season onset","week","Bin","17","18",9.8254550784422e-08
"US National","Season onset","week","Bin","18","19",9.8254550784422e-08
"US National","Season onset","week","Bin","19","20",9.8254550784422e-08
"US National","Season onset","week","Bin","20","21",9.8254550784422e-08
"US National","Season onset","week","Bin","none","none",9.8254550784422e-08
"US National","Season peak week","week","Bin","40","41",2.13896194672303e-06
"US National","Season peak week","week","Bin","41","42",2.68898073302324e-06
"US National","Season peak week","week","Bin","42","43",2.90287692769554e-06
"US National","Season peak week","week","Bin","43","44",2.44452793911203e-06
"US National","Season peak week","week","Bin","44","45",1.77228275585623e-06
"US National","Season peak week","week","Bin","45","46",1.65005635890062e-06
"US National","Season peak week","week","Bin","46","47",1.55838656118392e-06
"US National","Season peak week","week","Bin","47","48",2.10840534748413e-06
"US National","Season peak week","week","Bin","48","49",4.40015029040167e-06
"US National","Season peak week","week","Bin","49","50",7.82248940515852e-06
"US National","Season peak week","week","Bin","50","51",1.08475927298097e-05
"US National","Season peak week","week","Bin","51","52",1.49116204285834e-05
"US National","Season peak week","week","Bin","52","53",1.76311577608456e-05
"US National","Season peak week","week","Bin","1","2",1.79061671539957e-05
"US National","Season peak week","week","Bin","2","3",1.76617143600844e-05
"US National","Season peak week","week","Bin","3","4",1.98617895052853e-05
"US National","Season peak week","week","Bin","4","5",2.10534968756024e-05
"US National","Season peak week","week","Bin","5","6",2.42008265972092e-05
"US National","Season peak week","week","Bin","6","7",0.692975129003867
"US National","Season peak week","week","Bin","7","8",2.53314207690485e-05
"US National","Season peak week","week","Bin","8","9",0.0559334358434433
"US National","Season peak week","week","Bin","9","10",0.0838867755160434
"US National","Season peak week","week","Bin","10","11",0.114558379114951
"US National","Season peak week","week","Bin","11","12",0.0280717225047282
"US National","Season peak week","week","Bin","12","13",0.0142653346048767
"US National","Season peak week","week","Bin","13","14",0.00736845566314049
"US National","Season peak week","week","Bin","14","15",0.000663020680412127
"US National","Season peak week","week","Bin","15","16",0.000756140246853655
"US National","Season peak week","week","Bin","16","17",0.000567215358968403
"US National","Season peak week","week","Bin","17","18",9.45251700065166e-05
"US National","Season peak week","week","Bin","18","19",0.000472106387845521
"US National","Season peak week","week","Bin","19","20",0.000188836443818361
"US National","Season peak week","week","Bin","20","21",3.05565992389005e-08
"US National","Season peak percentage","percent","Bin","0","0.1",5.01675753122917e-08
"US National","Season peak percentage","percent","Bin","0.1","0.2",5.01675753122917e-08
"US National","Season peak percentage","percent","Bin","0.2","0.3",5.01675753122917e-08
"US National","Season peak percentage","percent","Bin","0.3","0.4",5.01675753122917e-08
"US National","Season peak percentage","percent","Bin","0.4","0.5",8.02681204996669e-07
"US National","Season peak percentage","percent","Bin","0.5","0.6",3.31105997061125e-06
"US National","Season peak percentage","percent","Bin","0.6","0.7",7.57530387215605e-06
"US National","Season peak percentage","percent","Bin","0.7","0.8",6.62211994122252e-06
"US National","Season peak percentage","percent","Bin","0.8","0.9",4.16390875092021e-06
"US National","Season peak percentage","percent","Bin","0.9","1",1.75586513593021e-06
"US National","Season peak percentage","percent","Bin","1","1.1",6.52178479059792e-07
"US National","Season peak percentage","percent","Bin","1.1","1.2",1.50502725936875e-07
"US National","Season peak percentage","percent","Bin","1.2","1.3",1.00335150624583e-07
"US National","Season peak percentage","percent","Bin","1.3","1.4",1.00335150624583e-07
"US National","Season peak percentage","percent","Bin","1.4","1.5",1.00335150624583e-07
"US National","Season peak percentage","percent","Bin","1.5","1.6",3.0100545187375e-07
"US National","Season peak percentage","percent","Bin","1.6","1.7",6.02010903747498e-07
"US National","Season peak percentage","percent","Bin","1.7","1.8",8.02681204996669e-07
"US National","Season peak percentage","percent","Bin","1.8","1.9",1.05351908155812e-06
"US National","Season peak percentage","percent","Bin","1.9","2",1.204021807495e-06
"US National","Season peak percentage","percent","Bin","2","2.1",2.20737331374083e-06
"US National","Season peak percentage","percent","Bin","2.1","2.2",2.85955179280063e-06
"US National","Season peak percentage","percent","Bin","2.2","2.3",3.81273572373417e-06
"US National","Season peak percentage","percent","Bin","2.3","2.4",3.06022209404979e-06
