Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50.0050167351923
US National,Season onset,Bin,week,40,41,7.58799658557999e-05
US National,Season onset,Bin,week,41,42,5.70372897708026e-05
US National,Season onset,Bin,week,42,43,2.95371679170228e-05
US National,Season onset,Bin,week,43,44,1.37500609268899e-05
US National,Season onset,Bin,week,44,45,3.41205215593194e-05
US National,Season onset,Bin,week,45,46,7.1296612213503e-05
US National,Season onset,Bin,week,46,47,0.000126806117436874
US National,Season onset,Bin,week,47,48,0.000203195344808484
US National,Season onset,Bin,week,48,49,0.000308103217065496
US National,Season onset,Bin,week,49,50,0.000474631732735607
US National,Season onset,Bin,week,50,51,0.924705633524663
US National,Season onset,Bin,week,51,52,0.000711947599103411
US National,Season onset,Bin,week,52,53,0.00150256848226909
US National,Season onset,Bin,week,1,2,0.00128278103864799
US National,Season onset,Bin,week,2,3,0.0051195709143969
US National,Season onset,Bin,week,3,4,0.00625986484179693
US National,Season onset,Bin,week,4,5,0.00493523954103051
US National,Season onset,Bin,week,5,6,0.00478899401923672
US National,Season onset,Bin,week,6,7,0.00451298470283662
US National,Season onset,Bin,week,7,8,0.00268513914516983
US National,Season onset,Bin,week,8,9,0.00158047622301065
US National,Season onset,Bin,week,9,10,0.00257769758686499
US National,Season onset,Bin,week,10,11,0.00145052234212835
US National,Season onset,Bin,week,11,12,0.000128324400009532
US National,Season onset,Bin,week,12,13,0.000115797034654055
US National,Season onset,Bin,week,13,14,0.000312758201330587
US National,Season onset,Bin,week,14,15,9.47569570617377e-06
US National,Season onset,Bin,week,15,16,0.000212548000572434
US National,Season onset,Bin,week,16,17,8.25300013476063e-06
US National,Season onset,Bin,week,17,18,1.1105956468058e-05
US National,Season onset,Bin,week,18,19,5.09261515810739e-07
US National,Season onset,Bin,week,19,20,5.09261515810739e-07
US National,Season onset,Bin,week,20,21,5.09261515810739e-07
US National,Season onset,Bin,week,none,none,0.0356924319351328
US National,Season peak week,Point,week,NA,NA,3.01810358713686
US National,Season peak week,Bin,week,40,41,3.05255825916092e-05
US National,Season peak week,Bin,week,41,42,4.32908262208276e-05
US National,Season peak week,Bin,week,42,43,4.8285921554e-05
US National,Season peak week,Bin,week,43,44,3.99607626653793e-05
US National,Season peak week,Bin,week,44,45,3.60756885173563e-05
US National,Season peak week,Bin,week,45,46,2.22004237029885e-05
US National,Season peak week,Bin,week,46,47,3.27456249619081e-05
US National,Season peak week,Bin,week,47,48,4.66208897762759e-05
US National,Season peak week,Bin,week,48,49,8.99117159971036e-05
US National,Season peak week,Bin,week,49,50,0.000140972690513977
US National,Season peak week,Bin,week,50,51,0.0160754683352647
US National,Season peak week,Bin,week,51,52,0.237489415091122
US National,Season peak week,Bin,week,52,53,0.186362894137271
US National,Season peak week,Bin,week,1,2,0.00658351593618403
US National,Season peak week,Bin,week,2,3,0.0154001379081842
US National,Season peak week,Bin,week,3,4,0.0418612610912248
US National,Season peak week,Bin,week,4,5,0.042631219629758
US National,Season peak week,Bin,week,5,6,0.0396794599043512
US National,Season peak week,Bin,week,6,7,0.0642520800917971
US National,Season peak week,Bin,week,7,8,0.0776797013801779
US National,Season peak week,Bin,week,8,9,0.0352403465773207
US National,Season peak week,Bin,week,9,10,0.0627054635023286
US National,Season peak week,Bin,week,10,11,0.0929533605008433
US National,Season peak week,Bin,week,11,12,0.0318870477058461
US National,Season peak week,Bin,week,12,13,0.0206550746955223
US National,Season peak week,Bin,week,13,14,0.0149949102132055
US National,Season peak week,Bin,week,14,15,0.00221910000002462
US National,Season peak week,Bin,week,15,16,0.00231216801614132
US National,Season peak week,Bin,week,16,17,0.00175428791934086
US National,Season peak week,Bin,week,17,18,0.0029832078592441
US National,Season peak week,Bin,week,18,19,0.00172506381643202
US National,Season peak week,Bin,week,19,20,0.000915108709576404
US National,Season peak week,Bin,week,20,21,0.00110911685233725
US National,Season peak percentage,Point,percent,NA,NA,4.29777449932293
US National,Season peak percentage,Bin,percent,0,0.1,3.38192634450105e-07
US National,Season peak percentage,Bin,percent,0.1,0.2,3.38192634450105e-07
US National,Season peak percentage,Bin,percent,0.2,0.3,3.38192634450105e-07
US National,Season peak percentage,Bin,percent,0.3,0.4,3.38192634450105e-07
US National,Season peak percentage,Bin,percent,0.4,0.5,3.72011897895114e-06
US National,Season peak percentage,Bin,percent,0.5,0.6,2.73936033904585e-05
US National,Season peak percentage,Bin,percent,0.6,0.7,5.34344362431165e-05
US National,Season peak percentage,Bin,percent,0.7,0.8,4.83615467263652e-05
US National,Season peak percentage,Bin,percent,0.8,0.9,3.41574560794606e-05
US National,Season peak percentage,Bin,percent,0.9,1,1.25131274746539e-05
US National,Season peak percentage,Bin,percent,1,1.1,4.39650424785136e-06
US National,Season peak percentage,Bin,percent,1.1,1.2,1.69096317225053e-06
US National,Season peak percentage,Bin,percent,1.2,1.3,6.7638526890021e-07
US National,Season peak percentage,Bin,percent,1.3,1.4,6.7638526890021e-07
US National,Season peak percentage,Bin,percent,1.4,1.5,6.7638526890021e-07
US National,Season peak percentage,Bin,percent,1.5,1.6,1.35277053780042e-06
US National,Season peak percentage,Bin,percent,1.6,1.7,2.02915580670063e-06
US National,Season peak percentage,Bin,percent,1.7,1.8,5.41108215120169e-06
US National,Season peak percentage,Bin,percent,1.8,1.9,5.7492747856518e-06
US National,Season peak percentage,Bin,percent,1.9,2,8.45481586125261e-06
US National,Season peak percentage,Bin,percent,2,2.1,1.2851320109104e-05
US National,Season peak percentage,Bin,percent,2.1,2.2,2.06297507014564e-05
US National,Season peak percentage,Bin,percent,2.2,2.3,2.29970991426071e-05
US National,Season peak percentage,Bin,percent,2.3,2.4,0.0679926471153584
US National,Season peak percentage,Bin,percent,2.4,2.5,0.00921173035371647
US National,Season peak percentage,Bin,percent,2.5,2.6,0.0129334505995364
US National,Season peak percentage,Bin,percent,2.6,2.7,0.0184319712762129
US National,Season peak percentage,Bin,percent,2.7,2.8,0.0162904693018855
US National,Season peak percentage,Bin,percent,2.8,2.9,0.0183051642201741
US National,Season peak percentage,Bin,percent,2.9,3,0.0174395358193839
US National,Season peak percentage,Bin,percent,3,3.1,0.0175670706850639
US National,Season peak percentage,Bin,percent,3.1,3.2,0.0226522752799704
US National,Season peak percentage,Bin,percent,3.2,3.3,0.0268246384477812
US National,Season peak percentage,Bin,percent,3.3,3.4,0.0280218511652179
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0294764481357909
US National,Season peak percentage,Bin,percent,3.5,3.6,0.0316491467607195
US National,Season peak percentage,Bin,percent,3.6,3.7,0.0301373535049309
US National,Season peak percentage,Bin,percent,3.7,3.8,0.0318088142552187
US National,Season peak percentage,Bin,percent,3.8,3.9,0.0251266671239872
US National,Season peak percentage,Bin,percent,3.9,4,0.0224211016346101
US National,Season peak percentage,Bin,percent,4,4.1,0.0183636444922897
US National,Season peak percentage,Bin,percent,4.1,4.2,0.0169612792085815
US National,Season peak percentage,Bin,percent,4.2,4.3,0.0181265561257667
US National,Season peak percentage,Bin,percent,4.3,4.4,0.0245546125144733
US National,Season peak percentage,Bin,percent,4.4,4.5,0.027718446652358
US National,Season peak percentage,Bin,percent,4.5,4.6,0.0253310333231138
US National,Season peak percentage,Bin,percent,4.6,4.7,0.0233408353694112
US National,Season peak percentage,Bin,percent,4.7,4.8,0.0203395583533675
US National,Season peak percentage,Bin,percent,4.8,4.9,0.0173795596002847
US National,Season peak percentage,Bin,percent,4.9,5,0.0154904331562507
US National,Season peak percentage,Bin,percent,5,5.1,0.0133871770511831
US National,Season peak percentage,Bin,percent,5.1,5.2,0.0141790577698513
US National,Season peak percentage,Bin,percent,5.2,5.3,0.0117923194235835
US National,Season peak percentage,Bin,percent,5.3,5.4,0.00960588323398999
US National,Season peak percentage,Bin,percent,5.4,5.5,0.0107867399807955
US National,Season peak percentage,Bin,percent,5.5,5.6,0.0132700292060141
US National,Season peak percentage,Bin,percent,5.6,5.7,0.0174443629721279
US National,Season peak percentage,Bin,percent,5.7,5.8,0.0160429794818398
US National,Season peak percentage,Bin,percent,5.8,5.9,0.0156498509955173
US National,Season peak percentage,Bin,percent,5.9,6,0.0185214740503798
US National,Season peak percentage,Bin,percent,6,6.1,0.0142505894053153
US National,Season peak percentage,Bin,percent,6.1,6.2,0.0172318601075928
US National,Season peak percentage,Bin,percent,6.2,6.3,0.0155411879461076
US National,Season peak percentage,Bin,percent,6.3,6.4,0.0121585522146883
US National,Season peak percentage,Bin,percent,6.4,6.5,0.0113650432972291
US National,Season peak percentage,Bin,percent,6.5,6.6,0.00907750141119127
US National,Season peak percentage,Bin,percent,6.6,6.7,0.00778379917689267
US National,Season peak percentage,Bin,percent,6.7,6.8,0.00709375909744132
US National,Season peak percentage,Bin,percent,6.8,6.9,0.00589670188866535
US National,Season peak percentage,Bin,percent,6.9,7,0.00728391267049711
US National,Season peak percentage,Bin,percent,7,7.1,0.00847657477731775
US National,Season peak percentage,Bin,percent,7.1,7.2,0.00718081200502181
US National,Season peak percentage,Bin,percent,7.2,7.3,0.00866891161254842
US National,Season peak percentage,Bin,percent,7.3,7.4,0.00946564834998399
US National,Season peak percentage,Bin,percent,7.4,7.5,0.00807511700389648
US National,Season peak percentage,Bin,percent,7.5,7.6,0.00836591114970702
US National,Season peak percentage,Bin,percent,7.6,7.7,0.00748387382995197
US National,Season peak percentage,Bin,percent,7.7,7.8,0.00697190513299562
US National,Season peak percentage,Bin,percent,7.8,7.9,0.00697359609616787
