Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,51
US National,Season onset,Bin,week,40,41,0.00283
US National,Season onset,Bin,week,41,42,0.00283
US National,Season onset,Bin,week,42,43,0.00283
US National,Season onset,Bin,week,43,44,0.00283
US National,Season onset,Bin,week,44,45,0.00283
US National,Season onset,Bin,week,45,46,0.00283
US National,Season onset,Bin,week,46,47,0.00283
US National,Season onset,Bin,week,47,48,0.00283
US National,Season onset,Bin,week,48,49,0.02974
US National,Season onset,Bin,week,49,50,0.09328
US National,Season onset,Bin,week,50,51,0.12087
US National,Season onset,Bin,week,51,52,0.12972
US National,Season onset,Bin,week,52,53,0.10795
US National,Season onset,Bin,week,1,2,0.09065
US National,Season onset,Bin,week,2,3,0.06929
US National,Season onset,Bin,week,3,4,0.05414
US National,Season onset,Bin,week,4,5,0.04066
US National,Season onset,Bin,week,5,6,0.02727
US National,Season onset,Bin,week,6,7,0.0224
US National,Season onset,Bin,week,7,8,0.01411
US National,Season onset,Bin,week,8,9,0.01068
US National,Season onset,Bin,week,9,10,0.00606
US National,Season onset,Bin,week,10,11,0.00534
US National,Season onset,Bin,week,11,12,0.00311
US National,Season onset,Bin,week,12,13,0.00283
US National,Season onset,Bin,week,13,14,0.00283
US National,Season onset,Bin,week,14,15,0.00283
US National,Season onset,Bin,week,15,16,0.00283
US National,Season onset,Bin,week,16,17,0.00283
US National,Season onset,Bin,week,17,18,0.00283
US National,Season onset,Bin,week,18,19,0.00283
US National,Season onset,Bin,week,19,20,0.00283
US National,Season onset,Bin,week,20,21,0.00283
US National,Season onset,Bin,week,none,none,0.12669
US National,Season peak week,Point,week,NA,NA,6
US National,Season peak week,Bin,week,40,41,0.00285
US National,Season peak week,Bin,week,41,42,0.00285
US National,Season peak week,Bin,week,42,43,0.00285
US National,Season peak week,Bin,week,43,44,0.00285
US National,Season peak week,Bin,week,44,45,0.00285
US National,Season peak week,Bin,week,45,46,0.00285
US National,Season peak week,Bin,week,46,47,0.00285
US National,Season peak week,Bin,week,47,48,0.00285
US National,Season peak week,Bin,week,48,49,0.00285
US National,Season peak week,Bin,week,49,50,0.00285
US National,Season peak week,Bin,week,50,51,0.00716
US National,Season peak week,Bin,week,51,52,0.01263
US National,Season peak week,Bin,week,52,53,0.02309
US National,Season peak week,Bin,week,1,2,0.03846
US National,Season peak week,Bin,week,2,3,0.04949
US National,Season peak week,Bin,week,3,4,0.07089
US National,Season peak week,Bin,week,4,5,0.08529
US National,Season peak week,Bin,week,5,6,0.09849
US National,Season peak week,Bin,week,6,7,0.10203
US National,Season peak week,Bin,week,7,8,0.10952
US National,Season peak week,Bin,week,8,9,0.09833
US National,Season peak week,Bin,week,9,10,0.08256
US National,Season peak week,Bin,week,10,11,0.06148
US National,Season peak week,Bin,week,11,12,0.04603
US National,Season peak week,Bin,week,12,13,0.03203
US National,Season peak week,Bin,week,13,14,0.02213
US National,Season peak week,Bin,week,14,15,0.01175
US National,Season peak week,Bin,week,15,16,0.00587
US National,Season peak week,Bin,week,16,17,0.00285
US National,Season peak week,Bin,week,17,18,0.00285
US National,Season peak week,Bin,week,18,19,0.00285
US National,Season peak week,Bin,week,19,20,0.00285
US National,Season peak week,Bin,week,20,21,0.00285
US National,Season peak percentage,Point,percent,NA,NA,3.2
US National,Season peak percentage,Bin,percent,0,0.1,0.000529983
US National,Season peak percentage,Bin,percent,0.1,0.2,0.000529983
US National,Season peak percentage,Bin,percent,0.2,0.3,0.000529983
US National,Season peak percentage,Bin,percent,0.3,0.4,0.000529983
US National,Season peak percentage,Bin,percent,0.4,0.5,0.000529983
US National,Season peak percentage,Bin,percent,0.5,0.6,0.000529983
US National,Season peak percentage,Bin,percent,0.6,0.7,0.000529983
US National,Season peak percentage,Bin,percent,0.7,0.8,0.000529983
US National,Season peak percentage,Bin,percent,0.8,0.9,0.000529983
US National,Season peak percentage,Bin,percent,0.9,1,0.000529983
US National,Season peak percentage,Bin,percent,1,1.1,0.000529983
US National,Season peak percentage,Bin,percent,1.1,1.2,0.000529983
US National,Season peak percentage,Bin,percent,1.2,1.3,0.000529983
US National,Season peak percentage,Bin,percent,1.3,1.4,0.000529983
US National,Season peak percentage,Bin,percent,1.4,1.5,0.000529983
US National,Season peak percentage,Bin,percent,1.5,1.6,0.000529983
US National,Season peak percentage,Bin,percent,1.6,1.7,0.000529983
US National,Season peak percentage,Bin,percent,1.7,1.8,0.000529983
US National,Season peak percentage,Bin,percent,1.8,1.9,0.000718674
US National,Season peak percentage,Bin,percent,1.9,2,0.00207617
US National,Season peak percentage,Bin,percent,2,2.1,0.00471131
US National,Season peak percentage,Bin,percent,2.1,2.2,0.009502472
US National,Season peak percentage,Bin,percent,2.2,2.3,0.019723618
US National,Season peak percentage,Bin,percent,2.3,2.4,0.02890668
US National,Season peak percentage,Bin,percent,2.4,2.5,0.03952709
US National,Season peak percentage,Bin,percent,2.5,2.6,0.050387058
US National,Season peak percentage,Bin,percent,2.6,2.7,0.0619657
US National,Season peak percentage,Bin,percent,2.7,2.8,0.068114358
US National,Season peak percentage,Bin,percent,2.8,2.9,0.063882165
US National,Season peak percentage,Bin,percent,2.9,3,0.065159808
US National,Season peak percentage,Bin,percent,3,3.1,0.064281429
US National,Season peak percentage,Bin,percent,3.1,3.2,0.059570119
US National,Season peak percentage,Bin,percent,3.2,3.3,0.054858809
US National,Season peak percentage,Bin,percent,3.3,3.4,0.051664701
US National,Season peak percentage,Bin,percent,3.4,3.5,0.042801051
US National,Season peak percentage,Bin,percent,3.5,3.6,0.04072488
US National,Season peak percentage,Bin,percent,3.6,3.7,0.030823145
US National,Season peak percentage,Bin,percent,3.7,3.8,0.027549184
US National,Season peak percentage,Bin,percent,3.8,3.9,0.022598316
US National,Season peak percentage,Bin,percent,3.9,4,0.023796106
