"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.00223617497241174
"US National","Season onset","week","Bin","41","42",0.000737581935386011
"US National","Season onset","week","Bin","42","43",0.000998271220926136
"US National","Season onset","week","Bin","43","44",0.00185434738670994
"US National","Season onset","week","Bin","44","45",0.00347712660991329
"US National","Season onset","week","Bin","45","46",0.00629072210827717
"US National","Season onset","week","Bin","46","47",0.0155711704575403
"US National","Season onset","week","Bin","47","48",0.540009814765795
"US National","Season onset","week","Bin","48","49",0.0716707738887315
"US National","Season onset","week","Bin","49","50",0.152909263892172
"US National","Season onset","week","Bin","50","51",0.0681891222021047
"US National","Season onset","week","Bin","51","52",0.0603302538155892
"US National","Season onset","week","Bin","52","53",0.0140819585877903
"US National","Season onset","week","Bin","1","2",0.00478118465960501
"US National","Season onset","week","Bin","2","3",0.00324936332915611
"US National","Season onset","week","Bin","3","4",0.00326456539826282
"US National","Season onset","week","Bin","4","5",0.00256482812138523
"US National","Season onset","week","Bin","5","6",0.00212006433723977
"US National","Season onset","week","Bin","6","7",0.00150860075749144
"US National","Season onset","week","Bin","7","8",0.00122409928368286
"US National","Season onset","week","Bin","8","9",0.000898693763124151
"US National","Season onset","week","Bin","9","10",0.00086664880412613
"US National","Season onset","week","Bin","10","11",0.00058768180804116
"US National","Season onset","week","Bin","11","12",0.000403278549636917
"US National","Season onset","week","Bin","12","13",0.000231197208397365
"US National","Season onset","week","Bin","13","14",9.86793010081945e-05
"US National","Season onset","week","Bin","14","15",5.35753939654901e-05
"US National","Season onset","week","Bin","15","16",4.23911682089644e-05
"US National","Season onset","week","Bin","16","17",4.46898750634061e-05
"US National","Season onset","week","Bin","17","18",4.23925670106176e-05
"US National","Season onset","week","Bin","18","19",4.24161127240137e-05
"US National","Season onset","week","Bin","19","20",4.2665725227314e-05
"US National","Season onset","week","Bin","20","21",0.000197763399705256
"US National","Season onset","week","Bin","none","none",0.0393786385935904
"US National","Season peak week","week","Bin","40","41",0.00504206434712948
"US National","Season peak week","week","Bin","41","42",0.00296459970519022
"US National","Season peak week","week","Bin","42","43",0.00179394768073911
"US National","Season peak week","week","Bin","43","44",0.00136460609075294
"US National","Season peak week","week","Bin","44","45",0.00138835655524598
"US National","Season peak week","week","Bin","45","46",0.00174905695577078
"US National","Season peak week","week","Bin","46","47",0.00257333135573733
"US National","Season peak week","week","Bin","47","48",0.00328254696648476
"US National","Season peak week","week","Bin","48","49",0.011734065269152
"US National","Season peak week","week","Bin","49","50",0.0185937419147143
"US National","Season peak week","week","Bin","50","51",0.03544830455387
"US National","Season peak week","week","Bin","51","52",0.0358860312998774
"US National","Season peak week","week","Bin","52","53",0.207239530383377
