"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.00136000272000544
"US National","Season onset","week","Bin","41","42",0.00416100832201664
"US National","Season onset","week","Bin","42","43",0.0102130204260409
"US National","Season onset","week","Bin","43","44",0.0202080404160808
"US National","Season onset","week","Bin","44","45",0.0327890655781312
"US National","Season onset","week","Bin","45","46",0.0978581957163914
"US National","Season onset","week","Bin","46","47",0.138234276468553
"US National","Season onset","week","Bin","47","48",0.13237826475653
"US National","Season onset","week","Bin","48","49",0.0476520953041906
"US National","Season onset","week","Bin","49","50",0.11000022000044
"US National","Season onset","week","Bin","50","51",0.0652321304642609
"US National","Season onset","week","Bin","51","52",0.0897061794123588
"US National","Season onset","week","Bin","52","53",0.130326260652521
"US National","Season onset","week","Bin","1","2",0.030498060996122
"US National","Season onset","week","Bin","2","3",0.0209310418620837
"US National","Season onset","week","Bin","3","4",0.0458900917801836
"US National","Season onset","week","Bin","4","5",0.0146840293680587
"US National","Season onset","week","Bin","5","6",0.00456700913401827
"US National","Season onset","week","Bin","6","7",0.0021510043020086
"US National","Season onset","week","Bin","7","8",0.000827001654003308
"US National","Season onset","week","Bin","8","9",0.000256000512001024
"US National","Season onset","week","Bin","9","10",6.3000126000252e-05
"US National","Season onset","week","Bin","10","11",1.2000024000048e-05
"US National","Season onset","week","Bin","11","12",2.000004000008e-06
"US National","Season onset","week","Bin","12","13",0
"US National","Season onset","week","Bin","13","14",0
"US National","Season onset","week","Bin","14","15",0
"US National","Season onset","week","Bin","15","16",0
"US National","Season onset","week","Bin","16","17",0
"US National","Season onset","week","Bin","17","18",0
"US National","Season onset","week","Bin","18","19",0
"US National","Season onset","week","Bin","19","20",0
"US National","Season onset","week","Bin","20","21",0
"US National","Season onset","week","Bin","none","none",0
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",4.000004000004e-06
"US National","Season peak week","week","Bin","45","46",3.000003000003e-05
"US National","Season peak week","week","Bin","46","47",0.000177000177000177
"US National","Season peak week","week","Bin","47","48",0.000805000805000805
"US National","Season peak week","week","Bin","48","49",0.00289400289400289
