"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0
"US National","Season onset","week","Bin","41","42",0
"US National","Season onset","week","Bin","42","43",0
"US National","Season onset","week","Bin","43","44",0
"US National","Season onset","week","Bin","44","45",0
"US National","Season onset","week","Bin","45","46",0
"US National","Season onset","week","Bin","46","47",0
"US National","Season onset","week","Bin","47","48",1
"US National","Season onset","week","Bin","48","49",0
"US National","Season onset","week","Bin","49","50",0
"US National","Season onset","week","Bin","50","51",0
"US National","Season onset","week","Bin","51","52",0
"US National","Season onset","week","Bin","52","53",0
"US National","Season onset","week","Bin","1","2",0
"US National","Season onset","week","Bin","2","3",0
"US National","Season onset","week","Bin","3","4",0
"US National","Season onset","week","Bin","4","5",0
"US National","Season onset","week","Bin","5","6",0
"US National","Season onset","week","Bin","6","7",0
"US National","Season onset","week","Bin","7","8",0
"US National","Season onset","week","Bin","8","9",0
"US National","Season onset","week","Bin","9","10",0
"US National","Season onset","week","Bin","10","11",0
"US National","Season onset","week","Bin","11","12",0
"US National","Season onset","week","Bin","12","13",0
"US National","Season onset","week","Bin","13","14",0
"US National","Season onset","week","Bin","14","15",0
"US National","Season onset","week","Bin","15","16",0
"US National","Season onset","week","Bin","16","17",0
"US National","Season onset","week","Bin","17","18",0
"US National","Season onset","week","Bin","18","19",0
"US National","Season onset","week","Bin","19","20",0
"US National","Season onset","week","Bin","20","21",0
"US National","Season onset","week","Bin","none","none",0
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0
"US National","Season peak week","week","Bin","46","47",0
"US National","Season peak week","week","Bin","47","48",0
"US National","Season peak week","week","Bin","48","49",0
"US National","Season peak week","week","Bin","49","50",0.357
"US National","Season peak week","week","Bin","50","51",0.182
"US National","Season peak week","week","Bin","51","52",0.137
"US National","Season peak week","week","Bin","52","53",0.099
"US National","Season peak week","week","Bin","1","2",0.028
"US National","Season peak week","week","Bin","2","3",0.027
"US National","Season peak week","week","Bin","3","4",0.019
"US National","Season peak week","week","Bin","4","5",0.021
"US National","Season peak week","week","Bin","5","6",0.012
"US National","Season peak week","week","Bin","6","7",0.008
"US National","Season peak week","week","Bin","7","8",0.007
"US National","Season peak week","week","Bin","8","9",0.017
"US National","Season peak week","week","Bin","9","10",0.005
"US National","Season peak week","week","Bin","10","11",0.006
"US National","Season peak week","week","Bin","11","12",0.006
"US National","Season peak week","week","Bin","12","13",0.031
"US National","Season peak week","week","Bin","13","14",0.011
"US National","Season peak week","week","Bin","14","15",0.005
"US National","Season peak week","week","Bin","15","16",0.005
"US National","Season peak week","week","Bin","16","17",0.009
"US National","Season peak week","week","Bin","17","18",0.001
"US National","Season peak week","week","Bin","18","19",0.001
"US National","Season peak week","week","Bin","19","20",0.004
"US National","Season peak week","week","Bin","20","21",0.002
"US National","Season peak percentage","percent","Bin","0","0.1",0
"US National","Season peak percentage","percent","Bin","0.1","0.2",0
"US National","Season peak percentage","percent","Bin","0.2","0.3",0
"US National","Season peak percentage","percent","Bin","0.3","0.4",0
"US National","Season peak percentage","percent","Bin","0.4","0.5",0
"US National","Season peak percentage","percent","Bin","0.5","0.6",0
"US National","Season peak percentage","percent","Bin","0.6","0.7",0
"US National","Season peak percentage","percent","Bin","0.7","0.8",0
"US National","Season peak percentage","percent","Bin","0.8","0.9",0
"US National","Season peak percentage","percent","Bin","0.9","1",0
"US National","Season peak percentage","percent","Bin","1","1.1",0
"US National","Season peak percentage","percent","Bin","1.1","1.2",0
"US National","Season peak percentage","percent","Bin","1.2","1.3",0
"US National","Season peak percentage","percent","Bin","1.3","1.4",0
"US National","Season peak percentage","percent","Bin","1.4","1.5",0
"US National","Season peak percentage","percent","Bin","1.5","1.6",0
"US National","Season peak percentage","percent","Bin","1.6","1.7",0
"US National","Season peak percentage","percent","Bin","1.7","1.8",0
"US National","Season peak percentage","percent","Bin","1.8","1.9",0
"US National","Season peak percentage","percent","Bin","1.9","2",0
"US National","Season peak percentage","percent","Bin","2","2.1",0
"US National","Season peak percentage","percent","Bin","2.1","2.2",0
"US National","Season peak percentage","percent","Bin","2.2","2.3",0
"US National","Season peak percentage","percent","Bin","2.3","2.4",0
"US National","Season peak percentage","percent","Bin","2.4","2.5",0
"US National","Season peak percentage","percent","Bin","2.5","2.6",0
"US National","Season peak percentage","percent","Bin","2.6","2.7",0
"US National","Season peak percentage","percent","Bin","2.7","2.8",0.001
"US National","Season peak percentage","percent","Bin","2.8","2.9",0
"US National","Season peak percentage","percent","Bin","2.9","3",0.001
"US National","Season peak percentage","percent","Bin","3","3.1",0.001
"US National","Season peak percentage","percent","Bin","3.1","3.2",0.018
"US National","Season peak percentage","percent","Bin","3.2","3.3",0.008
"US National","Season peak percentage","percent","Bin","3.3","3.4",0.045
"US National","Season peak percentage","percent","Bin","3.4","3.5",0.054
"US National","Season peak percentage","percent","Bin","3.5","3.6",0.146
"US National","Season peak percentage","percent","Bin","3.6","3.7",0.028
"US National","Season peak percentage","percent","Bin","3.7","3.8",0.02
"US National","Season peak percentage","percent","Bin","3.8","3.9",0
"US National","Season peak percentage","percent","Bin","3.9","4",0.003
"US National","Season peak percentage","percent","Bin","4","4.1",0.002
"US National","Season peak percentage","percent","Bin","4.1","4.2",0.016
"US National","Season peak percentage","percent","Bin","4.2","4.3",0.038
"US National","Season peak percentage","percent","Bin","4.3","4.4",0.026
"US National","Season peak percentage","percent","Bin","4.4","4.5",0.01
"US National","Season peak percentage","percent","Bin","4.5","4.6",0.069
"US National","Season peak percentage","percent","Bin","4.6","4.7",0.048
"US National","Season peak percentage","percent","Bin","4.7","4.8",0.007
"US National","Season peak percentage","percent","Bin","4.8","4.9",0.019
"US National","Season peak percentage","percent","Bin","4.9","5",0.056
"US National","Season peak percentage","percent","Bin","5","5.1",0.013
"US National","Season peak percentage","percent","Bin","5.1","5.2",0.003
"US National","Season peak percentage","percent","Bin","5.2","5.3",0.003
"US National","Season peak percentage","percent","Bin","5.3","5.4",0
"US National","Season peak percentage","percent","Bin","5.4","5.5",0.045
"US National","Season peak percentage","percent","Bin","5.5","5.6",0.002
"US National","Season peak percentage","percent","Bin","5.6","5.7",0
"US National","Season peak percentage","percent","Bin","5.7","5.8",0.028
"US National","Season peak percentage","percent","Bin","5.8","5.9",0
"US National","Season peak percentage","percent","Bin","5.9","6",0.103
"US National","Season peak percentage","percent","Bin","6","6.1",0.187
"US National","Season peak percentage","percent","Bin","6.1","6.2",0
"US National","Season peak percentage","percent","Bin","6.2","6.3",0
"US National","Season peak percentage","percent","Bin","6.3","6.4",0
"US National","Season peak percentage","percent","Bin","6.4","6.5",0
"US National","Season peak percentage","percent","Bin","6.5","6.6",0
"US National","Season peak percentage","percent","Bin","6.6","6.7",0
"US National","Season peak percentage","percent","Bin","6.7","6.8",0
"US National","Season peak percentage","percent","Bin","6.8","6.9",0
"US National","Season peak percentage","percent","Bin","6.9","7",0
"US National","Season peak percentage","percent","Bin","7","7.1",0
"US National","Season peak percentage","percent","Bin","7.1","7.2",0
"US National","Season peak percentage","percent","Bin","7.2","7.3",0
"US National","Season peak percentage","percent","Bin","7.3","7.4",0
"US National","Season peak percentage","percent","Bin","7.4","7.5",0
