"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0
"US National","Season onset","week","Bin","41","42",0
"US National","Season onset","week","Bin","42","43",0
"US National","Season onset","week","Bin","43","44",0
"US National","Season onset","week","Bin","44","45",0
"US National","Season onset","week","Bin","45","46",0
"US National","Season onset","week","Bin","46","47",0
"US National","Season onset","week","Bin","47","48",1
"US National","Season onset","week","Bin","48","49",0
"US National","Season onset","week","Bin","49","50",0
"US National","Season onset","week","Bin","50","51",0
"US National","Season onset","week","Bin","51","52",0
"US National","Season onset","week","Bin","52","53",0
"US National","Season onset","week","Bin","1","2",0
"US National","Season onset","week","Bin","2","3",0
"US National","Season onset","week","Bin","3","4",0
"US National","Season onset","week","Bin","4","5",0
"US National","Season onset","week","Bin","5","6",0
"US National","Season onset","week","Bin","6","7",0
"US National","Season onset","week","Bin","7","8",0
"US National","Season onset","week","Bin","8","9",0
"US National","Season onset","week","Bin","9","10",0
"US National","Season onset","week","Bin","10","11",0
"US National","Season onset","week","Bin","11","12",0
"US National","Season onset","week","Bin","12","13",0
"US National","Season onset","week","Bin","13","14",0
"US National","Season onset","week","Bin","14","15",0
"US National","Season onset","week","Bin","15","16",0
"US National","Season onset","week","Bin","16","17",0
"US National","Season onset","week","Bin","17","18",0
"US National","Season onset","week","Bin","18","19",0
"US National","Season onset","week","Bin","19","20",0
"US National","Season onset","week","Bin","20","21",0
"US National","Season onset","week","Bin","none","none",0
"US National","Season peak week","week","Bin","40","41",0.683372332430842
"US National","Season peak week","week","Bin","41","42",0.219390464077659
"US National","Season peak week","week","Bin","42","43",0.0682746067918046
"US National","Season peak week","week","Bin","43","44",0.0205959474022104
"US National","Season peak week","week","Bin","44","45",0.00602261977938912
"US National","Season peak week","week","Bin","45","46",0.00170714426644268
"US National","Season peak week","week","Bin","46","47",0.000469068324963667
"US National","Season peak week","week","Bin","47","48",0.000124934705099022
"US National","Season peak week","week","Bin","48","49",3.22560505147301e-05
"US National","Season peak week","week","Bin","49","50",8.07272931934699e-06
"US National","Season peak week","week","Bin","50","51",1.95844191987374e-06
"US National","Season peak week","week","Bin","51","52",4.60555643014792e-07
"US National","Season peak week","week","Bin","52","53",1.04986782191468e-07
"US National","Season peak week","week","Bin","1","2",2.31989456584604e-08
"US National","Season peak week","week","Bin","2","3",4.96915994541682e-09
"US National","Season peak week","week","Bin","3","4",1.03176029207426e-09
"US National","Season peak week","week","Bin","4","5",2.07661386466842e-10
"US National","Season peak week","week","Bin","5","6",4.05148088678526e-11
"US National","Season peak week","week","Bin","6","7",7.66219049694766e-12
"US National","Season peak week","week","Bin","7","8",1.40466642414043e-12
"US National","Season peak week","week","Bin","8","9",2.49617232329687e-13
"US National","Season peak week","week","Bin","9","10",4.29988688735505e-14
"US National","Season peak week","week","Bin","10","11",7.17993651858837e-15
"US National","Season peak week","week","Bin","11","12",1.16215828682003e-15
"US National","Season peak week","week","Bin","12","13",1.82343827986115e-16
"US National","Season peak week","week","Bin","13","14",2.77330706433032e-17
"US National","Season peak week","week","Bin","14","15",4.0887066598392e-18
"US National","Season peak week","week","Bin","15","16",5.84325790140396e-19
"US National","Season peak week","week","Bin","16","17",8.09478395129988e-20
"US National","Season peak week","week","Bin","17","18",1.08701759683892e-20
"US National","Season peak week","week","Bin","18","19",1.41497573651615e-21
"US National","Season peak week","week","Bin","19","20",1.78542872077326e-22
"US National","Season peak week","week","Bin","20","21",2.18382154399013e-23
"US National","Season peak percentage","percent","Bin","0","0.1",5.95509677029021e-18
"US National","Season peak percentage","percent","Bin","0.1","0.2",5.17303230629263e-17
"US National","Season peak percentage","percent","Bin","0.2","0.3",4.21339694265952e-16
"US National","Season peak percentage","percent","Bin","0.3","0.4",3.21773577151115e-15
"US National","Season peak percentage","percent","Bin","0.4","0.5",2.3040887266065e-14
"US National","Season peak percentage","percent","Bin","0.5","0.6",1.54695911985964e-13
"US National","Season peak percentage","percent","Bin","0.6","0.7",9.73843775844216e-13
"US National","Season peak percentage","percent","Bin","0.7","0.8",5.74818273988592e-12
"US National","Season peak percentage","percent","Bin","0.8","0.9",3.18128558314296e-11
"US National","Season peak percentage","percent","Bin","0.9","1",1.65084221512851e-10
"US National","Season peak percentage","percent","Bin","1","1.1",8.03228838112084e-10
"US National","Season peak percentage","percent","Bin","1.1","1.2",3.66440811692576e-09
"US National","Season peak percentage","percent","Bin","1.2","1.3",1.56746985770042e-08
"US National","Season peak percentage","percent","Bin","1.3","1.4",6.28673823131726e-08
"US National","Season peak percentage","percent","Bin","1.4","1.5",2.36418999141911e-07
"US National","Season peak percentage","percent","Bin","1.5","1.6",8.33623960914521e-07
"US National","Season peak percentage","percent","Bin","1.6","1.7",2.75606097326122e-06
"US National","Season peak percentage","percent","Bin","1.7","1.8",8.54354814890642e-06
"US National","Season peak percentage","percent","Bin","1.8","1.9",2.4832391062019e-05
"US National","Season peak percentage","percent","Bin","1.9","2",6.76752118848189e-05
"US National","Season peak percentage","percent","Bin","2","2.1",0.000172930472093884
"US National","Season peak percentage","percent","Bin","2.1","2.2",0.000414327965688479
"US National","Season peak percentage","percent","Bin","2.2","2.3",0.000930781592364801
"US National","Season peak percentage","percent","Bin","2.3","2.4",0.00196056904658798
"US National","Season peak percentage","percent","Bin","2.4","2.5",0.00387210669109622
"US National","Season peak percentage","percent","Bin","2.5","2.6",0.00717039872879629
"US National","Season peak percentage","percent","Bin","2.6","2.7",0.0124500218965085
"US National","Season peak percentage","percent","Bin","2.7","2.8",0.0202687862029832
"US National","Season peak percentage","percent","Bin","2.8","2.9",0.0309397062352423
"US National","Season peak percentage","percent","Bin","2.9","3",0.0442828381505601
"US National","Season peak percentage","percent","Bin","3","3.1",0.0594272354105335
"US National","Season peak percentage","percent","Bin","3.1","3.2",0.0747767222064898
"US National","Season peak percentage","percent","Bin","3.2","3.3",0.0882222518713953
"US National","Season peak percentage","percent","Bin","3.3","3.4",0.0975934500999803
"US National","Season peak percentage","percent","Bin","3.4","3.5",0.101226453483478
"US National","Season peak percentage","percent","Bin","3.5","3.6",0.0984460259048619
"US National","Season peak percentage","percent","Bin","3.6","3.7",0.0897704029260858
"US National","Season peak percentage","percent","Bin","3.7","3.8",0.0767536394126814
"US National","Season peak percentage","percent","Bin","3.8","3.9",0.061531230214186
"US National","Season peak percentage","percent","Bin","3.9","4",0.0462512033421968
"US National","Season peak percentage","percent","Bin","4","4.1",0.0325972747105775
"US National","Season peak percentage","percent","Bin","4.1","4.2",0.0215412234678528
"US National","Season peak percentage","percent","Bin","4.2","4.3",0.0133472027421527
"US National","Season peak percentage","percent","Bin","4.3","4.4",0.00775427084753947
"US National","Season peak percentage","percent","Bin","4.4","4.5",0.00422398622198343
"US National","Season peak percentage","percent","Bin","4.5","4.6",0.00215742067908479
"US National","Season peak percentage","percent","Bin","4.6","4.7",0.0010331847780505
"US National","Season peak percentage","percent","Bin","4.7","4.8",0.00046392948893159
"US National","Season peak percentage","percent","Bin","4.8","4.9",0.000195324524545975
"US National","Season peak percentage","percent","Bin","4.9","5",7.71067486540029e-05
"US National","Season peak percentage","percent","Bin","5","5.1",2.8540319014605e-05
"US National","Season peak percentage","percent","Bin","5.1","5.2",9.90503634331947e-06
"US National","Season peak percentage","percent","Bin","5.2","5.3",3.22317689503819e-06
"US National","Season peak percentage","percent","Bin","5.3","5.4",9.83429035722328e-07
