"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0
"US National","Season onset","week","Bin","41","42",0
"US National","Season onset","week","Bin","42","43",0
"US National","Season onset","week","Bin","43","44",0
"US National","Season onset","week","Bin","44","45",0
"US National","Season onset","week","Bin","45","46",0
"US National","Season onset","week","Bin","46","47",0
"US National","Season onset","week","Bin","47","48",0
"US National","Season onset","week","Bin","48","49",0.294
"US National","Season onset","week","Bin","49","50",0.108
"US National","Season onset","week","Bin","50","51",0.09
"US National","Season onset","week","Bin","51","52",0.058
"US National","Season onset","week","Bin","52","53",0.045
"US National","Season onset","week","Bin","1","2",0.048
"US National","Season onset","week","Bin","2","3",0.03
"US National","Season onset","week","Bin","3","4",0.022
"US National","Season onset","week","Bin","4","5",0.019
"US National","Season onset","week","Bin","5","6",0.022
"US National","Season onset","week","Bin","6","7",0.02
"US National","Season onset","week","Bin","7","8",0.027
"US National","Season onset","week","Bin","8","9",0.012
"US National","Season onset","week","Bin","9","10",0.02
"US National","Season onset","week","Bin","10","11",0.01
"US National","Season onset","week","Bin","11","12",0.007
"US National","Season onset","week","Bin","12","13",0.008
"US National","Season onset","week","Bin","13","14",0.011
"US National","Season onset","week","Bin","14","15",0.008
"US National","Season onset","week","Bin","15","16",0.005
"US National","Season onset","week","Bin","16","17",0.004
"US National","Season onset","week","Bin","17","18",0.003
"US National","Season onset","week","Bin","18","19",0.001
"US National","Season onset","week","Bin","19","20",0.001
"US National","Season onset","week","Bin","20","21",0.003
"US National","Season onset","week","Bin","none","none",0.124
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0.0164271047227926
"US National","Season peak week","week","Bin","46","47",0.0277207392197125
"US National","Season peak week","week","Bin","47","48",0.0349075975359343
"US National","Season peak week","week","Bin","48","49",0.0308008213552361
"US National","Season peak week","week","Bin","49","50",0.0318275154004107
"US National","Season peak week","week","Bin","50","51",0.0420944558521561
"US National","Season peak week","week","Bin","51","52",0.0441478439425051
"US National","Season peak week","week","Bin","52","53",0.0595482546201232
"US National","Season peak week","week","Bin","1","2",0.0585215605749487
"US National","Season peak week","week","Bin","2","3",0.0523613963039014
"US National","Season peak week","week","Bin","3","4",0.0441478439425051
"US National","Season peak week","week","Bin","4","5",0.0492813141683778
"US National","Season peak week","week","Bin","5","6",0.0359342915811088
"US National","Season peak week","week","Bin","6","7",0.0451745379876797
"US National","Season peak week","week","Bin","7","8",0.0472279260780287
"US National","Season peak week","week","Bin","8","9",0.0441478439425051
"US National","Season peak week","week","Bin","9","10",0.0441478439425051
"US National","Season peak week","week","Bin","10","11",0.0472279260780287
"US National","Season peak week","week","Bin","11","12",0.0441478439425051
"US National","Season peak week","week","Bin","12","13",0.0369609856262834
"US National","Season peak week","week","Bin","13","14",0.0369609856262834
"US National","Season peak week","week","Bin","14","15",0.0379876796714579
"US National","Season peak week","week","Bin","15","16",0.0308008213552361
"US National","Season peak week","week","Bin","16","17",0.0184804928131417
"US National","Season peak week","week","Bin","17","18",0.0174537987679671
"US National","Season peak week","week","Bin","18","19",0.0123203285420945
"US National","Season peak week","week","Bin","19","20",0.00513347022587269
"US National","Season peak week","week","Bin","20","21",0.00410677618069815
"US National","Season peak percentage","percent","Bin","0","0.1",0
"US National","Season peak percentage","percent","Bin","0.1","0.2",0
"US National","Season peak percentage","percent","Bin","0.2","0.3",0
"US National","Season peak percentage","percent","Bin","0.3","0.4",0
"US National","Season peak percentage","percent","Bin","0.4","0.5",0
"US National","Season peak percentage","percent","Bin","0.5","0.6",0
"US National","Season peak percentage","percent","Bin","0.6","0.7",0
"US National","Season peak percentage","percent","Bin","0.7","0.8",0
"US National","Season peak percentage","percent","Bin","0.8","0.9",0
"US National","Season peak percentage","percent","Bin","0.9","1",0
"US National","Season peak percentage","percent","Bin","1","1.1",0
"US National","Season peak percentage","percent","Bin","1.1","1.2",0
"US National","Season peak percentage","percent","Bin","1.2","1.3",0
"US National","Season peak percentage","percent","Bin","1.3","1.4",0
"US National","Season peak percentage","percent","Bin","1.4","1.5",0
"US National","Season peak percentage","percent","Bin","1.5","1.6",0
"US National","Season peak percentage","percent","Bin","1.6","1.7",0
"US National","Season peak percentage","percent","Bin","1.7","1.8",0
"US National","Season peak percentage","percent","Bin","1.8","1.9",0.017
"US National","Season peak percentage","percent","Bin","1.9","2",0.002
"US National","Season peak percentage","percent","Bin","2","2.1",0.005
"US National","Season peak percentage","percent","Bin","2.1","2.2",0.006
"US National","Season peak percentage","percent","Bin","2.2","2.3",0.006
"US National","Season peak percentage","percent","Bin","2.3","2.4",0.004
"US National","Season peak percentage","percent","Bin","2.4","2.5",0.002
"US National","Season peak percentage","percent","Bin","2.5","2.6",0.008
"US National","Season peak percentage","percent","Bin","2.6","2.7",0.004
"US National","Season peak percentage","percent","Bin","2.7","2.8",0.008
"US National","Season peak percentage","percent","Bin","2.8","2.9",0.005
"US National","Season peak percentage","percent","Bin","2.9","3",0.004
"US National","Season peak percentage","percent","Bin","3","3.1",0.003
"US National","Season peak percentage","percent","Bin","3.1","3.2",0.011
"US National","Season peak percentage","percent","Bin","3.2","3.3",0.007
"US National","Season peak percentage","percent","Bin","3.3","3.4",0.005
"US National","Season peak percentage","percent","Bin","3.4","3.5",0.006
"US National","Season peak percentage","percent","Bin","3.5","3.6",0.005
"US National","Season peak percentage","percent","Bin","3.6","3.7",0.007
"US National","Season peak percentage","percent","Bin","3.7","3.8",0.002
"US National","Season peak percentage","percent","Bin","3.8","3.9",0.006
"US National","Season peak percentage","percent","Bin","3.9","4",0.01
"US National","Season peak percentage","percent","Bin","4","4.1",0.003
"US National","Season peak percentage","percent","Bin","4.1","4.2",0.002
"US National","Season peak percentage","percent","Bin","4.2","4.3",0.002
"US National","Season peak percentage","percent","Bin","4.3","4.4",0.005
"US National","Season peak percentage","percent","Bin","4.4","4.5",0.006
"US National","Season peak percentage","percent","Bin","4.5","4.6",0.004
"US National","Season peak percentage","percent","Bin","4.6","4.7",0.008
"US National","Season peak percentage","percent","Bin","4.7","4.8",0.006
"US National","Season peak percentage","percent","Bin","4.8","4.9",0.005
"US National","Season peak percentage","percent","Bin","4.9","5",0.004
"US National","Season peak percentage","percent","Bin","5","5.1",0.006
"US National","Season peak percentage","percent","Bin","5.1","5.2",0.005
"US National","Season peak percentage","percent","Bin","5.2","5.3",0.003
"US National","Season peak percentage","percent","Bin","5.3","5.4",0.003
"US National","Season peak percentage","percent","Bin","5.4","5.5",0.009
"US National","Season peak percentage","percent","Bin","5.5","5.6",0.003
"US National","Season peak percentage","percent","Bin","5.6","5.7",0.001
"US National","Season peak percentage","percent","Bin","5.7","5.8",0.007
"US National","Season peak percentage","percent","Bin","5.8","5.9",0.003
"US National","Season peak percentage","percent","Bin","5.9","6",0.005
"US National","Season peak percentage","percent","Bin","6","6.1",0.005
"US National","Season peak percentage","percent","Bin","6.1","6.2",0.004
"US National","Season peak percentage","percent","Bin","6.2","6.3",0.003
"US National","Season peak percentage","percent","Bin","6.3","6.4",0.003
"US National","Season peak percentage","percent","Bin","6.4","6.5",0.001
"US National","Season peak percentage","percent","Bin","6.5","6.6",0.004
"US National","Season peak percentage","percent","Bin","6.6","6.7",0.002
