"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","1 wk ahead","percent","Bin","0","0.1",4.28952707297083e-275
"US National","1 wk ahead","percent","Bin","0.1","0.2",3.09833809570798e-168
"US National","1 wk ahead","percent","Bin","0.2","0.3",6.58139554451361e-118
"US National","1 wk ahead","percent","Bin","0.3","0.4",1.18132895665981e-87
"US National","1 wk ahead","percent","Bin","0.4","0.5",2.632757146756e-67
"US National","1 wk ahead","percent","Bin","0.5","0.6",1.05231028625663e-52
"US National","1 wk ahead","percent","Bin","0.6","0.7",8.84890082305946e-42
"US National","1 wk ahead","percent","Bin","0.7","0.8",2.27713933319022e-33
"US National","1 wk ahead","percent","Bin","0.8","0.9",9.20941031043025e-27
"US National","1 wk ahead","percent","Bin","0.9","1",1.69564961721466e-21
"US National","1 wk ahead","percent","Bin","1","1.1",2.93467981368187e-17
"US National","1 wk ahead","percent","Bin","1.1","1.2",7.9747853053211e-14
"US National","1 wk ahead","percent","Bin","1.2","1.3",4.94619348105093e-11
"US National","1 wk ahead","percent","Bin","1.3","1.4",9.25780118504216e-09
"US National","1 wk ahead","percent","Bin","1.4","1.5",6.46707865064066e-07
"US National","1 wk ahead","percent","Bin","1.5","1.6",1.98707611670695e-05
"US National","1 wk ahead","percent","Bin","1.6","1.7",0.000305512531551742
"US National","1 wk ahead","percent","Bin","1.7","1.8",0.00260492552902685
"US National","1 wk ahead","percent","Bin","1.8","1.9",0.0133861420487606
"US National","1 wk ahead","percent","Bin","1.9","2",0.044391205843988
"US National","1 wk ahead","percent","Bin","2","2.1",0.100558711807223
"US National","1 wk ahead","percent","Bin","2.1","2.2",0.163228359454011
"US National","1 wk ahead","percent","Bin","2.2","2.3",0.197718585713884
"US National","1 wk ahead","percent","Bin","2.3","2.4",0.185026696628005
"US National","1 wk ahead","percent","Bin","2.4","2.5",0.137816732505311
"US National","1 wk ahead","percent","Bin","2.5","2.6",0.083837096868879
"US National","1 wk ahead","percent","Bin","2.6","2.7",0.0425938321512328
"US National","1 wk ahead","percent","Bin","2.7","2.8",0.0184287410390335
"US National","1 wk ahead","percent","Bin","2.8","2.9",0.00690694668170289
"US National","1 wk ahead","percent","Bin","2.9","3",0.00227623493445595
"US National","1 wk ahead","percent","Bin","3","3.1",0.000668363754453227
"US National","1 wk ahead","percent","Bin","3.1","3.2",0.000176901318832967
"US National","1 wk ahead","percent","Bin","3.2","3.3",4.26435423774851e-05
"US National","1 wk ahead","percent","Bin","3.3","3.4",9.44847958661565e-06
"US National","1 wk ahead","percent","Bin","3.4","3.5",1.94001573583513e-06
"US National","1 wk ahead","percent","Bin","3.5","3.6",3.71836970880501e-07
"US National","1 wk ahead","percent","Bin","3.6","3.7",6.69640256578674e-08
"US National","1 wk ahead","percent","Bin","3.7","3.8",1.13977395299614e-08
"US National","1 wk ahead","percent","Bin","3.8","3.9",1.84320769758273e-09
"US National","1 wk ahead","percent","Bin","3.9","4",2.8455882095102e-10
"US National","1 wk ahead","percent","Bin","4","4.1",4.21187529298095e-11
"US National","1 wk ahead","percent","Bin","4.1","4.2",6.00031135888912e-12
"US National","1 wk ahead","percent","Bin","4.2","4.3",8.25672863413729e-13
