"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",2.98862987896221e-115
"US National","Season onset","week","Bin","41","42",4.9218698006671e-85
"US National","Season onset","week","Bin","42","43",1.81999992629105e-59
"US National","Season onset","week","Bin","43","44",1.51110993880092e-38
"US National","Season onset","week","Bin","44","45",2.81710988590867e-22
"US National","Season onset","week","Bin","45","46",1.17921995224227e-10
"US National","Season onset","week","Bin","46","47",0.00110832995511327
"US National","Season onset","week","Bin","47","48",0.233898990527225
"US National","Season onset","week","Bin","48","49",0.0046940198098949
"US National","Season onset","week","Bin","49","50",0.75671296935356
"US National","Season onset","week","Bin","50","51",0.00358568985478162
"US National","Season onset","week","Bin","51","52",3.81502984549349e-10
"US National","Season onset","week","Bin","52","53",9.11394963089028e-22
"US National","Season onset","week","Bin","1","2",4.88875980200804e-38
"US National","Season onset","week","Bin","2","3",5.88807976153616e-59
"US National","Season onset","week","Bin","3","4",1.59232993551155e-84
"US National","Season onset","week","Bin","4","5",9.66884960841715e-115
"US National","Season onset","week","Bin","5","6",1.31825994661123e-149
"US National","Season onset","week","Bin","6","7",4.03560983656012e-189
"US National","Season onset","week","Bin","7","8",2.77396988765582e-233
"US National","Season onset","week","Bin","8","9",4.28131982660901e-282
"US National","Season onset","week","Bin","9","10",0
"US National","Season onset","week","Bin","10","11",0
"US National","Season onset","week","Bin","11","12",0
"US National","Season onset","week","Bin","12","13",0
"US National","Season onset","week","Bin","13","14",0
"US National","Season onset","week","Bin","14","15",0
"US National","Season onset","week","Bin","15","16",0
"US National","Season onset","week","Bin","16","17",0
"US National","Season onset","week","Bin","17","18",0
"US National","Season onset","week","Bin","18","19",0
"US National","Season onset","week","Bin","19","20",0
"US National","Season onset","week","Bin","20","21",0
"US National","Season onset","week","Bin","none","none",0
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",1.52148997833749e-318
"US National","Season peak week","week","Bin","43","44",2.92111054911179e-282
"US National","Season peak week","week","Bin","44","45",3.5468606667406e-248
"US National","Season peak week","week","Bin","45","46",2.72366051199503e-216
"US National","Season peak week","week","Bin","46","47",1.32275024865124e-186
"US National","Season peak week","week","Bin","47","48",4.06268076370471e-159
"US National","Season peak week","week","Bin","48","49",7.89154148345582e-134
"US National","Season peak week","week","Bin","49","50",9.69446182236967e-111
"US National","Season peak week","week","Bin","50","51",7.53180141583171e-90
"US National","Season peak week","week","Bin","51","52",3.70073069566516e-71
"US National","Season peak week","week","Bin","52","53",1.14998021617384e-54
"US National","Season peak week","week","Bin","1","2",2.25998042483222e-40
"US National","Season peak week","week","Bin","2","3",2.80887052801285e-28
"US National","Season peak week","week","Bin","3","4",2.20786041503468e-18
"US National","Season peak week","week","Bin","4","5",1.0975602063199e-10
"US National","Season peak week","week","Bin","5","6",3.45059064864371e-05
"US National","Season peak week","week","Bin","6","7",0.068607912896949
"US National","Season peak week","week","Bin","7","8",0.862715162173617
"US National","Season peak week","week","Bin","8","9",0.068607912896949
"US National","Season peak week","week","Bin","9","10",3.45059064864371e-05
"US National","Season peak week","week","Bin","10","11",1.0975602063199e-10
"US National","Season peak week","week","Bin","11","12",2.20786041503468e-18
"US National","Season peak week","week","Bin","12","13",2.80887052801285e-28
"US National","Season peak week","week","Bin","13","14",2.25998042483222e-40
"US National","Season peak week","week","Bin","14","15",1.14998021617384e-54
"US National","Season peak week","week","Bin","15","16",3.70073069566516e-71
"US National","Season peak week","week","Bin","16","17",7.53180141583171e-90
"US National","Season peak week","week","Bin","17","18",9.69446182236967e-111
"US National","Season peak week","week","Bin","18","19",7.89154148345582e-134
"US National","Season peak week","week","Bin","19","20",4.06268076370471e-159
"US National","Season peak week","week","Bin","20","21",1.32275024865124e-186
"US National","Season peak percentage","percent","Bin","0","0.1",0
"US National","Season peak percentage","percent","Bin","0.1","0.2",0
"US National","Season peak percentage","percent","Bin","0.2","0.3",0
"US National","Season peak percentage","percent","Bin","0.3","0.4",0
"US National","Season peak percentage","percent","Bin","0.4","0.5",0
"US National","Season peak percentage","percent","Bin","0.5","0.6",0
"US National","Season peak percentage","percent","Bin","0.6","0.7",0
"US National","Season peak percentage","percent","Bin","0.7","0.8",0
"US National","Season peak percentage","percent","Bin","0.8","0.9",0
"US National","Season peak percentage","percent","Bin","0.9","1",0
"US National","Season peak percentage","percent","Bin","1","1.1",0
"US National","Season peak percentage","percent","Bin","1.1","1.2",0
"US National","Season peak percentage","percent","Bin","1.2","1.3",0
"US National","Season peak percentage","percent","Bin","1.3","1.4",0
"US National","Season peak percentage","percent","Bin","1.4","1.5",0
"US National","Season peak percentage","percent","Bin","1.5","1.6",0
"US National","Season peak percentage","percent","Bin","1.6","1.7",0
"US National","Season peak percentage","percent","Bin","1.7","1.8",0
"US National","Season peak percentage","percent","Bin","1.8","1.9",0
"US National","Season peak percentage","percent","Bin","1.9","2",0
"US National","Season peak percentage","percent","Bin","2","2.1",0
"US National","Season peak percentage","percent","Bin","2.1","2.2",0
"US National","Season peak percentage","percent","Bin","2.2","2.3",0
"US National","Season peak percentage","percent","Bin","2.3","2.4",0
"US National","Season peak percentage","percent","Bin","2.4","2.5",0
"US National","Season peak percentage","percent","Bin","2.5","2.6",0
"US National","Season peak percentage","percent","Bin","2.6","2.7",0
"US National","Season peak percentage","percent","Bin","2.7","2.8",0
"US National","Season peak percentage","percent","Bin","2.8","2.9",0
"US National","Season peak percentage","percent","Bin","2.9","3",0
"US National","Season peak percentage","percent","Bin","3","3.1",0
"US National","Season peak percentage","percent","Bin","3.1","3.2",1.01408942141002e-302
"US National","Season peak percentage","percent","Bin","3.2","3.3",2.7394184370214e-273
"US National","Season peak percentage","percent","Bin","3.3","3.4",2.29048869315883e-245
"US National","Season peak percentage","percent","Bin","3.4","3.5",5.92769661794532e-219
