"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.00125742034453317
"US National","Season onset","week","Bin","41","42",0.00125742034453317
"US National","Season onset","week","Bin","42","43",0.00125742034453317
"US National","Season onset","week","Bin","43","44",0.00125742034453317
"US National","Season onset","week","Bin","44","45",0.00125742034453317
"US National","Season onset","week","Bin","45","46",0.00125742034453317
"US National","Season onset","week","Bin","46","47",0.00125742034453317
"US National","Season onset","week","Bin","47","48",0.204444056017671
"US National","Season onset","week","Bin","48","49",0.220128060315089
"US National","Season onset","week","Bin","49","50",0.199192054578623
"US National","Season onset","week","Bin","50","51",0.145096039756315
"US National","Season onset","week","Bin","51","52",0.0916441251104903
"US National","Season onset","week","Bin","52","53",0.0381744104597885
"US National","Season onset","week","Bin","1","2",0.00877758240505758
"US National","Season onset","week","Bin","2","3",0.00884799242434993
"US National","Season onset","week","Bin","3","4",0.0182891050112148
"US National","Season onset","week","Bin","4","5",0.012659503468704
"US National","Season onset","week","Bin","5","6",0.0117338032150621
"US National","Season onset","week","Bin","6","7",0.00631730173094068
"US National","Season onset","week","Bin","7","8",0.00631721173091602
"US National","Season onset","week","Bin","8","9",0.000302948083007775
"US National","Season onset","week","Bin","9","10",0.00090245824727356
"US National","Season onset","week","Bin","10","11",0.000302948083007775
"US National","Season onset","week","Bin","11","12",0.000302948083007775
"US National","Season onset","week","Bin","12","13",0.000302948083007775
"US National","Season onset","week","Bin","13","14",0.000302948083007775
"US National","Season onset","week","Bin","14","15",0.000302948083007775
"US National","Season onset","week","Bin","15","16",0.000302948083007775
"US National","Season onset","week","Bin","16","17",0.000302948083007775
"US National","Season onset","week","Bin","17","18",0.000302948083007775
"US National","Season onset","week","Bin","18","19",0.000302948083007775
"US National","Season onset","week","Bin","19","20",0.000302948083007775
"US National","Season onset","week","Bin","20","21",0.00180492049454822
"US National","Season onset","week","Bin","none","none",0.013537003709139
"US National","Season peak week","week","Bin","40","41",0.00127541942478584
"US National","Season peak week","week","Bin","41","42",0.00127541942478584
"US National","Season peak week","week","Bin","42","43",0.00127541942478584
"US National","Season peak week","week","Bin","43","44",0.00127541942478584
"US National","Season peak week","week","Bin","44","45",0.00127541942478584
"US National","Season peak week","week","Bin","45","46",0.00127541942478584
"US National","Season peak week","week","Bin","46","47",0.00127541942478584
"US National","Season peak week","week","Bin","47","48",0.00127541942478584
"US National","Season peak week","week","Bin","48","49",0.00127541942478584
"US National","Season peak week","week","Bin","49","50",0.00127541942478584
"US National","Season peak week","week","Bin","50","51",0.0439083801973205
"US National","Season peak week","week","Bin","51","52",0.0650663706550668
"US National","Season peak week","week","Bin","52","53",0.108756950950615
"US National","Season peak week","week","Bin","1","2",0.0987183554780217
"US National","Season peak week","week","Bin","2","3",0.105091952603529
"US National","Season peak week","week","Bin","3","4",0.109428950647543
"US National","Season peak week","week","Bin","4","5",0.106909951783612
"US National","Season peak week","week","Bin","5","6",0.0961538566346106
"US National","Season peak week","week","Bin","6","7",0.0784976645975533
"US National","Season peak week","week","Bin","7","8",0.0677774694323613
"US National","Season peak week","week","Bin","8","9",0.0421523809892762
"US National","Season peak week","week","Bin","9","10",0.0203794908088496
"US National","Season peak week","week","Bin","10","11",0.0173788921621196
"US National","Season peak week","week","Bin","11","12",0.0104995952646825
"US National","Season peak week","week","Bin","12","13",0.00392891822805788
"US National","Season peak week","week","Bin","13","14",0.00259617882912335
"US National","Season peak week","week","Bin","14","15",0.000708761680348482
"US National","Season peak week","week","Bin","15","16",0.000466067789803427
"US National","Season peak week","week","Bin","16","17",0.00102163953924057
"US National","Season peak week","week","Bin","17","18",0.000346082843916637
"US National","Season peak week","week","Bin","18","19",0.00162746926601136
"US National","Season peak week","week","Bin","19","20",0.00033421784926775
"US National","Season peak week","week","Bin","20","21",0.00549620752121041
"US National","Season peak percentage","percent","Bin","0","0.1",0.000131045957672156
"US National","Season peak percentage","percent","Bin","0.1","0.2",0.000131045957672156
"US National","Season peak percentage","percent","Bin","0.2","0.3",0.000131045957672156
"US National","Season peak percentage","percent","Bin","0.3","0.4",0.000131045957672156
"US National","Season peak percentage","percent","Bin","0.4","0.5",0.000131045957672156
"US National","Season peak percentage","percent","Bin","0.5","0.6",0.000131045957672156
"US National","Season peak percentage","percent","Bin","0.6","0.7",0.000131045957672156
"US National","Season peak percentage","percent","Bin","0.7","0.8",0.000131045957672156
"US National","Season peak percentage","percent","Bin","0.8","0.9",0.000131045957672156
