"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.00099130371450453
"US National","Season onset","week","Bin","41","42",0.00099130371450453
"US National","Season onset","week","Bin","42","43",0.00099130371450453
"US National","Season onset","week","Bin","43","44",0.00099130371450453
"US National","Season onset","week","Bin","44","45",0.00099130371450453
"US National","Season onset","week","Bin","45","46",0.00099130371450453
"US National","Season onset","week","Bin","46","47",0.00099130371450453
"US National","Season onset","week","Bin","47","48",0.975852718954417
"US National","Season onset","week","Bin","48","49",0.00080057676943389
"US National","Season onset","week","Bin","49","50",0.00112080967720681
"US National","Season onset","week","Bin","50","51",0.00136097960803787
"US National","Season onset","week","Bin","51","52",0.00200143942358545
"US National","Season onset","week","Bin","52","53",0.000960692723320496
"US National","Season onset","week","Bin","1","2",0.000302769912802265
"US National","Season onset","week","Bin","2","3",0.000640461815546997
"US National","Season onset","week","Bin","3","4",0.00160114953886893
"US National","Season onset","week","Bin","4","5",0.00112080967720681
"US National","Season onset","week","Bin","5","6",0.00104074970026409
"US National","Season onset","week","Bin","6","7",0.000560403838603694
"US National","Season onset","week","Bin","7","8",0.000560403838603694
"US National","Season onset","week","Bin","8","9",0.000302769912802265
"US National","Season onset","week","Bin","9","10",0.000302769912802265
"US National","Season onset","week","Bin","10","11",0.000302769912802265
"US National","Season onset","week","Bin","11","12",0.000302769912802265
"US National","Season onset","week","Bin","12","13",0.000302769912802265
"US National","Season onset","week","Bin","13","14",0.000302769912802265
"US National","Season onset","week","Bin","14","15",0.000302769912802265
"US National","Season onset","week","Bin","15","16",0.000302769912802265
"US National","Season onset","week","Bin","16","17",0.000302769912802265
"US National","Season onset","week","Bin","17","18",0.000302769912802265
"US National","Season onset","week","Bin","18","19",0.000302769912802265
"US National","Season onset","week","Bin","19","20",0.000302769912802265
"US National","Season onset","week","Bin","20","21",0.000302769912802265
"US National","Season onset","week","Bin","none","none",0.0012008996541409
"US National","Season peak week","week","Bin","40","41",0.0011749795629076
"US National","Season peak week","week","Bin","41","42",0.0011749795629076
"US National","Season peak week","week","Bin","42","43",0.0011749795629076
"US National","Season peak week","week","Bin","43","44",0.0011749795629076
"US National","Season peak week","week","Bin","44","45",0.0011749795629076
"US National","Season peak week","week","Bin","45","46",0.0011749795629076
"US National","Season peak week","week","Bin","46","47",0.0011749795629076
"US National","Season peak week","week","Bin","47","48",0.0011749795629076
"US National","Season peak week","week","Bin","48","49",0.0011749795629076
"US National","Season peak week","week","Bin","49","50",0.0011749795629076
"US National","Season peak week","week","Bin","50","51",0.0011749795629076
"US National","Season peak week","week","Bin","51","52",0.0011749795629076
"US National","Season peak week","week","Bin","52","53",0.740330724596971
"US National","Season peak week","week","Bin","1","2",0.0011749795629076
"US National","Season peak week","week","Bin","2","3",0.0011749795629076
"US National","Season peak week","week","Bin","3","4",0.0011749795629076
