Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,45
US National,Season onset,Bin,week,40,41,0.00105601
US National,Season onset,Bin,week,41,42,0.00105601
US National,Season onset,Bin,week,42,43,0.00105601
US National,Season onset,Bin,week,43,44,0.00364818
US National,Season onset,Bin,week,44,45,0.106638
US National,Season onset,Bin,week,45,46,0.0800215
US National,Season onset,Bin,week,46,47,0.0491081
US National,Season onset,Bin,week,47,48,0.0789231
US National,Season onset,Bin,week,48,49,0.0527254
US National,Season onset,Bin,week,49,50,0.0620405
US National,Season onset,Bin,week,50,51,0.0704374
US National,Season onset,Bin,week,51,52,0.0970749
US National,Season onset,Bin,week,52,53,0.050036
US National,Season onset,Bin,week,1,2,0.00638372
US National,Season onset,Bin,week,2,3,0.0321265
US National,Season onset,Bin,week,3,4,0.074132
US National,Season onset,Bin,week,4,5,0.052055
US National,Season onset,Bin,week,5,6,0.0493811
US National,Season onset,Bin,week,6,7,0.0263181
US National,Season onset,Bin,week,7,8,0.0255373
US National,Season onset,Bin,week,8,9,0.000303098
US National,Season onset,Bin,week,9,10,0.00403566
US National,Season onset,Bin,week,10,11,0.000303098
US National,Season onset,Bin,week,11,12,0.000303098
US National,Season onset,Bin,week,12,13,0.000393348
US National,Season onset,Bin,week,13,14,0.000303098
US National,Season onset,Bin,week,14,15,0.000303098
US National,Season onset,Bin,week,15,16,0.000303098
US National,Season onset,Bin,week,16,17,0.000303098
US National,Season onset,Bin,week,17,18,0.000303098
US National,Season onset,Bin,week,18,19,0.000303098
US National,Season onset,Bin,week,19,20,0.000303098
US National,Season onset,Bin,week,20,21,0.00729637
US National,Season onset,Bin,week,none,none,0.065489
US National,Season peak week,Point,week,NA,NA,51
US National,Season peak week,Bin,week,40,41,0.00121088
US National,Season peak week,Bin,week,41,42,0.018448
US National,Season peak week,Bin,week,42,43,0.018448
US National,Season peak week,Bin,week,43,44,0.00619448
