"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0
"US National","Season onset","week","Bin","41","42",0
"US National","Season onset","week","Bin","42","43",0
"US National","Season onset","week","Bin","43","44",0
"US National","Season onset","week","Bin","44","45",0
"US National","Season onset","week","Bin","45","46",0
"US National","Season onset","week","Bin","46","47",0
"US National","Season onset","week","Bin","47","48",0
"US National","Season onset","week","Bin","48","49",0
"US National","Season onset","week","Bin","49","50",0.0280245682165399
"US National","Season onset","week","Bin","50","51",0.520021961392762
"US National","Season onset","week","Bin","51","52",0.239406078359224
"US National","Season onset","week","Bin","52","53",0.212547392031474
"US National","Season onset","week","Bin","1","2",0
"US National","Season onset","week","Bin","2","3",0
"US National","Season onset","week","Bin","3","4",0
"US National","Season onset","week","Bin","4","5",0
"US National","Season onset","week","Bin","5","6",0
"US National","Season onset","week","Bin","6","7",0
"US National","Season onset","week","Bin","7","8",0
"US National","Season onset","week","Bin","8","9",0
"US National","Season onset","week","Bin","9","10",0
"US National","Season onset","week","Bin","10","11",0
"US National","Season onset","week","Bin","11","12",0
"US National","Season onset","week","Bin","12","13",0
"US National","Season onset","week","Bin","13","14",0
"US National","Season onset","week","Bin","14","15",0
"US National","Season onset","week","Bin","15","16",0
"US National","Season onset","week","Bin","16","17",0
"US National","Season onset","week","Bin","17","18",0
"US National","Season onset","week","Bin","18","19",0
"US National","Season onset","week","Bin","19","20",0
"US National","Season onset","week","Bin","20","21",0
"US National","Season onset","week","Bin","none","none",0
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0
"US National","Season peak week","week","Bin","46","47",0
"US National","Season peak week","week","Bin","47","48",0
"US National","Season peak week","week","Bin","48","49",0
"US National","Season peak week","week","Bin","49","50",0
"US National","Season peak week","week","Bin","50","51",0
"US National","Season peak week","week","Bin","51","52",0
"US National","Season peak week","week","Bin","52","53",0.347711357256674
"US National","Season peak week","week","Bin","1","2",0.619001336950532
"US National","Season peak week","week","Bin","2","3",0
"US National","Season peak week","week","Bin","3","4",0
"US National","Season peak week","week","Bin","4","5",0.00133707952795238
"US National","Season peak week","week","Bin","5","6",0.0220240421772515
"US National","Season peak week","week","Bin","6","7",0.00992618408759053
"US National","Season peak week","week","Bin","7","8",0
"US National","Season peak week","week","Bin","8","9",0
"US National","Season peak week","week","Bin","9","10",0
"US National","Season peak week","week","Bin","10","11",0
"US National","Season peak week","week","Bin","11","12",0
"US National","Season peak week","week","Bin","12","13",0
"US National","Season peak week","week","Bin","13","14",0
"US National","Season peak week","week","Bin","14","15",0
"US National","Season peak week","week","Bin","15","16",0
"US National","Season peak week","week","Bin","16","17",0
"US National","Season peak week","week","Bin","17","18",0
"US National","Season peak week","week","Bin","18","19",0
"US National","Season peak week","week","Bin","19","20",0
"US National","Season peak week","week","Bin","20","21",0
"US National","Season peak percentage","percent","Bin","0","0.1",0
"US National","Season peak percentage","percent","Bin","0.1","0.2",0
"US National","Season peak percentage","percent","Bin","0.2","0.3",0
"US National","Season peak percentage","percent","Bin","0.3","0.4",0
"US National","Season peak percentage","percent","Bin","0.4","0.5",0
"US National","Season peak percentage","percent","Bin","0.5","0.6",0
"US National","Season peak percentage","percent","Bin","0.6","0.7",0
"US National","Season peak percentage","percent","Bin","0.7","0.8",0
"US National","Season peak percentage","percent","Bin","0.8","0.9",0
"US National","Season peak percentage","percent","Bin","0.9","1",0
"US National","Season peak percentage","percent","Bin","1","1.1",0
"US National","Season peak percentage","percent","Bin","1.1","1.2",0
"US National","Season peak percentage","percent","Bin","1.2","1.3",0
"US National","Season peak percentage","percent","Bin","1.3","1.4",0
"US National","Season peak percentage","percent","Bin","1.4","1.5",0
"US National","Season peak percentage","percent","Bin","1.5","1.6",0
"US National","Season peak percentage","percent","Bin","1.6","1.7",0
"US National","Season peak percentage","percent","Bin","1.7","1.8",0
"US National","Season peak percentage","percent","Bin","1.8","1.9",0
"US National","Season peak percentage","percent","Bin","1.9","2",0
"US National","Season peak percentage","percent","Bin","2","2.1",0
"US National","Season peak percentage","percent","Bin","2.1","2.2",0
"US National","Season peak percentage","percent","Bin","2.2","2.3",0
"US National","Season peak percentage","percent","Bin","2.3","2.4",0.00242928237654442
"US National","Season peak percentage","percent","Bin","2.4","2.5",0.0111488418410445
"US National","Season peak percentage","percent","Bin","2.5","2.6",0.0300526057421031
"US National","Season peak percentage","percent","Bin","2.6","2.7",0.0377312832135933
"US National","Season peak percentage","percent","Bin","2.7","2.8",0.0704965740949314
"US National","Season peak percentage","percent","Bin","2.8","2.9",0.104702393050446
"US National","Season peak percentage","percent","Bin","2.9","3",0.09306837970166
"US National","Season peak percentage","percent","Bin","3","3.1",0.0849762482405405
"US National","Season peak percentage","percent","Bin","3.1","3.2",0.0706313903194765
"US National","Season peak percentage","percent","Bin","3.2","3.3",0.0787679174502261
"US National","Season peak percentage","percent","Bin","3.3","3.4",0.0793130502412521
"US National","Season peak percentage","percent","Bin","3.4","3.5",0.0637765572186479
"US National","Season peak percentage","percent","Bin","3.5","3.6",0.066903363883013
"US National","Season peak percentage","percent","Bin","3.6","3.7",0.0646086184268134
"US National","Season peak percentage","percent","Bin","3.7","3.8",0.0438746833157118
"US National","Season peak percentage","percent","Bin","3.8","3.9",0.037373666143472
"US National","Season peak percentage","percent","Bin","3.9","4",0.0185151957925867
"US National","Season peak percentage","percent","Bin","4","4.1",0.0114982843746772
"US National","Season peak percentage","percent","Bin","4.1","4.2",0.00945639427302637
"US National","Season peak percentage","percent","Bin","4.2","4.3",0.0042322110187148
"US National","Season peak percentage","percent","Bin","4.3","4.4",0.00619461500184231
"US National","Season peak percentage","percent","Bin","4.4","4.5",0.00195156755057387
"US National","Season peak percentage","percent","Bin","4.5","4.6",0.00323450642232578
"US National","Season peak percentage","percent","Bin","4.6","4.7",0.000726313555928235
"US National","Season peak percentage","percent","Bin","4.7","4.8",0.00268310440424266
"US National","Season peak percentage","percent","Bin","4.8","4.9",0.000148207980389432
"US National","Season peak percentage","percent","Bin","4.9","5",0.00036501421151548
"US National","Season peak percentage","percent","Bin","5","5.1",0.000370390601287649
"US National","Season peak percentage","percent","Bin","5.1","5.2",0
"US National","Season peak percentage","percent","Bin","5.2","5.3",9.07191377516088e-05
"US National","Season peak percentage","percent","Bin","5.3","5.4",0.000125665671270708
"US National","Season peak percentage","percent","Bin","5.4","5.5",0.00018343210270655
"US National","Season peak percentage","percent","Bin","5.5","5.6",7.95249387518066e-05
"US National","Season peak percentage","percent","Bin","5.6","5.7",0
"US National","Season peak percentage","percent","Bin","5.7","5.8",0.000113980455123816
"US National","Season peak percentage","percent","Bin","5.8","5.9",0
"US National","Season peak percentage","percent","Bin","5.9","6",0
"US National","Season peak percentage","percent","Bin","6","6.1",9.48109473106858e-05
"US National","Season peak percentage","percent","Bin","6.1","6.2",0
"US National","Season peak percentage","percent","Bin","6.2","6.3",0
"US National","Season peak percentage","percent","Bin","6.3","6.4",0
"US National","Season peak percentage","percent","Bin","6.4","6.5",8.12063004979001e-05
"US National","Season peak percentage","percent","Bin","6.5","6.6",0
"US National","Season peak percentage","percent","Bin","6.6","6.7",0
"US National","Season peak percentage","percent","Bin","6.7","6.8",0
