"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","percent","Bin","0","0.1",0.00107199044798012
"HHS Region 1","1 wk ahead","percent","Bin","0.1","0.2",0.00578418440784005
"HHS Region 1","1 wk ahead","percent","Bin","0.2","0.3",0.00714760833965454
"HHS Region 1","1 wk ahead","percent","Bin","0.3","0.4",0.00866926834055969
"HHS Region 1","1 wk ahead","percent","Bin","0.4","0.5",0.0103373210995339
"HHS Region 1","1 wk ahead","percent","Bin","0.5","0.6",0.0121375270025021
"HHS Region 1","1 wk ahead","percent","Bin","0.6","0.7",0.0140534667850199
"HHS Region 1","1 wk ahead","percent","Bin","0.7","0.8",0.0160674675491131
"HHS Region 1","1 wk ahead","percent","Bin","0.8","0.9",0.0181588981624841
"HHS Region 1","1 wk ahead","percent","Bin","0.9","1",0.0203021868247141
"HHS Region 1","1 wk ahead","percent","Bin","1","1.1",0.0224650850894923
"HHS Region 1","1 wk ahead","percent","Bin","1.1","1.2",0.0246066969609071
"HHS Region 1","1 wk ahead","percent","Bin","1.2","1.3",0.0266766917439782
"HHS Region 1","1 wk ahead","percent","Bin","1.3","1.4",0.0286159208134273
"HHS Region 1","1 wk ahead","percent","Bin","1.4","1.5",0.0303590338407639
"HHS Region 1","1 wk ahead","percent","Bin","1.5","1.6",0.0318377680928124
"HHS Region 1","1 wk ahead","percent","Bin","1.6","1.7",0.0329853453662107
"HHS Region 1","1 wk ahead","percent","Bin","1.7","1.8",0.0337430319985835
"HHS Region 1","1 wk ahead","percent","Bin","1.8","1.9",0.0340660963540265
"HHS Region 1","1 wk ahead","percent","Bin","1.9","2",0.0339265152781605
"HHS Region 1","1 wk ahead","percent","Bin","2","2.1",0.0333201437303726
"HHS Region 1","1 wk ahead","percent","Bin","2.1","2.2",0.0322680944138969
"HHS Region 1","1 wk ahead","percent","Bin","2.2","2.3",0.0308164738620133
"HHS Region 1","1 wk ahead","percent","Bin","2.3","2.4",0.0290359363745819
"HHS Region 1","1 wk ahead","percent","Bin","2.4","2.5",0.0270151332546372
"HHS Region 1","1 wk ahead","percent","Bin","2.5","2.6",0.0248549407080796
"HHS Region 1","1 wk ahead","percent","Bin","2.6","2.7",0.0226589606272049
"HHS Region 1","1 wk ahead","percent","Bin","2.7","2.8",0.0205237976297639
"HHS Region 1","1 wk ahead","percent","Bin","2.8","2.9",0.0185301843989599
"HHS Region 1","1 wk ahead","percent","Bin","2.9","3",0.0167357093951745
"HHS Region 1","1 wk ahead","percent","Bin","3","3.1",0.0151712563620966
"HHS Region 1","1 wk ahead","percent","Bin","3.1","3.2",0.0138417431480165
"HHS Region 1","1 wk ahead","percent","Bin","3.2","3.3",0.0127290034835409
"HHS Region 1","1 wk ahead","percent","Bin","3.3","3.4",0.0118000725018396
"HHS Region 1","1 wk ahead","percent","Bin","3.4","3.5",0.0110160400828019
"HHS Region 1","1 wk ahead","percent","Bin","3.5","3.6",0.0103412276330634
"HHS Region 1","1 wk ahead","percent","Bin","3.6","3.7",0.00975094131366712
"HHS Region 1","1 wk ahead","percent","Bin","3.7","3.8",0.00923522050054767
"HHS Region 1","1 wk ahead","percent","Bin","3.8","3.9",0.00879954342419466
"HHS Region 1","1 wk ahead","percent","Bin","3.9","4",0.00846127507945226
"HHS Region 1","1 wk ahead","percent","Bin","4","4.1",0.00824294321806921
"HHS Region 1","1 wk ahead","percent","Bin","4.1","4.2",0.00816403614632322
"HHS Region 1","1 wk ahead","percent","Bin","4.2","4.3",0.00823370028482727
"HHS Region 1","1 wk ahead","percent","Bin","4.3","4.4",0.0084448412379619
"HHS Region 1","1 wk ahead","percent","Bin","4.4","4.5",0.00877108741219449
"HHS Region 1","1 wk ahead","percent","Bin","4.5","4.6",0.00916830686930573
"HHS Region 1","1 wk ahead","percent","Bin","4.6","4.7",0.00957863485091467
"HHS Region 1","1 wk ahead","percent","Bin","4.7","4.8",0.00993766677780348
"HHS Region 1","1 wk ahead","percent","Bin","4.8","4.9",0.0101826691538597
"HHS Region 1","1 wk ahead","percent","Bin","4.9","5",0.0102612435231076
"HHS Region 1","1 wk ahead","percent","Bin","5","5.1",0.0101374750586519
"HHS Region 1","1 wk ahead","percent","Bin","5.1","5.2",0.00979616545373744
"HHS Region 1","1 wk ahead","percent","Bin","5.2","5.3",0.00924465438872441
"HHS Region 1","1 wk ahead","percent","Bin","5.3","5.4",0.00851043805940679
