Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,value
US National,Season onset,Point,week,NA,NA,49
US National,Season onset,Bin,week,40,41,2.21E-04
US National,Season onset,Bin,week,41,42,2.40E-04
US National,Season onset,Bin,week,42,43,2.43E-04
US National,Season onset,Bin,week,43,44,2.46E-04
US National,Season onset,Bin,week,44,45,2.70E-04
US National,Season onset,Bin,week,45,46,8.26E-04
US National,Season onset,Bin,week,46,47,7.07E-03
US National,Season onset,Bin,week,47,48,0.028748987
US National,Season onset,Bin,week,48,49,5.86E-02
US National,Season onset,Bin,week,49,50,0.82902719
US National,Season onset,Bin,week,50,51,0.053413943
US National,Season onset,Bin,week,51,52,0.013598472
US National,Season onset,Bin,week,52,53,2.20E-03
US National,Season onset,Bin,week,1,2,4.59E-04
US National,Season onset,Bin,week,2,3,2.65E-04
US National,Season onset,Bin,week,3,4,2.46E-04
US National,Season onset,Bin,week,4,5,2.45E-04
US National,Season onset,Bin,week,5,6,2.44E-04
US National,Season onset,Bin,week,6,7,2.44E-04
US National,Season onset,Bin,week,7,8,2.44E-04
US National,Season onset,Bin,week,8,9,2.44E-04
US National,Season onset,Bin,week,9,10,2.44E-04
US National,Season onset,Bin,week,10,11,2.44E-04
US National,Season onset,Bin,week,11,12,2.44E-04
US National,Season onset,Bin,week,12,13,2.44E-04
US National,Season onset,Bin,week,13,14,2.44E-04
US National,Season onset,Bin,week,14,15,2.44E-04
US National,Season onset,Bin,week,15,16,2.44E-04
US National,Season onset,Bin,week,16,17,2.44E-04
US National,Season onset,Bin,week,17,18,2.44E-04
US National,Season onset,Bin,week,18,19,2.43E-04
US National,Season onset,Bin,week,19,20,2.39E-04
US National,Season onset,Bin,week,20,21,2.24E-04
US National,Season onset,Bin,week,none,none,2.44E-04
US National,Season peak week,Point,week,NA,NA,7.778028766
US National,Season peak week,Bin,week,40,41,4.28168E-05
US National,Season peak week,Bin,week,41,42,5.67452E-05
US National,Season peak week,Bin,week,42,43,5.75559E-05
US National,Season peak week,Bin,week,43,44,5.10707E-05
US National,Season peak week,Bin,week,44,45,4.0606E-05
US National,Season peak week,Bin,week,45,46,3.10256E-05
US National,Season peak week,Bin,week,46,47,2.49089E-05
US National,Season peak week,Bin,week,47,48,4.14903E-05
US National,Season peak week,Bin,week,48,49,8.94658E-05
US National,Season peak week,Bin,week,49,50,0.000161171
US National,Season peak week,Bin,week,50,51,0.000253511
US National,Season peak week,Bin,week,51,52,0.000352041
US National,Season peak week,Bin,week,52,53,0.000412471
US National,Season peak week,Bin,week,1,2,0.000433696
US National,Season peak week,Bin,week,2,3,0.000442465
US National,Season peak week,Bin,week,3,4,0.000474081
US National,Season peak week,Bin,week,4,5,0.000548365
US National,Season peak week,Bin,week,5,6,0.000632083
US National,Season peak week,Bin,week,6,7,0.00068986
US National,Season peak week,Bin,week,7,8,0.260665463
US National,Season peak week,Bin,week,8,9,0.549756627
US National,Season peak week,Bin,week,9,10,0.054003047
US National,Season peak week,Bin,week,10,11,0.04051026
US National,Season peak week,Bin,week,11,12,0.029020241
US National,Season peak week,Bin,week,12,13,0.019932591
US National,Season peak week,Bin,week,13,14,0.014025098
US National,Season peak week,Bin,week,14,15,9.65E-03
US National,Season peak week,Bin,week,15,16,6.44E-03
US National,Season peak week,Bin,week,16,17,4.19E-03
US National,Season peak week,Bin,week,17,18,2.63E-03
US National,Season peak week,Bin,week,18,19,1.59E-03
US National,Season peak week,Bin,week,19,20,1.37E-03
US National,Season peak week,Bin,week,20,21,1.38E-03
US National,Season peak percentage,Point,percent,NA,NA,5.012788077
US National,Season peak percentage,Bin,percent,0,0.1,2.00E-04
US National,Season peak percentage,Bin,percent,0.1,0.2,2.00E-04
US National,Season peak percentage,Bin,percent,0.2,0.3,2.00E-04
US National,Season peak percentage,Bin,percent,0.3,0.4,2.00E-04
US National,Season peak percentage,Bin,percent,0.4,0.5,2.00E-04
US National,Season peak percentage,Bin,percent,0.5,0.6,2.00E-04
US National,Season peak percentage,Bin,percent,0.6,0.7,2.00E-04
US National,Season peak percentage,Bin,percent,0.7,0.8,2.00E-04
US National,Season peak percentage,Bin,percent,0.8,0.9,2.00E-04
US National,Season peak percentage,Bin,percent,0.9,1,2.00E-04
US National,Season peak percentage,Bin,percent,1,1.1,2.00E-04
US National,Season peak percentage,Bin,percent,1.1,1.2,2.00E-04
US National,Season peak percentage,Bin,percent,1.2,1.3,2.00E-04
US National,Season peak percentage,Bin,percent,1.3,1.4,2.00E-04
US National,Season peak percentage,Bin,percent,1.4,1.5,2.00E-04
US National,Season peak percentage,Bin,percent,1.5,1.6,2.01E-04
US National,Season peak percentage,Bin,percent,1.6,1.7,2.03E-04
US National,Season peak percentage,Bin,percent,1.7,1.8,2.06E-04
US National,Season peak percentage,Bin,percent,1.8,1.9,2.12E-04
US National,Season peak percentage,Bin,percent,1.9,2,2.19E-04
US National,Season peak percentage,Bin,percent,2,2.1,2.26E-04
US National,Season peak percentage,Bin,percent,2.1,2.2,2.34E-04
US National,Season peak percentage,Bin,percent,2.2,2.3,2.40E-04
US National,Season peak percentage,Bin,percent,2.3,2.4,2.46E-04
US National,Season peak percentage,Bin,percent,2.4,2.5,2.51E-04
US National,Season peak percentage,Bin,percent,2.5,2.6,2.61E-04
US National,Season peak percentage,Bin,percent,2.6,2.7,2.70E-04
US National,Season peak percentage,Bin,percent,2.7,2.8,2.82E-04
US National,Season peak percentage,Bin,percent,2.8,2.9,2.92E-04
US National,Season peak percentage,Bin,percent,2.9,3,3.03E-04
US National,Season peak percentage,Bin,percent,3,3.1,3.24E-04
US National,Season peak percentage,Bin,percent,3.1,3.2,3.34E-04
US National,Season peak percentage,Bin,percent,3.2,3.3,3.47E-04
US National,Season peak percentage,Bin,percent,3.3,3.4,3.46E-04
US National,Season peak percentage,Bin,percent,3.4,3.5,0.000354825
US National,Season peak percentage,Bin,percent,3.5,3.6,0.000360926
US National,Season peak percentage,Bin,percent,3.6,3.7,0.000360783
US National,Season peak percentage,Bin,percent,3.7,3.8,0.00035906
US National,Season peak percentage,Bin,percent,3.8,3.9,0.000356978
US National,Season peak percentage,Bin,percent,3.9,4,0.000353318
US National,Season peak percentage,Bin,percent,4,4.1,0.000352097
US National,Season peak percentage,Bin,percent,4.1,4.2,0.000342336
US National,Season peak percentage,Bin,percent,4.2,4.3,0.000340469
US National,Season peak percentage,Bin,percent,4.3,4.4,0.000336163
US National,Season peak percentage,Bin,percent,4.4,4.5,0.000336668
US National,Season peak percentage,Bin,percent,4.5,4.6,0.000335036
US National,Season peak percentage,Bin,percent,4.6,4.7,0.000340052
US National,Season peak percentage,Bin,percent,4.7,4.8,0.000519559
US National,Season peak percentage,Bin,percent,4.8,4.9,0.012028673
US National,Season peak percentage,Bin,percent,4.9,5,0.210454771
US National,Season peak percentage,Bin,percent,5,5.1,0.606598705
US National,Season peak percentage,Bin,percent,5.1,5.2,0.079809573
US National,Season peak percentage,Bin,percent,5.2,5.3,0.002999576
US National,Season peak percentage,Bin,percent,5.3,5.4,0.00316654
US National,Season peak percentage,Bin,percent,5.4,5.5,0.003896731
US National,Season peak percentage,Bin,percent,5.5,5.6,0.007925952
US National,Season peak percentage,Bin,percent,5.6,5.7,0.00291582
US National,Season peak percentage,Bin,percent,5.7,5.8,0.005199995
US National,Season peak percentage,Bin,percent,5.8,5.9,0.004537275
US National,Season peak percentage,Bin,percent,5.9,6,0.002182088
US National,Season peak percentage,Bin,percent,6,6.1,0.004791839
US National,Season peak percentage,Bin,percent,6.1,6.2,0.002737037
US National,Season peak percentage,Bin,percent,6.2,6.3,0.001133289
US National,Season peak percentage,Bin,percent,6.3,6.4,0.000946946
US National,Season peak percentage,Bin,percent,6.4,6.5,0.001226503
US National,Season peak percentage,Bin,percent,6.5,6.6,0.001418994
US National,Season peak percentage,Bin,percent,6.6,6.7,0.001268396
US National,Season peak percentage,Bin,percent,6.7,6.8,0.001298183
US National,Season peak percentage,Bin,percent,6.8,6.9,0.002960099
US National,Season peak percentage,Bin,percent,6.9,7,0.002063776
US National,Season peak percentage,Bin,percent,7,7.1,0.001527425
US National,Season peak percentage,Bin,percent,7.1,7.2,0.001061201
US National,Season peak percentage,Bin,percent,7.2,7.3,0.000761168
US National,Season peak percentage,Bin,percent,7.3,7.4,0.000658637
US National,Season peak percentage,Bin,percent,7.4,7.5,0.000540769
US National,Season peak percentage,Bin,percent,7.5,7.6,0.001239025
US National,Season peak percentage,Bin,percent,7.6,7.7,0.002377464
US National,Season peak percentage,Bin,percent,7.7,7.8,0.002731132
US National,Season peak percentage,Bin,percent,7.8,7.9,0.001157779
US National,Season peak percentage,Bin,percent,7.9,8,0.000504916
US National,Season peak percentage,Bin,percent,8,8.1,0.000369793
US National,Season peak percentage,Bin,percent,8.1,8.2,0.000358449
US National,Season peak percentage,Bin,percent,8.2,8.3,0.00034592
US National,Season peak percentage,Bin,percent,8.3,8.4,0.00036729
US National,Season peak percentage,Bin,percent,8.4,8.5,0.000320119
US National,Season peak percentage,Bin,percent,8.5,8.6,0.000298634
US National,Season peak percentage,Bin,percent,8.6,8.7,0.000334308
US National,Season peak percentage,Bin,percent,8.7,8.8,0.000278764
US National,Season peak percentage,Bin,percent,8.8,8.9,0.000279829
US National,Season peak percentage,Bin,percent,8.9,9,0.000277077
US National,Season peak percentage,Bin,percent,9,9.1,0.000270301
US National,Season peak percentage,Bin,percent,9.1,9.2,0.000267148
US National,Season peak percentage,Bin,percent,9.2,9.3,0.000283191
US National,Season peak percentage,Bin,percent,9.3,9.4,0.000273033
US National,Season peak percentage,Bin,percent,9.4,9.5,0.000262894
US National,Season peak percentage,Bin,percent,9.5,9.6,0.00025211
US National,Season peak percentage,Bin,percent,9.6,9.7,0.000264803
US National,Season peak percentage,Bin,percent,9.7,9.8,0.000233615
US National,Season peak percentage,Bin,percent,9.8,9.9,0.000264047
US National,Season peak percentage,Bin,percent,9.9,10,0.000239525
US National,Season peak percentage,Bin,percent,10,10.1,0.000255057
US National,Season peak percentage,Bin,percent,10.1,10.2,0.000231229
US National,Season peak percentage,Bin,percent,10.2,10.3,0.000234077
US National,Season peak percentage,Bin,percent,10.3,10.4,0.00022587
