Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,value
US National,Season onset,Point,week,NA,NA,47.71428571
US National,Season onset,Bin,week,40,41,0.00070692
US National,Season onset,Bin,week,41,42,0.00070692
US National,Season onset,Bin,week,42,43,0.00070692
US National,Season onset,Bin,week,43,44,0.00070692
US National,Season onset,Bin,week,44,45,0.00070692
US National,Season onset,Bin,week,45,46,0.00070692
US National,Season onset,Bin,week,46,47,0.00070692
US National,Season onset,Bin,week,47,48,0.601935563
US National,Season onset,Bin,week,48,49,0.022820633
US National,Season onset,Bin,week,49,50,0.087533199
US National,Season onset,Bin,week,50,51,0.072561387
US National,Season onset,Bin,week,51,52,0.044598527
US National,Season onset,Bin,week,52,53,0.041786969
US National,Season onset,Bin,week,1,2,0.017196543
US National,Season onset,Bin,week,2,3,0.01315877
US National,Season onset,Bin,week,3,4,0.007189437
US National,Season onset,Bin,week,4,5,0.006314949
US National,Season onset,Bin,week,5,6,0.002883332
US National,Season onset,Bin,week,6,7,0.003272722
US National,Season onset,Bin,week,7,8,0.001276733
US National,Season onset,Bin,week,8,9,0.000786955
US National,Season onset,Bin,week,9,10,0.00172254
US National,Season onset,Bin,week,10,11,0.000537207
US National,Season onset,Bin,week,11,12,0.000537207
US National,Season onset,Bin,week,12,13,0.000537207
US National,Season onset,Bin,week,13,14,0.000537207
US National,Season onset,Bin,week,14,15,0.000537207
US National,Season onset,Bin,week,15,16,0.000537207
US National,Season onset,Bin,week,16,17,0.000786955
US National,Season onset,Bin,week,17,18,0.000537207
US National,Season onset,Bin,week,18,19,0.000537207
US National,Season onset,Bin,week,19,20,0.000537207
US National,Season onset,Bin,week,20,21,0.000537207
US National,Season onset,Bin,week,none,none,0.063854279
US National,Season peak week,Point,week,NA,NA,3.849833325
US National,Season peak week,Bin,week,40,41,0.000470561
US National,Season peak week,Bin,week,41,42,0.003063704
US National,Season peak week,Bin,week,42,43,0.003091937
US National,Season peak week,Bin,week,43,44,0.000521016
US National,Season peak week,Bin,week,44,45,0.000475724
US National,Season peak week,Bin,week,45,46,0.00044075
US National,Season peak week,Bin,week,46,47,0.000475704
US National,Season peak week,Bin,week,47,48,0.00327116
US National,Season peak week,Bin,week,48,49,0.003463188
US National,Season peak week,Bin,week,49,50,0.005712312
US National,Season peak week,Bin,week,50,51,0.011326306
US National,Season peak week,Bin,week,51,52,0.029792369
US National,Season peak week,Bin,week,52,53,0.169998968
US National,Season peak week,Bin,week,1,2,0.129579331
US National,Season peak week,Bin,week,2,3,0.038841582
US National,Season peak week,Bin,week,3,4,0.057585195
US National,Season peak week,Bin,week,4,5,0.085734422
US National,Season peak week,Bin,week,5,6,0.101285368
US National,Season peak week,Bin,week,6,7,0.102577234
US National,Season peak week,Bin,week,7,8,0.099162311
US National,Season peak week,Bin,week,8,9,0.058583705
US National,Season peak week,Bin,week,9,10,0.027151315
US National,Season peak week,Bin,week,10,11,0.025647737
US National,Season peak week,Bin,week,11,12,0.015072326
US National,Season peak week,Bin,week,12,13,0.007964784
US National,Season peak week,Bin,week,13,14,0.005095554
US National,Season peak week,Bin,week,14,15,0.002060581
US National,Season peak week,Bin,week,15,16,0.001220515
US National,Season peak week,Bin,week,16,17,0.001603697
