"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","percent","Bin","0","0.1",6.76903634455597e-10
"HHS Region 1","1 wk ahead","percent","Bin","0.1","0.2",1.78482456541003e-09
"HHS Region 1","1 wk ahead","percent","Bin","0.2","0.3",2.46345308571193e-09
"HHS Region 1","1 wk ahead","percent","Bin","0.3","0.4",3.2491446510111e-09
"HHS Region 1","1 wk ahead","percent","Bin","0.4","0.5",4.11146446473605e-09
"HHS Region 1","1 wk ahead","percent","Bin","0.5","0.6",5.01612873464243e-09
"HHS Region 1","1 wk ahead","percent","Bin","0.6","0.7",5.93372950220845e-09
"HHS Region 1","1 wk ahead","percent","Bin","0.7","0.8",0.00200000642907393
"HHS Region 1","1 wk ahead","percent","Bin","0.8","0.9",7.73815045115208e-09
"HHS Region 1","1 wk ahead","percent","Bin","0.9","1",8.60072996470942e-09
"HHS Region 1","1 wk ahead","percent","Bin","1","1.1",0.00200000899109526
"HHS Region 1","1 wk ahead","percent","Bin","1.1","1.2",0.00100000990378246
"HHS Region 1","1 wk ahead","percent","Bin","1.2","1.3",0.00100001044790357
"HHS Region 1","1 wk ahead","percent","Bin","1.3","1.4",0.00100001077463542
"HHS Region 1","1 wk ahead","percent","Bin","1.4","1.5",0.004000010227837
"HHS Region 1","1 wk ahead","percent","Bin","1.5","1.6",0.00400001006320075
"HHS Region 1","1 wk ahead","percent","Bin","1.6","1.7",0.00200001012276884
"HHS Region 1","1 wk ahead","percent","Bin","1.7","1.8",1.00663232398382e-08
"HHS Region 1","1 wk ahead","percent","Bin","1.8","1.9",0.00100000934461701
"HHS Region 1","1 wk ahead","percent","Bin","1.9","2",0.00800000738161383
"HHS Region 1","1 wk ahead","percent","Bin","2","2.1",0.0110000062640522
"HHS Region 1","1 wk ahead","percent","Bin","2.1","2.2",0.0290000020135498
"HHS Region 1","1 wk ahead","percent","Bin","2.2","2.3",0.0379999995744374
"HHS Region 1","1 wk ahead","percent","Bin","2.3","2.4",0.0280000009868002
"HHS Region 1","1 wk ahead","percent","Bin","2.4","2.5",0.0629999929309606
"HHS Region 1","1 wk ahead","percent","Bin","2.5","2.6",0.0669999912271759
"HHS Region 1","1 wk ahead","percent","Bin","2.6","2.7",0.0619999913484946
"HHS Region 1","1 wk ahead","percent","Bin","2.7","2.8",0.109999980465679
"HHS Region 1","1 wk ahead","percent","Bin","2.8","2.9",0.0829999852497914
"HHS Region 1","1 wk ahead","percent","Bin","2.9","3",0.0919999826668399
"HHS Region 1","1 wk ahead","percent","Bin","3","3.1",0.0629999881242864
"HHS Region 1","1 wk ahead","percent","Bin","3.1","3.2",0.0809999839511022
"HHS Region 1","1 wk ahead","percent","Bin","3.2","3.3",0.0419999917546405
"HHS Region 1","1 wk ahead","percent","Bin","3.3","3.4",0.04799999030441
"HHS Region 1","1 wk ahead","percent","Bin","3.4","3.5",0.0219999955831083
"HHS Region 1","1 wk ahead","percent","Bin","3.5","3.6",0.0279999942609076
"HHS Region 1","1 wk ahead","percent","Bin","3.6","3.7",0.0229999952589793
"HHS Region 1","1 wk ahead","percent","Bin","3.7","3.8",0.0229999952417305
"HHS Region 1","1 wk ahead","percent","Bin","3.8","3.9",0.012999997320298
"HHS Region 1","1 wk ahead","percent","Bin","3.9","4",0.00499999898355905
"HHS Region 1","1 wk ahead","percent","Bin","4","4.1",0.00599999877565142
"HHS Region 1","1 wk ahead","percent","Bin","4.1","4.2",0.0109999977361133
"HHS Region 1","1 wk ahead","percent","Bin","4.2","4.3",0.00599999877565142
"HHS Region 1","1 wk ahead","percent","Bin","4.3","4.4",0.00299999939937431
"HHS Region 1","1 wk ahead","percent","Bin","4.4","4.5",0.00299999939937431
