"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.0004746132406996
"US National","Season onset","week","Bin","41","42",0.0004746132406996
"US National","Season onset","week","Bin","42","43",0.0004746132406996
"US National","Season onset","week","Bin","43","44",0.0004746132406996
"US National","Season onset","week","Bin","44","45",0.0004746132406996
"US National","Season onset","week","Bin","45","46",0.0004746132406996
"US National","Season onset","week","Bin","46","47",0.0494809548814477
"US National","Season onset","week","Bin","47","48",0.0004746132406996
"US National","Season onset","week","Bin","48","49",0.0504907702871915
"US National","Season onset","week","Bin","49","50",0.151472310861575
"US National","Season onset","week","Bin","50","51",0.0494809548814477
"US National","Season onset","week","Bin","51","52",0.313042775780587
"US National","Season onset","week","Bin","52","53",0.141374156804136
"US National","Season onset","week","Bin","1","2",0.0004746132406996
"US National","Season onset","week","Bin","2","3",0.100981540574383
"US National","Season onset","week","Bin","3","4",0.0004746132406996
"US National","Season onset","week","Bin","4","5",0.0004746132406996
"US National","Season onset","week","Bin","5","6",0.0434220624469847
"US National","Season onset","week","Bin","6","7",0.0444318778527285
"US National","Season onset","week","Bin","7","8",0.0004746132406996
"US National","Season onset","week","Bin","8","9",0.0004746132406996
"US National","Season onset","week","Bin","9","10",0.0004746132406996
"US National","Season onset","week","Bin","10","11",0.0004746132406996
"US National","Season onset","week","Bin","11","12",0.0004746132406996
"US National","Season onset","week","Bin","12","13",0.0444318778527285
"US National","Season onset","week","Bin","13","14",0.0004746132406996
"US National","Season onset","week","Bin","14","15",0.0004746132406996
"US National","Season onset","week","Bin","15","16",0.0004746132406996
"US National","Season onset","week","Bin","16","17",0.0004746132406996
"US National","Season onset","week","Bin","17","18",0.0004746132406996
"US National","Season onset","week","Bin","18","19",0.0004746132406996
"US National","Season onset","week","Bin","19","20",0.0004746132406996
"US National","Season onset","week","Bin","20","21",0.0004746132406996
"US National","Season onset","week","Bin","none","none",0.0004746132406996
"US National","Season peak week","week","Bin","40","41",7.99648154811883e-05
"US National","Season peak week","week","Bin","41","42",7.99648154811883e-05
"US National","Season peak week","week","Bin","42","43",0.0259885650313862
"US National","Season peak week","week","Bin","43","44",0.0169925232897525
"US National","Season peak week","week","Bin","44","45",7.99648154811883e-05
"US National","Season peak week","week","Bin","45","46",7.99648154811883e-05
"US National","Season peak week","week","Bin","46","47",7.99648154811883e-05
"US National","Season peak week","week","Bin","47","48",7.99648154811883e-05
"US National","Season peak week","week","Bin","48","49",7.99648154811883e-05
"US National","Season peak week","week","Bin","49","50",7.99648154811883e-05
"US National","Season peak week","week","Bin","50","51",0.0249890048378713
"US National","Season peak week","week","Bin","51","52",0.0539762504498021
"US National","Season peak week","week","Bin","52","53",0.119947223221782
"US National","Season peak week","week","Bin","1","2",7.99648154811883e-05
"US National","Season peak week","week","Bin","2","3",0.0219903242573268
"US National","Season peak week","week","Bin","3","4",7.99648154811883e-05
"US National","Season peak week","week","Bin","4","5",0.0199912038702971
"US National","Season peak week","week","Bin","5","6",0.0199912038702971
"US National","Season peak week","week","Bin","6","7",0.139938427092079
"US National","Season peak week","week","Bin","7","8",0.169925232897525
"US National","Season peak week","week","Bin","8","9",0.179920834832674
"US National","Season peak week","week","Bin","9","10",0.0839630562552477
"US National","Season peak week","week","Bin","10","11",0.0489784494822278
"US National","Season peak week","week","Bin","11","12",0.0459797689016832
"US National","Season peak week","week","Bin","12","13",0.0259885650313862
"US National","Season peak week","week","Bin","13","14",7.99648154811883e-05
"US National","Season peak week","week","Bin","14","15",7.99648154811883e-05
"US National","Season peak week","week","Bin","15","16",7.99648154811883e-05
"US National","Season peak week","week","Bin","16","17",7.99648154811883e-05
"US National","Season peak week","week","Bin","17","18",7.99648154811883e-05
