"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0
"US National","Season onset","week","Bin","41","42",0
"US National","Season onset","week","Bin","42","43",0
"US National","Season onset","week","Bin","43","44",0
"US National","Season onset","week","Bin","44","45",0
"US National","Season onset","week","Bin","45","46",0.007984
"US National","Season onset","week","Bin","46","47",0.083832
"US National","Season onset","week","Bin","47","48",0.82036
"US National","Season onset","week","Bin","48","49",0.087824
"US National","Season onset","week","Bin","49","50",0
"US National","Season onset","week","Bin","50","51",0
"US National","Season onset","week","Bin","51","52",0
"US National","Season onset","week","Bin","52","53",0
"US National","Season onset","week","Bin","1","2",0
"US National","Season onset","week","Bin","2","3",0
"US National","Season onset","week","Bin","3","4",0
"US National","Season onset","week","Bin","4","5",0
"US National","Season onset","week","Bin","5","6",0
"US National","Season onset","week","Bin","6","7",0
"US National","Season onset","week","Bin","7","8",0
"US National","Season onset","week","Bin","8","9",0
"US National","Season onset","week","Bin","9","10",0
"US National","Season onset","week","Bin","10","11",0
"US National","Season onset","week","Bin","11","12",0
"US National","Season onset","week","Bin","12","13",0
"US National","Season onset","week","Bin","13","14",0
"US National","Season onset","week","Bin","14","15",0
"US National","Season onset","week","Bin","15","16",0
"US National","Season onset","week","Bin","16","17",0
"US National","Season onset","week","Bin","17","18",0
"US National","Season onset","week","Bin","18","19",0
"US National","Season onset","week","Bin","19","20",0
"US National","Season onset","week","Bin","20","21",0
"US National","Season onset","week","Bin","none","none",0
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0.00103819615867421
"US National","Season peak week","week","Bin","46","47",0.00223609172646061
"US National","Season peak week","week","Bin","47","48",0.00367358640773029
"US National","Season peak week","week","Bin","48","49",0.00511108108899997
"US National","Season peak week","week","Bin","49","50",0.00662847547464074
"US National","Season peak week","week","Bin","50","51",0.00606947754293309
"US National","Season peak week","week","Bin","51","52",0.00535068020248325
"US National","Season peak week","week","Bin","52","53",0.00527088049774216
"US National","Season peak week","week","Bin","1","2",0.00894446690547245
"US National","Season peak week","week","Bin","2","3",0.0215629202171952
"US National","Season peak week","week","Bin","3","4",0.0424058430983805
"US National","Season peak week","week","Bin","4","5",0.069319743516949
"US National","Season peak week","week","Bin","5","6",0.0987886344820524
"US National","Season peak week","week","Bin","6","7",0.123789541978695
"US National","Season peak week","week","Bin","7","8",0.132169510972809
"US National","Season peak week","week","Bin","8","9",0.126979530175738
"US National","Season peak week","week","Bin","9","10",0.109809593704503
"US National","Season peak week","week","Bin","10","11",0.0851316850127655
"US National","Season peak week","week","Bin","11","12",0.0582987842944981
"US National","Season peak week","week","Bin","12","13",0.037614860825015
"US National","Season peak week","week","Bin","13","14",0.0225209166726083
"US National","Season peak week","week","Bin","14","15",0.0130169518372782
"US National","Season peak week","week","Bin","15","16",0.0071076737016073
"US National","Season peak week","week","Bin","16","17",0.00391318552121357
"US National","Season peak week","week","Bin","17","18",0.00207639231734843
"US National","Season peak week","week","Bin","18","19",0.00103819615867421
"US National","Season peak week","week","Bin","19","20",0.000133099507531822
"US National","Season peak week","week","Bin","20","21",0
"US National","Season peak percentage","percent","Bin","0","0.1",0
"US National","Season peak percentage","percent","Bin","0.1","0.2",0
"US National","Season peak percentage","percent","Bin","0.2","0.3",0
"US National","Season peak percentage","percent","Bin","0.3","0.4",0
"US National","Season peak percentage","percent","Bin","0.4","0.5",0
"US National","Season peak percentage","percent","Bin","0.5","0.6",0
"US National","Season peak percentage","percent","Bin","0.6","0.7",0
"US National","Season peak percentage","percent","Bin","0.7","0.8",0
"US National","Season peak percentage","percent","Bin","0.8","0.9",0
"US National","Season peak percentage","percent","Bin","0.9","1",0
"US National","Season peak percentage","percent","Bin","1","1.1",0
"US National","Season peak percentage","percent","Bin","1.1","1.2",0
"US National","Season peak percentage","percent","Bin","1.2","1.3",0
"US National","Season peak percentage","percent","Bin","1.3","1.4",0
"US National","Season peak percentage","percent","Bin","1.4","1.5",0
"US National","Season peak percentage","percent","Bin","1.5","1.6",0
"US National","Season peak percentage","percent","Bin","1.6","1.7",0
"US National","Season peak percentage","percent","Bin","1.7","1.8",0
"US National","Season peak percentage","percent","Bin","1.8","1.9",0
"US National","Season peak percentage","percent","Bin","1.9","2",0
"US National","Season peak percentage","percent","Bin","2","2.1",0
"US National","Season peak percentage","percent","Bin","2.1","2.2",0
"US National","Season peak percentage","percent","Bin","2.2","2.3",0
"US National","Season peak percentage","percent","Bin","2.3","2.4",0
"US National","Season peak percentage","percent","Bin","2.4","2.5",0
"US National","Season peak percentage","percent","Bin","2.5","2.6",0
"US National","Season peak percentage","percent","Bin","2.6","2.7",0
"US National","Season peak percentage","percent","Bin","2.7","2.8",0
"US National","Season peak percentage","percent","Bin","2.8","2.9",0
"US National","Season peak percentage","percent","Bin","2.9","3",0
"US National","Season peak percentage","percent","Bin","3","3.1",0
"US National","Season peak percentage","percent","Bin","3.1","3.2",0
"US National","Season peak percentage","percent","Bin","3.2","3.3",0
"US National","Season peak percentage","percent","Bin","3.3","3.4",0
"US National","Season peak percentage","percent","Bin","3.4","3.5",0
"US National","Season peak percentage","percent","Bin","3.5","3.6",0
"US National","Season peak percentage","percent","Bin","3.6","3.7",0
"US National","Season peak percentage","percent","Bin","3.7","3.8",0
"US National","Season peak percentage","percent","Bin","3.8","3.9",0
"US National","Season peak percentage","percent","Bin","3.9","4",0
"US National","Season peak percentage","percent","Bin","4","4.1",0
"US National","Season peak percentage","percent","Bin","4.1","4.2",0
"US National","Season peak percentage","percent","Bin","4.2","4.3",0
"US National","Season peak percentage","percent","Bin","4.3","4.4",0
"US National","Season peak percentage","percent","Bin","4.4","4.5",0
"US National","Season peak percentage","percent","Bin","4.5","4.6",0
"US National","Season peak percentage","percent","Bin","4.6","4.7",0.0037372081097416
"US National","Season peak percentage","percent","Bin","4.7","4.8",0.00511411109762108
"US National","Season peak percentage","percent","Bin","4.8","4.9",0.00649101408550057
"US National","Season peak percentage","percent","Bin","4.9","5",0.00845791835368283
"US National","Season peak percentage","percent","Bin","5","5.1",0.0129820281710011
"US National","Season peak percentage","percent","Bin","5.1","5.2",0.017211037347951
"US National","Season peak percentage","percent","Bin","5.2","5.3",0.0253740550616995
"US National","Season peak percentage","percent","Bin","5.3","5.4",0.0335370727754479
"US National","Season peak percentage","percent","Bin","5.4","5.5",0.0473051026520728
"US National","Season peak percentage","percent","Bin","5.5","5.6",0.0655981423479689
"US National","Season peak percentage","percent","Bin","5.6","5.7",0.0832021805487318
"US National","Season peak percentage","percent","Bin","5.7","5.8",0.0956922076520906
"US National","Season peak percentage","percent","Bin","5.8","5.9",0.108180234751109
"US National","Season peak percentage","percent","Bin","5.9","6",0.109460237528715
"US National","Season peak percentage","percent","Bin","6","6.1",0.103070223662385
"US National","Season peak percentage","percent","Bin","6.1","6.2",0.0905781965546865
"US National","Season peak percentage","percent","Bin","6.2","6.3",0.0710071540855244
"US National","Season peak percentage","percent","Bin","6.3","6.4",0.0514361116163622
"US National","Season peak percentage","percent","Bin","6.4","6.5",0.0341270740557507
"US National","Season peak percentage","percent","Bin","6.5","6.6",0.0168170364929692
"US National","Season peak percentage","percent","Bin","6.6","6.7",0.00629431365866064
