"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,50
"US National","Season onset","Bin","week","40","41",0
"US National","Season onset","Bin","week","41","42",0
"US National","Season onset","Bin","week","42","43",0
"US National","Season onset","Bin","week","43","44",0
"US National","Season onset","Bin","week","44","45",0
"US National","Season onset","Bin","week","45","46",0
"US National","Season onset","Bin","week","46","47",0.1675
"US National","Season onset","Bin","week","47","48",0.1
"US National","Season onset","Bin","week","48","49",0.1125
"US National","Season onset","Bin","week","49","50",0.0925
"US National","Season onset","Bin","week","50","51",0.1025
"US National","Season onset","Bin","week","51","52",0.0775
"US National","Season onset","Bin","week","52","53",0.075
"US National","Season onset","Bin","week","1","2",0.04
"US National","Season onset","Bin","week","2","3",0.0675
"US National","Season onset","Bin","week","3","4",0.0425
"US National","Season onset","Bin","week","4","5",0.0425
"US National","Season onset","Bin","week","5","6",0.02
"US National","Season onset","Bin","week","6","7",0.0075
"US National","Season onset","Bin","week","7","8",0.01
"US National","Season onset","Bin","week","8","9",0.0025
"US National","Season onset","Bin","week","9","10",0.0075
"US National","Season onset","Bin","week","10","11",0.005
"US National","Season onset","Bin","week","11","12",0.005
"US National","Season onset","Bin","week","12","13",0.0025
"US National","Season onset","Bin","week","13","14",0
"US National","Season onset","Bin","week","14","15",0
"US National","Season onset","Bin","week","15","16",0
"US National","Season onset","Bin","week","16","17",0
"US National","Season onset","Bin","week","17","18",0
"US National","Season onset","Bin","week","18","19",0
"US National","Season onset","Bin","week","19","20",0
"US National","Season onset","Bin","week","20","21",0
"US National","Season onset","Bin","week","none","none",0.02
"US National","Season peak week","Point","week",NA,NA,4
"US National","Season peak week","Bin","week","40","41",0
"US National","Season peak week","Bin","week","41","42",0
"US National","Season peak week","Bin","week","42","43",0
"US National","Season peak week","Bin","week","43","44",0.00251889168765743
"US National","Season peak week","Bin","week","44","45",0.00251889168765743
"US National","Season peak week","Bin","week","45","46",0.00755667506297229
"US National","Season peak week","Bin","week","46","47",0.00503778337531486
"US National","Season peak week","Bin","week","47","48",0.0100755667506297
"US National","Season peak week","Bin","week","48","49",0.0125944584382872
"US National","Season peak week","Bin","week","49","50",0.0327455919395466
"US National","Season peak week","Bin","week","50","51",0.0428211586901763
"US National","Season peak week","Bin","week","51","52",0.0453400503778338
"US National","Season peak week","Bin","week","52","53",0.0403022670025189
"US National","Season peak week","Bin","week","1","2",0.0453400503778338
"US National","Season peak week","Bin","week","2","3",0.0554156171284635
"US National","Season peak week","Bin","week","3","4",0.0931989924433249
"US National","Season peak week","Bin","week","4","5",0.0629722921914358
"US National","Season peak week","Bin","week","5","6",0.0831234256926952
"US National","Season peak week","Bin","week","6","7",0.0906801007556675
"US National","Season peak week","Bin","week","7","8",0.0906801007556675
"US National","Season peak week","Bin","week","8","9",0.113350125944584
"US National","Season peak week","Bin","week","9","10",0.0629722921914358
"US National","Season peak week","Bin","week","10","11",0.017632241813602
"US National","Season peak week","Bin","week","11","12",0.0226700251889169
"US National","Season peak week","Bin","week","12","13",0.0151133501259446
"US National","Season peak week","Bin","week","13","14",0.0100755667506297
"US National","Season peak week","Bin","week","14","15",0.0100755667506297
"US National","Season peak week","Bin","week","15","16",0.0100755667506297
"US National","Season peak week","Bin","week","16","17",0
"US National","Season peak week","Bin","week","17","18",0.00503778337531486
"US National","Season peak week","Bin","week","18","19",0.00251889168765743
"US National","Season peak week","Bin","week","19","20",0.00755667506297229
"US National","Season peak week","Bin","week","20","21",0
"US National","Season peak percentage","Point","percent",NA,NA,6.96066597708974
"US National","Season peak percentage","Bin","percent","0","0.1",0
"US National","Season peak percentage","Bin","percent","0.1","0.2",0
"US National","Season peak percentage","Bin","percent","0.2","0.3",0
"US National","Season peak percentage","Bin","percent","0.3","0.4",0
"US National","Season peak percentage","Bin","percent","0.4","0.5",0
"US National","Season peak percentage","Bin","percent","0.5","0.6",0
"US National","Season peak percentage","Bin","percent","0.6","0.7",0
"US National","Season peak percentage","Bin","percent","0.7","0.8",0
