"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0
"US National","Season onset","week","Bin","41","42",0
"US National","Season onset","week","Bin","42","43",0
"US National","Season onset","week","Bin","43","44",4.81879999999999e-16
"US National","Season onset","week","Bin","44","45",1.62467752546966e-05
"US National","Season onset","week","Bin","45","46",0.00341470226615711
"US National","Season onset","week","Bin","46","47",0.0152910158412088
"US National","Season onset","week","Bin","47","48",0.0161663799865515
"US National","Season onset","week","Bin","48","49",0.0208679916175225
"US National","Season onset","week","Bin","49","50",0.0247739404732416
"US National","Season onset","week","Bin","50","51",0.0394798721372944
"US National","Season onset","week","Bin","51","52",0.0543643067064422
"US National","Season onset","week","Bin","52","53",0.0707769402907198
"US National","Season onset","week","Bin","1","2",0.0927951196329185
"US National","Season onset","week","Bin","2","3",0.0968983339917755
"US National","Season onset","week","Bin","3","4",0.0967167027392599
"US National","Season onset","week","Bin","4","5",0.101452412877475
"US National","Season onset","week","Bin","5","6",0.0894760955876838
"US National","Season onset","week","Bin","6","7",0.0759797370328788
"US National","Season onset","week","Bin","7","8",0.0606745388208824
"US National","Season onset","week","Bin","8","9",0.0467967387907936
"US National","Season onset","week","Bin","9","10",0.0337029118141161
"US National","Season onset","week","Bin","10","11",0.0223751264048946
"US National","Season onset","week","Bin","11","12",0.0135600175904367
"US National","Season onset","week","Bin","12","13",0.00868379429983675
"US National","Season onset","week","Bin","13","14",0.00505960082969143
"US National","Season onset","week","Bin","14","15",0.00299774296183186
"US National","Season onset","week","Bin","15","16",0.00112400610660324
"US National","Season onset","week","Bin","16","17",0.000999191957293181
"US National","Season onset","week","Bin","17","18",0.00131125163181427
"US National","Season onset","week","Bin","18","19",0.000499518893875345
"US National","Season onset","week","Bin","19","20",0.000561925299875457
"US National","Season onset","week","Bin","20","21",0.000249746401311009
"US National","Season onset","week","Bin","none","none",0.00293409024036
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0
"US National","Season peak week","week","Bin","46","47",0
"US National","Season peak week","week","Bin","47","48",7.304638351e-10
"US National","Season peak week","week","Bin","48","49",0.000365181593527011
"US National","Season peak week","week","Bin","49","50",0.00705448461453566
"US National","Season peak week","week","Bin","50","51",0.0135567518060561
"US National","Season peak week","week","Bin","51","52",0.0149449569106877
"US National","Season peak week","week","Bin","52","53",0.0204900114711798
"US National","Season peak week","week","Bin","1","2",0.0217500929735523
"US National","Season peak week","week","Bin","2","3",0.0356241145632511
"US National","Season peak week","week","Bin","3","4",0.0477140668342449
"US National","Season peak week","week","Bin","4","5",0.0606592538056114
"US National","Season peak week","week","Bin","5","6",0.0778233655740805
"US National","Season peak week","week","Bin","6","7",0.0888854728165019
"US National","Season peak week","week","Bin","7","8",0.0887350081913225
"US National","Season peak week","week","Bin","8","9",0.0956334429810256
"US National","Season peak week","week","Bin","9","10",0.0887773049383469
"US National","Season peak week","week","Bin","10","11",0.0797923117753348
"US National","Season peak week","week","Bin","11","12",0.0704566777582598
"US National","Season peak week","week","Bin","12","13",0.0549296149513323
"US National","Season peak week","week","Bin","13","14",0.0442361576434978
"US National","Season peak week","week","Bin","14","15",0.0327488110959826
"US National","Season peak week","week","Bin","15","16",0.0213408546565541
"US National","Season peak week","week","Bin","16","17",0.0149789167160822
"US National","Season peak week","week","Bin","17","18",0.00843179679417761
"US National","Season peak week","week","Bin","18","19",0.00603946443503755
"US National","Season peak week","week","Bin","19","20",0.00308224329489564
"US National","Season peak week","week","Bin","20","21",0.00194964107445828
"US National","Season peak percentage","percent","Bin","0","0.1",0
"US National","Season peak percentage","percent","Bin","0.1","0.2",0
"US National","Season peak percentage","percent","Bin","0.2","0.3",0
"US National","Season peak percentage","percent","Bin","0.3","0.4",0
"US National","Season peak percentage","percent","Bin","0.4","0.5",0
"US National","Season peak percentage","percent","Bin","0.5","0.6",0
"US National","Season peak percentage","percent","Bin","0.6","0.7",0
"US National","Season peak percentage","percent","Bin","0.7","0.8",0
"US National","Season peak percentage","percent","Bin","0.8","0.9",0
"US National","Season peak percentage","percent","Bin","0.9","1",0
"US National","Season peak percentage","percent","Bin","1","1.1",0
"US National","Season peak percentage","percent","Bin","1.1","1.2",0
"US National","Season peak percentage","percent","Bin","1.2","1.3",0
"US National","Season peak percentage","percent","Bin","1.3","1.4",0
"US National","Season peak percentage","percent","Bin","1.4","1.5",0.00218489676895822
"US National","Season peak percentage","percent","Bin","1.5","1.6",0.000187295895737122
"US National","Season peak percentage","percent","Bin","1.6","1.7",6.24318275814266e-05
"US National","Season peak percentage","percent","Bin","1.7","1.8",0.000187297971190943
"US National","Season peak percentage","percent","Bin","1.8","1.9",6.24281631935131e-05
"US National","Season peak percentage","percent","Bin","1.9","2",0
"US National","Season peak percentage","percent","Bin","2","2.1",0.000124860530553909
"US National","Season peak percentage","percent","Bin","2.1","2.2",0.000124879083143442
"US National","Season peak percentage","percent","Bin","2.2","2.3",0
"US National","Season peak percentage","percent","Bin","2.3","2.4",0.000124880766801296
"US National","Season peak percentage","percent","Bin","2.4","2.5",0
"US National","Season peak percentage","percent","Bin","2.5","2.6",0.000124865634509713
"US National","Season peak percentage","percent","Bin","2.6","2.7",6.24344366221029e-05
"US National","Season peak percentage","percent","Bin","2.7","2.8",0.00031217448708391
"US National","Season peak percentage","percent","Bin","2.8","2.9",0.000187345783069739
"US National","Season peak percentage","percent","Bin","2.9","3",0.000124868845409364
"US National","Season peak percentage","percent","Bin","3","3.1",6.24293312086557e-05
"US National","Season peak percentage","percent","Bin","3.1","3.2",6.24584363204281e-05
"US National","Season peak percentage","percent","Bin","3.2","3.3",0.000312292589032571
"US National","Season peak percentage","percent","Bin","3.3","3.4",0.000374808438932741
"US National","Season peak percentage","percent","Bin","3.4","3.5",0.000499586263632856
"US National","Season peak percentage","percent","Bin","3.5","3.6",0.000812605289033618
"US National","Season peak percentage","percent","Bin","3.6","3.7",0.000812941124120366
"US National","Season peak percentage","percent","Bin","3.7","3.8",0.000751692418458094
"US National","Season peak percentage","percent","Bin","3.8","3.9",0.00212896751694288
"US National","Season peak percentage","percent","Bin","3.9","4",0.00238333195409088
"US National","Season peak percentage","percent","Bin","4","4.1",0.00376173352144623
"US National","Season peak percentage","percent","Bin","4.1","4.2",0.00601662575607338
"US National","Season peak percentage","percent","Bin","4.2","4.3",0.00821089559147522
"US National","Season peak percentage","percent","Bin","4.3","4.4",0.013678664978282
"US National","Season peak percentage","percent","Bin","4.4","4.5",0.0175064809955361
"US National","Season peak percentage","percent","Bin","4.5","4.6",0.0241198804594394
"US National","Season peak percentage","percent","Bin","4.6","4.7",0.0305110920238289
"US National","Season peak percentage","percent","Bin","4.7","4.8",0.0380612470441972
"US National","Season peak percentage","percent","Bin","4.8","4.9",0.0427362988538108
"US National","Season peak percentage","percent","Bin","4.9","5",0.0494661959459521
"US National","Season peak percentage","percent","Bin","5","5.1",0.0534415603202165
"US National","Season peak percentage","percent","Bin","5.1","5.2",0.0609560195583065
"US National","Season peak percentage","percent","Bin","5.2","5.3",0.0628153474319022
"US National","Season peak percentage","percent","Bin","5.3","5.4",0.0607767887572202
"US National","Season peak percentage","percent","Bin","5.4","5.5",0.0591758004521628
