"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.00294117652650437
"US National","Season onset","week","Bin","41","42",0.00294117914395044
"US National","Season onset","week","Bin","42","43",0.00294149592055591
"US National","Season onset","week","Bin","43","44",0.00306426646015693
"US National","Season onset","week","Bin","44","45",0.0686953493807171
"US National","Season onset","week","Bin","45","46",0.771186006310293
"US National","Season onset","week","Bin","46","47",0.0686953493807171
"US National","Season onset","week","Bin","47","48",0.00306426646015697
"US National","Season onset","week","Bin","48","49",0.00294149592055591
"US National","Season onset","week","Bin","49","50",0.00294117914395047
"US National","Season onset","week","Bin","50","51",0.00294117652650431
"US National","Season onset","week","Bin","51","52",0.00294117647283604
"US National","Season onset","week","Bin","52","53",0.00294117647073342
"US National","Season onset","week","Bin","1","2",0.00294117647060172
"US National","Season onset","week","Bin","2","3",0.00294117647058983
"US National","Season onset","week","Bin","3","4",0.00294117647058853
"US National","Season onset","week","Bin","4","5",0.00294117647058824
"US National","Season onset","week","Bin","5","6",0.00294117647058824
"US National","Season onset","week","Bin","6","7",0.00294117647058824
"US National","Season onset","week","Bin","7","8",0.00294117647058824
"US National","Season onset","week","Bin","8","9",0.00294117647058824
"US National","Season onset","week","Bin","9","10",0.00294117647058824
"US National","Season onset","week","Bin","10","11",0.00294117647058824
"US National","Season onset","week","Bin","11","12",0.00294117647058824
"US National","Season onset","week","Bin","12","13",0.00294117647058824
"US National","Season onset","week","Bin","13","14",0.00294117647058824
"US National","Season onset","week","Bin","14","15",0.00294117647058824
"US National","Season onset","week","Bin","15","16",0.00294117647058824
"US National","Season onset","week","Bin","16","17",0.00294117647058824
"US National","Season onset","week","Bin","17","18",0.00294117647058824
"US National","Season onset","week","Bin","18","19",0.00294117647058824
"US National","Season onset","week","Bin","19","20",0.00294117647058824
"US National","Season onset","week","Bin","20","21",0.00294117647058824
"US National","Season onset","week","Bin","none","none",0.00294117647058824
"US National","Season peak week","week","Bin","40","41",0.0030484064502858
"US National","Season peak week","week","Bin","41","42",0.00306500872031135
"US National","Season peak week","week","Bin","42","43",0.00310442922417267
"US National","Season peak week","week","Bin","43","44",0.00319864537784812
"US National","Season peak week","week","Bin","44","45",0.00342373237330781
"US National","Season peak week","week","Bin","45","46",0.00395620823602293
"US National","Season peak week","week","Bin","46","47",0.00518801561735072
"US National","Season peak week","week","Bin","47","48",0.0079297469708616
"US National","Season peak week","week","Bin","48","49",0.0136810032067279
"US National","Season peak week","week","Bin","49","50",0.0247601295176533
"US National","Season peak week","week","Bin","50","51",0.0437380660646712
"US National","Season peak week","week","Bin","51","52",0.0714790442143438
"US National","Season peak week","week","Bin","52","53",0.104121894323526
"US National","Season peak week","week","Bin","1","2",0.131812134449977
"US National","Season peak week","week","Bin","2","3",0.142834216876311
"US National","Season peak week","week","Bin","3","4",0.131812134449977
"US National","Season peak week","week","Bin","4","5",0.104121894323526
"US National","Season peak week","week","Bin","5","6",0.0714790442143439
"US National","Season peak week","week","Bin","6","7",0.0437380660646711
"US National","Season peak week","week","Bin","7","8",0.0247601295176534
"US National","Season peak week","week","Bin","8","9",0.0136810032067279
"US National","Season peak week","week","Bin","9","10",0.00792974697086153
"US National","Season peak week","week","Bin","10","11",0.00518801561735071
"US National","Season peak week","week","Bin","11","12",0.0039562082360229
"US National","Season peak week","week","Bin","12","13",0.00342373237330785
"US National","Season peak week","week","Bin","13","14",0.00319864537784816
"US National","Season peak week","week","Bin","14","15",0.0031044292241727
"US National","Season peak week","week","Bin","15","16",0.00306500872031127
"US National","Season peak week","week","Bin","16","17",0.0030484064502858
"US National","Season peak week","week","Bin","17","18",0.00304133276489545
"US National","Season peak week","week","Bin","18","19",0.00303827298656707
"US National","Season peak week","week","Bin","19","20",0.00303692608414427
"US National","Season peak week","week","Bin","20","21",0.00303632179396048
"US National","Season peak percentage","percent","Bin","0","0.100000",0.00152681339657681
"US National","Season peak percentage","percent","Bin","0.100000","0.200000",0.00152683958616221
"US National","Season peak percentage","percent","Bin","0.200000","0.300000",0.00152687327767926
"US National","Season peak percentage","percent","Bin","0.300000","0.400000",0.0015269167130494
"US National","Season peak percentage","percent","Bin","0.400000","0.500000",0.00152697282975911
"US National","Season peak percentage","percent","Bin","0.500000","0.600000",0.00152704548372009
"US National","Season peak percentage","percent","Bin","0.600000","0.700000",0.00152713974543457
"US National","Season peak percentage","percent","Bin","0.700000","0.800000",0.00152726229404795
"US National","Season peak percentage","percent","Bin","0.800000","0.900000",0.00152742194220184
"US National","Season peak percentage","percent","Bin","0.900000","1",0.00152763033575263
"US National","Season peak percentage","percent","Bin","1","1.100000",0.00152790288732984
"US National","Season peak percentage","percent","Bin","1.100000","1.200000",0.00152826002261124
"US National","Season peak percentage","percent","Bin","1.200000","1.300000",0.00152872884470336
"US National","Season peak percentage","percent","Bin","1.300000","1.400000",0.00152934535723852
"US National","Season peak percentage","percent","Bin","1.400000","1.500000",0.00153015743344066
"US National","Season peak percentage","percent","Bin","1.500000","1.600000",0.00153122877992082
"US National","Season peak percentage","percent","Bin","1.600000","1.700000",0.0015326442246745
"US National","Season peak percentage","percent","Bin","1.700000","1.800000",0.00153451676401559
"US National","Season peak percentage","percent","Bin","1.800000","1.900000",0.0015369969394465
"US National","Season peak percentage","percent","Bin","1.900000","2",0.00154028529026456
"US National","Season peak percentage","percent","Bin","2","2.100000",0.00154464884944657
"US National","Season peak percentage","percent","Bin","2.100000","2.200000",0.00155044292777183
"US National","Season peak percentage","percent","Bin","2.200000","2.300000",0.00155813977221498
"US National","Season peak percentage","percent","Bin","2.300000","2.400000",0.00156836609466834
