"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","Season onset","week","Bin","40","41",0.0130930523722095
"US National","Season onset","week","Bin","41","42",0.0200240800963204
"US National","Season onset","week","Bin","42","43",0.0340411361645447
"US National","Season onset","week","Bin","43","44",0.0680822723290893
"US National","Season onset","week","Bin","44","45",0.170206680826723
"US National","Season onset","week","Bin","45","46",0.340413361653447
"US National","Season onset","week","Bin","46","47",0.170206680826723
"US National","Season onset","week","Bin","47","48",0.0680822723290893
"US National","Season onset","week","Bin","48","49",0.0340411361645447
"US National","Season onset","week","Bin","49","50",0.0200240800963204
"US National","Season onset","week","Bin","50","51",0.0130930523722095
"US National","Season onset","week","Bin","51","52",0.0092000368001472
"US National","Season onset","week","Bin","52","53",0.00680802723210893
"US National","Season onset","week","Bin","1","2",0.00523702094808379
"US National","Season onset","week","Bin","2","3",0.00415101660406642
"US National","Season onset","week","Bin","3","4",0.00337001348005392
"US National","Season onset","week","Bin","4","5",0.00279001116004464
"US National","Season onset","week","Bin","5","6",0.00234800939203757
"US National","Season onset","week","Bin","6","7",0.00200200800803203
"US National","Season onset","week","Bin","7","8",0.00172800691202765
"US National","Season onset","week","Bin","8","9",0.0015060060240241
"US National","Season onset","week","Bin","9","10",0.0013250053000212
"US National","Season onset","week","Bin","10","11",0.00117400469601878
"US National","Season onset","week","Bin","11","12",0.00104700418801675
"US National","Season onset","week","Bin","12","13",0.00094000376001504
"US National","Season onset","week","Bin","13","14",0.000849003396013584
"US National","Season onset","week","Bin","14","15",0.00077000308001232
"US National","Season onset","week","Bin","15","16",0.000702002808011232
"US National","Season onset","week","Bin","16","17",0.000642002568010272
"US National","Season onset","week","Bin","17","18",0.00059000236000944
"US National","Season onset","week","Bin","18","19",0.000544002176008704
"US National","Season onset","week","Bin","19","20",0.000503002012008048
"US National","Season onset","week","Bin","20","21",0.000466001864007456
"US National","Season onset","week","Bin","none","none",0
"US National","Season peak week","week","Bin","40","41",0
"US National","Season peak week","week","Bin","41","42",0
"US National","Season peak week","week","Bin","42","43",0
"US National","Season peak week","week","Bin","43","44",0
"US National","Season peak week","week","Bin","44","45",0
"US National","Season peak week","week","Bin","45","46",0
"US National","Season peak week","week","Bin","46","47",0
"US National","Season peak week","week","Bin","47","48",0
"US National","Season peak week","week","Bin","48","49",0
"US National","Season peak week","week","Bin","49","50",0
"US National","Season peak week","week","Bin","50","51",0
"US National","Season peak week","week","Bin","51","52",0
"US National","Season peak week","week","Bin","52","53",0
"US National","Season peak week","week","Bin","1","2",0
"US National","Season peak week","week","Bin","2","3",0.0173510271788711
"US National","Season peak week","week","Bin","3","4",0.110308681066401
"US National","Season peak week","week","Bin","4","5",0.297075453449317
"US National","Season peak week","week","Bin","5","6",0.306135999181619
"US National","Season peak week","week","Bin","6","7",0.176231708447392
"US National","Season peak week","week","Bin","7","8",0.0543228208496053
"US National","Season peak week","week","Bin","8","9",0.0117795345044102
"US National","Season peak week","week","Bin","9","10",0.00356962402365517
"US National","Season peak week","week","Bin","10","11",0.000914438818025788
"US National","Season peak week","week","Bin","11","12",0.000620395227493197
"US National","Season peak week","week","Bin","12","13",0.000349253469991891
"US National","Season peak week","week","Bin","13","14",0.00023126795930642
"US National","Season peak week","week","Bin","14","15",0.000262553539614781
"US National","Season peak week","week","Bin","15","16",0.000248239882811766
"US National","Season peak week","week","Bin","16","17",0.00116145185932731
"US National","Season peak week","week","Bin","17","18",0.00477626623243557
"US National","Season peak week","week","Bin","18","19",0.00730446858378751
"US National","Season peak week","week","Bin","19","20",0.00465991639735802
"US National","Season peak week","week","Bin","20","21",0.00269689932857701
"US National","Season peak percentage","percent","Bin","0","0.100000",0.00049853892057314
"US National","Season peak percentage","percent","Bin","0.100000","0.200000",0.000513555153120523
"US National","Season peak percentage","percent","Bin","0.200000","0.300000",0.000529572467837733
"US National","Season peak percentage","percent","Bin","0.300000","0.400000",0.000545589782554942
"US National","Season peak percentage","percent","Bin","0.400000","0.500000",0.000563609261611802
"US National","Season peak percentage","percent","Bin","0.500000","0.600000",0.000581628740668663
