"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","percent","Bin","0","0.100000",0
"HHS Region 1","1 wk ahead","percent","Bin","0.100000","0.200000",0
"HHS Region 1","1 wk ahead","percent","Bin","0.200000","0.300000",0
"HHS Region 1","1 wk ahead","percent","Bin","0.300000","0.400000",0
"HHS Region 1","1 wk ahead","percent","Bin","0.400000","0.500000",0
"HHS Region 1","1 wk ahead","percent","Bin","0.500000","0.600000",0
"HHS Region 1","1 wk ahead","percent","Bin","0.600000","0.700000",0
"HHS Region 1","1 wk ahead","percent","Bin","0.700000","0.800000",0
"HHS Region 1","1 wk ahead","percent","Bin","0.800000","0.900000",0
"HHS Region 1","1 wk ahead","percent","Bin","0.900000","1",0
"HHS Region 1","1 wk ahead","percent","Bin","1","1.100000",0
"HHS Region 1","1 wk ahead","percent","Bin","1.100000","1.200000",0
"HHS Region 1","1 wk ahead","percent","Bin","1.200000","1.300000",0
"HHS Region 1","1 wk ahead","percent","Bin","1.300000","1.400000",0
"HHS Region 1","1 wk ahead","percent","Bin","1.400000","1.500000",0
"HHS Region 1","1 wk ahead","percent","Bin","1.500000","1.600000",0
"HHS Region 1","1 wk ahead","percent","Bin","1.600000","1.700000",0
"HHS Region 1","1 wk ahead","percent","Bin","1.700000","1.800000",0
"HHS Region 1","1 wk ahead","percent","Bin","1.800000","1.900000",0
"HHS Region 1","1 wk ahead","percent","Bin","1.900000","2",0
"HHS Region 1","1 wk ahead","percent","Bin","2","2.100000",0
"HHS Region 1","1 wk ahead","percent","Bin","2.100000","2.200000",0
"HHS Region 1","1 wk ahead","percent","Bin","2.200000","2.300000",0
"HHS Region 1","1 wk ahead","percent","Bin","2.300000","2.400000",2.02020202020202e-05
"HHS Region 1","1 wk ahead","percent","Bin","2.400000","2.500000",2.02020202020202e-05
"HHS Region 1","1 wk ahead","percent","Bin","2.500000","2.600000",0.000141414141414141
"HHS Region 1","1 wk ahead","percent","Bin","2.600000","2.700000",4.04040404040404e-05
"HHS Region 1","1 wk ahead","percent","Bin","2.700000","2.800000",0.000202020202020202
"HHS Region 1","1 wk ahead","percent","Bin","2.800000","2.900000",0.000121212121212121
"HHS Region 1","1 wk ahead","percent","Bin","2.900000","3",0.000363636363636364
"HHS Region 1","1 wk ahead","percent","Bin","3","3.100000",0.000404040404040404
"HHS Region 1","1 wk ahead","percent","Bin","3.100000","3.200000",0.000525252525252525
"HHS Region 1","1 wk ahead","percent","Bin","3.200000","3.300000",0.000707070707070707
"HHS Region 1","1 wk ahead","percent","Bin","3.300000","3.400000",0.00119191919191919
"HHS Region 1","1 wk ahead","percent","Bin","3.400000","3.500000",0.00149494949494949
"HHS Region 1","1 wk ahead","percent","Bin","3.500000","3.600000",0.00246464646464646
"HHS Region 1","1 wk ahead","percent","Bin","3.600000","3.700000",0.00313131313131313
"HHS Region 1","1 wk ahead","percent","Bin","3.700000","3.800000",0.00397979797979798
"HHS Region 1","1 wk ahead","percent","Bin","3.800000","3.900000",0.00444444444444444
"HHS Region 1","1 wk ahead","percent","Bin","3.900000","4",0.0056969696969697
"HHS Region 1","1 wk ahead","percent","Bin","4","4.100000",0.00743434343434343
"HHS Region 1","1 wk ahead","percent","Bin","4.100000","4.200000",0.00818181818181818
"HHS Region 1","1 wk ahead","percent","Bin","4.200000","4.300000",0.0094949494949495
"HHS Region 1","1 wk ahead","percent","Bin","4.300000","4.400000",0.0114343434343434
"HHS Region 1","1 wk ahead","percent","Bin","4.400000","4.500000",0.0133333333333333
"HHS Region 1","1 wk ahead","percent","Bin","4.500000","4.600000",0.0131717171717172
"HHS Region 1","1 wk ahead","percent","Bin","4.600000","4.700000",0.0162020202020202
"HHS Region 1","1 wk ahead","percent","Bin","4.700000","4.800000",0.0175353535353535
"HHS Region 1","1 wk ahead","percent","Bin","4.800000","4.900000",0.0191919191919192
"HHS Region 1","1 wk ahead","percent","Bin","4.900000","5",0.0202424242424242
"HHS Region 1","1 wk ahead","percent","Bin","5","5.100000",0.022
"HHS Region 1","1 wk ahead","percent","Bin","5.100000","5.200000",0.0234545454545455
"HHS Region 1","1 wk ahead","percent","Bin","5.200000","5.300000",0.0241414141414141
"HHS Region 1","1 wk ahead","percent","Bin","5.300000","5.400000",0.0261010101010101
"HHS Region 1","1 wk ahead","percent","Bin","5.400000","5.500000",0.026969696969697
