Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,value
US National,Season onset,Point,week,NA,NA,46.13254725
US National,Season onset,Bin,week,40,41,0.001136798
US National,Season onset,Bin,week,41,42,0.001078266
US National,Season onset,Bin,week,42,43,0.001001146
US National,Season onset,Bin,week,43,44,0.001242651
US National,Season onset,Bin,week,44,45,0.001802314
US National,Season onset,Bin,week,45,46,0.642538848
US National,Season onset,Bin,week,46,47,0.059668372
US National,Season onset,Bin,week,47,48,0.005060471
US National,Season onset,Bin,week,48,49,0.062029008
US National,Season onset,Bin,week,49,50,0.191707175
US National,Season onset,Bin,week,50,51,0.004658131
US National,Season onset,Bin,week,51,52,0.004277955
US National,Season onset,Bin,week,52,53,0.002797545
US National,Season onset,Bin,week,1,2,0.001627348
US National,Season onset,Bin,week,2,3,0.001480623
US National,Season onset,Bin,week,3,4,0.001679282
US National,Season onset,Bin,week,4,5,0.001590101
US National,Season onset,Bin,week,5,6,0.001329498
US National,Season onset,Bin,week,6,7,0.001031001
US National,Season onset,Bin,week,7,8,0.000814229
US National,Season onset,Bin,week,8,9,0.000726483
US National,Season onset,Bin,week,9,10,0.00071204
US National,Season onset,Bin,week,10,11,0.000709553
US National,Season onset,Bin,week,11,12,0.00070843
US National,Season onset,Bin,week,12,13,0.000707782
US National,Season onset,Bin,week,13,14,0.000707445
US National,Season onset,Bin,week,14,15,0.000707262
US National,Season onset,Bin,week,15,16,0.000707078
US National,Season onset,Bin,week,16,17,0.000706696
US National,Season onset,Bin,week,17,18,0.000705779
US National,Season onset,Bin,week,18,19,0.000703779
US National,Season onset,Bin,week,19,20,0.000699931
US National,Season onset,Bin,week,20,21,0.000693711
US National,Season onset,Bin,week,none,none,0.002253268
US National,Season peak week,Point,week,NA,NA,15.25
US National,Season peak week,Bin,week,40,41,0.000458807
US National,Season peak week,Bin,week,41,42,0.000458807
US National,Season peak week,Bin,week,42,43,0.000458807
US National,Season peak week,Bin,week,43,44,0.000458807
US National,Season peak week,Bin,week,44,45,0.000458807
US National,Season peak week,Bin,week,45,46,0.000458807
US National,Season peak week,Bin,week,46,47,0.000458807
US National,Season peak week,Bin,week,47,48,0.000458807
US National,Season peak week,Bin,week,48,49,0.000458807
US National,Season peak week,Bin,week,49,50,0.000458807
US National,Season peak week,Bin,week,50,51,0.000458807
US National,Season peak week,Bin,week,51,52,0.005325025
US National,Season peak week,Bin,week,52,53,0.348925441
US National,Season peak week,Bin,week,1,2,0.005783411
US National,Season peak week,Bin,week,2,3,0.055706163
US National,Season peak week,Bin,week,3,4,0.08035453
US National,Season peak week,Bin,week,4,5,0.1562895
US National,Season peak week,Bin,week,5,6,0.140616584
US National,Season peak week,Bin,week,6,7,0.120393073
US National,Season peak week,Bin,week,7,8,0.044320666
US National,Season peak week,Bin,week,8,9,0.015642984
US National,Season peak week,Bin,week,9,10,0.005027507
US National,Season peak week,Bin,week,10,11,0.005079677
US National,Season peak week,Bin,week,11,12,0.004802467
US National,Season peak week,Bin,week,12,13,0.002425092
US National,Season peak week,Bin,week,13,14,0.000827965
US National,Season peak week,Bin,week,14,15,0.000496713
US National,Season peak week,Bin,week,15,16,0.000489387
US National,Season peak week,Bin,week,16,17,0.000489387
US National,Season peak week,Bin,week,17,18,0.000489387
US National,Season peak week,Bin,week,18,19,0.000489387
US National,Season peak week,Bin,week,19,20,0.000489387
US National,Season peak week,Bin,week,20,21,0.000489387
US National,Season peak percentage,Point,percent,NA,NA,7.6368435
US National,Season peak percentage,Bin,percent,0,0.1,0.000128672
US National,Season peak percentage,Bin,percent,0.1,0.2,0.000131341
US National,Season peak percentage,Bin,percent,0.2,0.3,0.00013304
US National,Season peak percentage,Bin,percent,0.3,0.4,0.000134452
US National,Season peak percentage,Bin,percent,0.4,0.5,0.000135605
US National,Season peak percentage,Bin,percent,0.5,0.6,0.000136527
US National,Season peak percentage,Bin,percent,0.6,0.7,0.000137259
US National,Season peak percentage,Bin,percent,0.7,0.8,0.000137859
US National,Season peak percentage,Bin,percent,0.8,0.9,0.000138371
US National,Season peak percentage,Bin,percent,0.9,1,0.000138772
US National,Season peak percentage,Bin,percent,1,1.1,0.000139112
US National,Season peak percentage,Bin,percent,1.1,1.2,0.000139408
US National,Season peak percentage,Bin,percent,1.2,1.3,0.000139656
US National,Season peak percentage,Bin,percent,1.3,1.4,0.000139878
US National,Season peak percentage,Bin,percent,1.4,1.5,0.000140087
US National,Season peak percentage,Bin,percent,1.5,1.6,0.000140252
US National,Season peak percentage,Bin,percent,1.6,1.7,0.000140395
US National,Season peak percentage,Bin,percent,1.7,1.8,0.000140522
US National,Season peak percentage,Bin,percent,1.8,1.9,0.000140626
US National,Season peak percentage,Bin,percent,1.9,2,0.000140727
US National,Season peak percentage,Bin,percent,2,2.1,0.000140833
US National,Season peak percentage,Bin,percent,2.1,2.2,0.000140925
US National,Season peak percentage,Bin,percent,2.2,2.3,0.000141009
US National,Season peak percentage,Bin,percent,2.3,2.4,0.00014109
US National,Season peak percentage,Bin,percent,2.4,2.5,0.000141166
US National,Season peak percentage,Bin,percent,2.5,2.6,0.000141258
US National,Season peak percentage,Bin,percent,2.6,2.7,0.000141358
US National,Season peak percentage,Bin,percent,2.7,2.8,0.000141447
US National,Season peak percentage,Bin,percent,2.8,2.9,0.000141553
US National,Season peak percentage,Bin,percent,2.9,3,0.000141674
US National,Season peak percentage,Bin,percent,3,3.1,0.000141815
US National,Season peak percentage,Bin,percent,3.1,3.2,0.000141988
US National,Season peak percentage,Bin,percent,3.2,3.3,0.000142191
US National,Season peak percentage,Bin,percent,3.3,3.4,0.00014245
US National,Season peak percentage,Bin,percent,3.4,3.5,0.000142765
US National,Season peak percentage,Bin,percent,3.5,3.6,0.000143125
US National,Season peak percentage,Bin,percent,3.6,3.7,0.000143558
US National,Season peak percentage,Bin,percent,3.7,3.8,0.000144092
US National,Season peak percentage,Bin,percent,3.8,3.9,0.0001447
US National,Season peak percentage,Bin,percent,3.9,4,0.000145433
US National,Season peak percentage,Bin,percent,4,4.1,0.000146307
US National,Season peak percentage,Bin,percent,4.1,4.2,0.000147354
US National,Season peak percentage,Bin,percent,4.2,4.3,0.000148585
US National,Season peak percentage,Bin,percent,4.3,4.4,0.000150041
US National,Season peak percentage,Bin,percent,4.4,4.5,0.000151728
US National,Season peak percentage,Bin,percent,4.5,4.6,0.000153703
US National,Season peak percentage,Bin,percent,4.6,4.7,0.00015604
US National,Season peak percentage,Bin,percent,4.7,4.8,0.000158715
US National,Season peak percentage,Bin,percent,4.8,4.9,0.000161842
US National,Season peak percentage,Bin,percent,4.9,5,0.000165373
US National,Season peak percentage,Bin,percent,5,5.1,0.000169516
US National,Season peak percentage,Bin,percent,5.1,5.2,0.000174347
US National,Season peak percentage,Bin,percent,5.2,5.3,0.000180242
US National,Season peak percentage,Bin,percent,5.3,5.4,0.000187941
US National,Season peak percentage,Bin,percent,5.4,5.5,0.000199015
US National,Season peak percentage,Bin,percent,5.5,5.6,0.000215637
US National,Season peak percentage,Bin,percent,5.6,5.7,0.000242179
US National,Season peak percentage,Bin,percent,5.7,5.8,0.000285031
US National,Season peak percentage,Bin,percent,5.8,5.9,0.000356047
US National,Season peak percentage,Bin,percent,5.9,6,0.000474632
US National,Season peak percentage,Bin,percent,6,6.1,0.000672548
US National,Season peak percentage,Bin,percent,6.1,6.2,0.001716611
US National,Season peak percentage,Bin,percent,6.2,6.3,0.002872504
US National,Season peak percentage,Bin,percent,6.3,6.4,0.004712578
US National,Season peak percentage,Bin,percent,6.4,6.5,0.006541004
US National,Season peak percentage,Bin,percent,6.5,6.6,0.009421235
US National,Season peak percentage,Bin,percent,6.6,6.7,0.019550775
US National,Season peak percentage,Bin,percent,6.7,6.8,0.051866467
US National,Season peak percentage,Bin,percent,6.8,6.9,0.092136233
US National,Season peak percentage,Bin,percent,6.9,7,0.132950441
US National,Season peak percentage,Bin,percent,7,7.1,0.054367647
US National,Season peak percentage,Bin,percent,7.1,7.2,0.034279258
US National,Season peak percentage,Bin,percent,7.2,7.3,0.028805746
US National,Season peak percentage,Bin,percent,7.3,7.4,0.027392111
US National,Season peak percentage,Bin,percent,7.4,7.5,0.027674255
US National,Season peak percentage,Bin,percent,7.5,7.6,0.028127245
US National,Season peak percentage,Bin,percent,7.6,7.7,0.029348784
US National,Season peak percentage,Bin,percent,7.7,7.8,0.028209768
US National,Season peak percentage,Bin,percent,7.8,7.9,0.026349924
US National,Season peak percentage,Bin,percent,7.9,8,0.026670984
US National,Season peak percentage,Bin,percent,8,8.1,0.026418928
US National,Season peak percentage,Bin,percent,8.1,8.2,0.025954793
US National,Season peak percentage,Bin,percent,8.2,8.3,0.024030139
US National,Season peak percentage,Bin,percent,8.3,8.4,0.023439621
US National,Season peak percentage,Bin,percent,8.4,8.5,0.023736215
US National,Season peak percentage,Bin,percent,8.5,8.6,0.021360299
US National,Season peak percentage,Bin,percent,8.6,8.7,0.020463076
US National,Season peak percentage,Bin,percent,8.7,8.8,0.018152957
US National,Season peak percentage,Bin,percent,8.8,8.9,0.017643803
US National,Season peak percentage,Bin,percent,8.9,9,0.017389254
US National,Season peak percentage,Bin,percent,9,9.1,0.014979332
US National,Season peak percentage,Bin,percent,9.1,9.2,0.014285916
US National,Season peak percentage,Bin,percent,9.2,9.3,0.013179735
US National,Season peak percentage,Bin,percent,9.3,9.4,0.012500923
US National,Season peak percentage,Bin,percent,9.4,9.5,0.0116947
US National,Season peak percentage,Bin,percent,9.5,9.6,0.009698917
US National,Season peak percentage,Bin,percent,9.6,9.7,0.00872892
US National,Season peak percentage,Bin,percent,9.7,9.8,0.007177856
US National,Season peak percentage,Bin,percent,9.8,9.9,0.006481026
US National,Season peak percentage,Bin,percent,9.9,10,0.005688525
US National,Season peak percentage,Bin,percent,10,10.1,0.005046312
US National,Season peak percentage,Bin,percent,10.1,10.2,0.004231048
